,0,1,2,3,4,5,6,7,8,9
0,0.5,0.6,0.5,0.6,0.8,0.8,0.6,0.8,0.7,0.7
1,0.7,0.7,0.8,0.8,1.0,0.5,0.4,0.5,0.7,0.7
2,0.5,0.5,0.7,0.5,0.6,0.6,0.6,0.9,0.8,1.0
3,0.6,0.3,0.5,0.5,0.7,0.6,0.4,0.4,0.5,0.4
4,0.7,1.0,0.8,0.4,0.4,0.6,0.4,0.6,0.5,0.8
5,0.3,0.6,0.5,0.0,0.6,0.1,0.7,0.5,0.4,0.7
6,0.7,0.5,0.7,0.6,0.8,0.8,0.9,1.0,0.9,0.8
7,0.5,0.9,0.6,0.4,0.1,0.0,0.2,0.1,0.3,0.1
8,0.6,0.8,0.8,0.8,0.9,0.4,0.5,0.5,0.7,0.6
9,0.5,0.4,0.2,0.1,0.4,0.5,0.6,0.3,0.6,0.4
10,0.6,0.5,0.6,0.3,0.6,0.7,0.3,0.7,0.5,0.4
11,0.5,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5
12,0.6,0.3,0.6,0.5,0.4,0.5,0.4,0.6,0.5,0.6
13,0.6,0.0,0.9,0.3,0.3,1.0,0.8,0.7,0.4,0.8
14,0.3,0.3,0.7,0.5,0.7,0.4,0.2,0.3,0.4,0.6
15,0.6,0.5,0.5,0.4,0.4,0.4,0.6,0.4,0.4,0.5
16,0.7,0.6,0.5,0.6,0.4,0.4,0.2,0.5,0.5,0.6
17,0.5,0.7,0.6,0.5,0.6,0.1,0.6,0.1,0.4,0.0
18,0.5,0.5,0.6,0.4,0.6,0.3,0.5,0.3,0.4,0.6
19,0.9,0.8,0.4,0.2,0.4,0.3,0.3,0.6,0.3,0.2
20,0.5,0.6,0.6,0.7,0.5,0.7,0.5,0.5,0.6,0.6
21,0.6,0.5,1.0,0.3,0.4,0.4,0.5,0.3,0.3,0.3
