,no_clust,algorithm,predictions,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,2.0,spectral warp,[1 0 1 1 1 1 0 1 0 0 0 0],0.242585971694,0.301632047055,0.349977578352,0.388888888889,0.349977578352,0.349977578352,0.349977578352,9.0,3.0,6.0,2.0,5.0,9.0,3.0
1,2.0,aff prop,[1 0 1 1 1 1 0 1 0 0 2 3],0.280421527921,0.111061935107,0.317285615127,0.216524216524,0.248836953332,0.404562747689,0.308142661863,6.0,12.0,8.0,5.0,11.0,6.0,8.0
2,2.0,pca,[0 1 0 0 0 0 0 0 1 0 0 0],1.11022302463e-16,-0.0950037258765,1.98664651665e-16,-0.0531914893617,2.46408923533e-16,1.60171325191e-16,1.94144422632e-16,60.0,61.0,60.0,40.0,62.0,60.0,60.0
3,2.0,spectral overlap,[0 0 0 0 0 0 1 0 0 0 1 0],0.132304124719,0.114004567858,0.236746601972,0.063829787234,0.293642954865,0.190874504621,0.231359891983,19.0,10.0,12.0,16.0,6.0,19.0,12.0
4,2.0,km_choice,[1 0 0 0 0 0 1 0 1 1 0 1],0.135655577411,0.135079461855,0.197709818795,0.17728531856,0.199730451115,0.1957096288,0.19769959816,14.0,5.0,15.0,9.0,20.0,14.0,15.0
5,2.0,km_ent,[0 1 0 0 0 0 0 0 1 0 0 0],1.11022302463e-16,-0.0950037258765,1.98664651665e-16,-0.0531914893617,2.46408923533e-16,1.60171325191e-16,1.94144422632e-16,60.0,61.0,60.0,40.0,62.0,60.0,60.0
6,2.0,km_con,[0 1 1 1 1 1 0 1 0 0 1 0],0.135655577411,0.135079461855,0.197709818795,0.17728531856,0.199730451115,0.1957096288,0.19769959816,14.0,5.0,15.0,9.0,20.0,14.0,15.0
7,2.0,spect_cos_cat,[0 1 1 1 1 1 0 1 0 1 1 0],0.0646599735817,0.0218229130128,0.0973461443317,0.032967032967,0.101584500083,0.0932846232303,0.0972578072415,23.0,19.0,26.0,20.0,28.0,23.0,26.0
8,2.0,aff_cos_cat,[0 0 0 0 0 0 0 0 0 0 0 0],0.0,0.0,0.0,0.0,1.0,0.0,0.0,63.0,29.0,63.0,25.0,1.0,63.0,63.0
9,2.0,spect_cos_ent,[0 1 0 0 0 0 0 0 1 0 0 0],1.11022302463e-16,-0.0950037258765,1.98664651665e-16,-0.0531914893617,2.46408923533e-16,1.60171325191e-16,1.94144422632e-16,60.0,61.0,60.0,40.0,62.0,60.0,60.0
10,2.0,aff_cos_ent,[1 0 1 1 2 1 1 2 3 2 2 2],0.276145160945,0.105803643036,0.310146620538,0.182857142857,0.241447176131,0.398393254261,0.300671610177,7.0,13.0,9.0,8.0,12.0,7.0,9.0
11,2.0,spect_rbf,[0 1 0 0 0 0 1 0 1 1 1 0],0.135655577411,0.135079461855,0.197709818795,0.17728531856,0.199730451115,0.1957096288,0.19769959816,14.0,5.0,15.0,9.0,20.0,14.0,15.0
12,2.0,spect_esk_sim,[1 0 0 0 1 1 0 0 0 1 1 0],0.0143625915641,-0.0531005824712,0.0209326105846,-0.0664819944598,0.0211465458851,0.0207208396239,0.0209315284706,46.0,33.0,46.0,43.0,44.0,46.0,46.0
13,2.0,aff_esk_sim,[2 0 1 3 1 0 0 1 0 2 2 3],0.0283165061326,-0.122891010678,0.0291864041493,-0.122448979592,0.02085196458,0.0408520829728,0.0276107069455,35.0,65.0,42.0,67.0,52.0,35.0,42.0
14,2.0,spect_lin_sim,[0 1 1 1 0 0 1 1 1 0 0 1],0.0143625915641,-0.0531005824712,0.0209326105846,-0.0664819944598,0.0211465458851,0.0207208396239,0.0209315284706,46.0,33.0,46.0,43.0,44.0,46.0,46.0
15,2.0,aff_lin_sim,[3 2 0 1 3 3 2 0 2 3 3 1],0.0225480503791,-0.136586800827,0.0236751050134,-0.115942028986,0.0172305957156,0.0325299604636,0.0225283091843,36.0,68.0,44.0,65.0,53.0,36.0,44.0
16,2.0,comp_hr_esk_dis,[0 1 1 1 0 0 1 1 1 0 0 1],0.0143625915641,-0.0531005824712,0.0209326105846,-0.0664819944598,0.0211465458851,0.0207208396239,0.0209315284706,46.0,33.0,46.0,43.0,44.0,46.0,46.0
17,2.0,avg_hr_esk_dis,[0 1 1 1 0 0 1 1 1 0 0 1],0.0143625915641,-0.0531005824712,0.0209326105846,-0.0664819944598,0.0211465458851,0.0207208396239,0.0209315284706,46.0,33.0,46.0,43.0,44.0,46.0,46.0
18,2.0,comp_hr_lin_din,[0 1 0 1 0 0 1 0 1 0 0 1],0.0143625915641,-0.0531005824712,0.0209326105846,-0.0664819944598,0.0211465458851,0.0207208396239,0.0209315284706,46.0,33.0,46.0,43.0,44.0,46.0,46.0
19,2.0,avg_hr_lin_dis,[1 0 0 0 1 1 0 0 0 1 1 0],0.0143625915641,-0.0531005824712,0.0209326105846,-0.0664819944598,0.0211465458851,0.0207208396239,0.0209315284706,46.0,33.0,46.0,43.0,44.0,46.0,46.0
20,2.0,spect_edr,[0 1 0 0 0 0 1 0 1 1 1 1],0.242585971694,0.301632047055,0.349977578352,0.388888888889,0.349977578352,0.349977578352,0.349977578352,8.0,2.0,5.0,2.0,4.0,8.0,2.0
21,2.0,aff_edr,[0 0 0 0 0 0 0 0 0 0 0 0],0.0,0.0,0.0,0.0,1.0,0.0,0.0,63.0,29.0,63.0,25.0,1.0,63.0,63.0
22,2.0,spectral bad warp,[0 1 0 0 1 1 1 0 1 1 0 0],2.22044604925e-16,-0.0743751748959,3.20342650381e-16,-0.1,3.20342650381e-16,3.20342650381e-16,3.20342650381e-16,53.0,49.0,53.0,56.0,55.0,53.0,53.0
23,2.0,affinity bad warp,[2 1 2 1 0 0 1 2 1 0 2 2],0.0225480503791,-0.0872594639909,0.0260901319374,-0.103151862464,0.020925170975,0.0325299604636,0.0254679005062,36.0,60.0,43.0,63.0,51.0,36.0,43.0
24,2.0,PCA bad euclid,[1 0 0 0 0 0 0 0 0 1 1 1],0.0646599735817,0.0218229186844,0.0973461443317,0.032967032967,0.101584500083,0.0932846232303,0.0972578072415,23.0,18.0,26.0,20.0,28.0,23.0,26.0
25,2.0,spectral bad eucsim,[0 1 1 1 1 1 1 1 1 0 0 0],0.0646599735817,0.0218229130128,0.0973461443317,0.032967032967,0.101584500083,0.0932846232303,0.0972578072415,23.0,19.0,26.0,20.0,28.0,23.0,26.0
26,2.0,affinity bad eucsim,[4 2 0 2 1 1 2 0 2 1 3 4],0.0719205181129,-0.132513677544,0.0701345568235,-0.129032258065,0.0474063772009,0.10375937482,0.0650789745042,21.0,66.0,34.0,68.0,36.0,21.0,34.0
27,2.0,spectral bad cosine,[0 0 1 0 1 1 0 1 1 1 0 0],2.22044604925e-16,-0.0743751748959,3.20342650381e-16,-0.1,3.20342650381e-16,3.20342650381e-16,3.20342650381e-16,53.0,49.0,53.0,56.0,55.0,53.0,53.0
28,2.0,affinity bad cosine,[0 0 1 0 0 0 0 1 0 2 3 4],0.228632057125,-0.0169594468334,0.247183616616,0.0625,0.185236984133,0.329846335003,0.237242162786,11.0,32.0,11.0,18.0,25.0,11.0,11.0
29,2.0,spectral bad rbf,[0 1 1 1 1 1 1 1 1 0 0 0],0.0646599735817,0.0218229130128,0.0973461443317,0.032967032967,0.101584500083,0.0932846232303,0.0972578072415,23.0,19.0,26.0,20.0,28.0,23.0,26.0
30,2.0,affinity bad rbf,[0 2 1 2 1 1 2 1 2 1 3 0],0.0661520623594,-0.101902931996,0.0714498192025,-0.109510086455,0.0534914463742,0.0954372523106,0.0685573258768,22.0,64.0,33.0,64.0,35.0,22.0,33.0
31,2.0,spectral bad edr,[1 0 1 1 0 0 0 1 0 1 1 1],0.0143625915641,-0.0531005824712,0.0209326105846,-0.0664819944598,0.0211465458851,0.0207208396239,0.0209315284706,46.0,33.0,46.0,43.0,44.0,46.0,46.0
32,2.0,affinity bad edr,[0 1 3 2 1 1 1 2 1 0 2 3],0.0225480503791,-0.136586785859,0.0236751050134,-0.115942028986,0.0172305957156,0.0325299604636,0.0225283091843,36.0,67.0,44.0,65.0,53.0,36.0,44.0
33,2.0,kmeans badset,[1 0 0 0 0 0 0 0 0 0 1 1],0.0187974560382,-0.0560837743552,0.0301084732632,-0.0433604336043,0.0334274964283,0.0271189966077,0.0299445968474,39.0,40.0,35.0,33.0,37.0,39.0,35.0
34,2.0,complete badset,[1 0 0 0 0 0 0 0 0 0 1 1],0.0187974560382,-0.0560837743552,0.0301084732632,-0.0433604336043,0.0334274964283,0.0271189966077,0.0299445968474,39.0,40.0,35.0,33.0,37.0,39.0,35.0
35,2.0,average badset,[1 0 0 0 0 0 0 0 0 0 1 1],0.0187974560382,-0.0560837743552,0.0301084732632,-0.0433604336043,0.0334274964283,0.0271189966077,0.0299445968474,39.0,40.0,35.0,33.0,37.0,39.0,35.0
36,2.0,ward badset,[1 0 0 0 0 0 0 0 0 0 1 1],0.0187974560382,-0.0560837743552,0.0301084732632,-0.0433604336043,0.0334274964283,0.0271189966077,0.0299445968474,39.0,40.0,35.0,33.0,37.0,39.0,35.0
37,2.0,spectral eblock warp,[1 1 1 0 1 1 1 0 1 1 0 0],0.0646599735817,0.0218229130128,0.0973461443317,0.032967032967,0.101584500083,0.0932846232303,0.0972578072415,23.0,19.0,26.0,20.0,28.0,23.0,26.0
38,2.0,affinity eblock warp,[0 0 0 3 0 0 0 0 1 1 2 3],0.228632057125,0.049385955889,0.259632564298,0.0963172804533,0.204365067278,0.329846335003,0.252368512377,10.0,17.0,10.0,14.0,19.0,10.0,10.0
39,2.0,PCA eblock euclid,[0 0 0 0 0 0 0 0 0 0 1 0],0.061555378623,5.38506046484e-08,0.138050015746,0.0,0.214601313152,0.0888056394795,0.125625379922,30.0,24.0,21.0,25.0,14.0,30.0,21.0
40,2.0,spectral eblock eucsim,[0 1 0 1 0 0 1 1 1 1 1 1],0.318257084147,0.416521293707,0.479138767492,0.395604395604,0.5,0.459147917027,0.478703971386,4.0,1.0,1.0,1.0,3.0,4.0,1.0
41,2.0,affinity eblock eucsim,[0 0 0 1 0 0 2 0 3 2 4 1],0.352342046033,0.0968200939561,0.36316617969,0.207492795389,0.259460818701,0.508322122509,0.343559792726,2.0,16.0,3.0,6.0,9.0,2.0,4.0
42,2.0,spectral eblock cosine,[1 1 1 0 1 1 1 1 1 1 0 0],0.0187974560382,-0.0560837743552,0.0301084732632,-0.0433604336043,0.0334274964283,0.0271189966077,0.0299445968474,39.0,40.0,35.0,33.0,37.0,39.0,35.0
43,2.0,affinity eblock cosine,[0 0 0 3 0 0 0 3 1 0 2 3],0.185028045145,0.00759047235185,0.214334684759,0.0677966101695,0.172096807375,0.266939043156,0.209273830533,12.0,23.0,14.0,15.0,26.0,12.0,14.0
44,2.0,spectral eblock rbf,[0 0 0 1 0 0 1 0 0 1 1 1],0.135655577411,0.135079461855,0.197709818795,0.17728531856,0.199730451115,0.1957096288,0.19769959816,14.0,5.0,15.0,9.0,20.0,14.0,15.0
45,2.0,affinity eblock rbf,[0 0 0 4 0 0 1 0 2 1 3 4],0.352342046033,0.0968200939561,0.36316617969,0.207492795389,0.259460818701,0.508322122509,0.343559792726,2.0,15.0,2.0,6.0,9.0,2.0,4.0
46,2.0,spectral eblock edr,[0 1 1 1 1 1 1 1 0 0 1 1],0.0187974560382,-0.0560837743552,0.0301084732632,-0.0433604336043,0.0334274964283,0.0271189966077,0.0299445968474,39.0,40.0,35.0,33.0,37.0,39.0,35.0
47,2.0,affinity eblock edr,[0 1 2 4 1 2 3 4 0 0 4 3],0.374890096413,0.097505488377,0.357211646748,0.0589970501475,0.235924321251,0.540852082973,0.328537684407,1.0,14.0,4.0,19.0,13.0,1.0,7.0
48,2.0,kmeans eblockset,[0 0 0 0 0 0 0 0 0 0 1 0],0.061555378623,5.38506046484e-08,0.138050015746,0.0,0.214601313152,0.0888056394795,0.125625379922,30.0,24.0,21.0,25.0,14.0,30.0,21.0
49,2.0,complete eblockset,[0 0 0 0 0 0 0 0 0 0 1 0],0.061555378623,5.38506046484e-08,0.138050015746,0.0,0.214601313152,0.0888056394795,0.125625379922,30.0,24.0,21.0,25.0,14.0,30.0,21.0
50,2.0,average eblockset,[0 0 0 0 0 0 0 0 0 0 1 0],0.061555378623,5.38506046484e-08,0.138050015746,0.0,0.214601313152,0.0888056394795,0.125625379922,30.0,24.0,21.0,25.0,14.0,30.0,21.0
51,2.0,ward eblockset,[0 0 0 0 0 0 0 0 0 0 1 0],0.061555378623,5.38506046484e-08,0.138050015746,0.0,0.214601313152,0.0888056394795,0.125625379922,30.0,24.0,21.0,25.0,14.0,30.0,21.0
52,2.0,spectral b_cum warp,[0 1 1 1 0 0 1 1 1 0 0 0],2.22044604925e-16,-0.0743751748959,3.20342650381e-16,-0.1,3.20342650381e-16,3.20342650381e-16,3.20342650381e-16,53.0,49.0,53.0,56.0,55.0,53.0,53.0
53,2.0,affinity b_cum warp,[2 1 1 1 1 1 0 1 0 2 2 2],0.280421527921,0.187577424828,0.334916258218,0.25,0.277259586207,0.404562747689,0.32902676971,5.0,4.0,7.0,4.0,8.0,5.0,6.0
54,2.0,PCA b_cum euclid,[0 1 0 0 0 0 1 0 1 0 0 0],0.0187974560382,-0.0560837743552,0.0301084732632,-0.0433604336043,0.0334274964283,0.0271189966077,0.0299445968474,39.0,40.0,35.0,33.0,37.0,39.0,35.0
55,2.0,spectral b_cum eucsim,[0 1 0 1 0 0 1 0 1 0 0 0],-1.11022302463e-16,-0.0788138222609,-1.67145027764e-16,-0.0879120879121,-1.74422358516e-16,-1.60171325191e-16,-1.6699335144e-16,65.0,56.0,65.0,52.0,65.0,65.0,65.0
56,2.0,affinity b_cum eucsim,[1 0 1 0 1 1 0 1 0 1 2 1],0.063735059298,-0.0629223100895,0.0812519801954,-0.078431372549,0.0717984344786,0.09195025398,0.0806343470329,28.0,47.0,31.0,50.0,33.0,28.0,31.0
57,2.0,spectral b_cum cosine,[1 0 1 0 1 0 1 0 1 0 0 1],2.22044604925e-16,-0.0743751748959,3.20342650381e-16,-0.1,3.20342650381e-16,3.20342650381e-16,3.20342650381e-16,53.0,49.0,53.0,56.0,55.0,53.0,53.0
58,2.0,affinity b_cum cosine,[1 0 1 0 1 0 1 0 1 2 3 1],0.159128542074,-0.0163108073876,0.18004750823,-0.034188034188,0.141205498349,0.229573958514,0.174859230305,13.0,31.0,20.0,32.0,27.0,13.0,20.0
59,2.0,spectral b_cum rbf,[0 1 1 1 0 0 1 1 1 0 0 0],2.22044604925e-16,-0.0743751748959,3.20342650381e-16,-0.1,3.20342650381e-16,3.20342650381e-16,3.20342650381e-16,53.0,49.0,53.0,56.0,55.0,53.0,53.0
60,2.0,affinity b_cum rbf,[1 0 1 0 1 1 0 1 0 1 2 1],0.063735059298,-0.0629223100895,0.0812519801954,-0.078431372549,0.0717984344786,0.09195025398,0.0806343470329,28.0,47.0,31.0,50.0,33.0,28.0,31.0
61,2.0,spectral b_cum edr,[1 0 0 0 0 0 0 0 1 1 1 1],0.135655577411,0.135079461855,0.197709818795,0.17728531856,0.199730451115,0.1957096288,0.19769959816,14.0,5.0,15.0,9.0,20.0,14.0,15.0
62,2.0,affinity b_cum edr,[1 1 0 1 0 0 1 0 1 0 0 1],2.22044604925e-16,-0.0743751748959,3.20342650381e-16,-0.1,3.20342650381e-16,3.20342650381e-16,3.20342650381e-16,53.0,49.0,53.0,56.0,55.0,53.0,53.0
63,2.0,kmeans badcumset,[1 0 0 0 1 1 0 0 0 1 1 1],2.22044604925e-16,-0.0743751748959,3.20342650381e-16,-0.1,3.20342650381e-16,3.20342650381e-16,3.20342650381e-16,53.0,49.0,53.0,56.0,55.0,53.0,53.0
64,2.0,complete badcumset,[0 1 0 1 0 0 1 0 1 0 0 0],-1.11022302463e-16,-0.0788138222609,-1.67145027764e-16,-0.0879120879121,-1.74422358516e-16,-1.60171325191e-16,-1.6699335144e-16,65.0,56.0,65.0,52.0,65.0,65.0,65.0
65,2.0,average badcumset,[0 1 0 1 0 0 1 0 1 0 0 0],-1.11022302463e-16,-0.0788138222609,-1.67145027764e-16,-0.0879120879121,-1.74422358516e-16,-1.60171325191e-16,-1.6699335144e-16,65.0,56.0,65.0,52.0,65.0,65.0,65.0
66,2.0,ward badcumset,[0 1 0 1 0 0 1 0 1 0 0 0],-1.11022302463e-16,-0.0788138222609,-1.67145027764e-16,-0.0879120879121,-1.74422358516e-16,-1.60171325191e-16,-1.6699335144e-16,65.0,56.0,65.0,52.0,65.0,65.0,65.0
