,no_clust,algorithm,predictions,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,2.0,spectral warp,[1 0 1 1 1 1 1 1 1 0 1 1],1.11022302463e-16,-0.0950037323206,1.98664651665e-16,-0.0531914893617,2.46408923533e-16,1.60171325191e-16,1.94144422632e-16,52.0,65.0,52.0,45.0,53.0,52.0,52.0
1,2.0,aff prop,[3 0 1 3 1 3 3 1 3 2 3 3],0.135655577411,-0.0474562314215,0.157142099175,-0.0564971751412,0.126174882066,0.1957096288,0.153431671916,11.0,24.0,10.0,56.0,13.0,11.0,10.0
2,2.0,pca,[0 1 0 0 0 0 0 0 0 0 0 0],0.061555378623,5.38506046484e-08,0.138050015746,0.0,0.214601313152,0.0888056394795,0.125625379922,24.0,11.0,13.0,13.0,3.0,24.0,15.0
3,2.0,spectral overlap,[1 0 1 1 0 1 1 1 1 1 1 0],0.0187974560382,-0.0560837743552,0.0301084732632,-0.0433604336043,0.0334274964283,0.0271189966077,0.0299445968474,30.0,29.0,29.0,25.0,30.0,30.0,29.0
4,2.0,km_choice,[0 1 0 0 0 0 1 0 0 0 1 1],0.0646599735817,0.0218229186844,0.0973461443317,0.032967032967,0.101584500083,0.0932846232303,0.0972578072415,18.0,5.0,22.0,5.0,21.0,18.0,22.0
5,2.0,km_ent,[0 1 0 0 0 0 0 0 0 0 0 0],0.061555378623,5.38506046484e-08,0.138050015746,0.0,0.214601313152,0.0888056394795,0.125625379922,24.0,11.0,13.0,13.0,3.0,24.0,15.0
6,2.0,km_con,[0 1 0 0 0 0 1 0 0 0 1 0],0.0187974560382,-0.0560837743552,0.0301084732632,-0.0433604336043,0.0334274964283,0.0271189966077,0.0299445968474,30.0,29.0,29.0,25.0,30.0,30.0,29.0
7,2.0,spect_cos_cat,[1 0 1 1 1 1 0 1 1 1 0 1],0.0187974560382,-0.0560837743552,0.0301084732632,-0.0433604336043,0.0334274964283,0.0271189966077,0.0299445968474,30.0,29.0,29.0,25.0,30.0,30.0,29.0
8,2.0,aff_cos_cat,[0 0 0 0 0 0 0 0 0 0 0 0],0.0,0.0,0.0,0.0,1.0,0.0,0.0,63.0,15.0,63.0,13.0,1.0,63.0,63.0
9,2.0,spect_cos_ent,[0 1 0 0 0 0 0 0 0 0 0 0],0.061555378623,5.38506046484e-08,0.138050015746,0.0,0.214601313152,0.0888056394795,0.125625379922,24.0,11.0,13.0,13.0,3.0,24.0,15.0
10,2.0,aff_cos_ent,[4 0 1 4 2 4 1 2 1 3 4 2],0.187445048206,-0.0399507145664,0.185475187982,-0.0292397660819,0.127210549575,0.270426041486,0.173027564013,3.0,23.0,6.0,23.0,12.0,3.0,6.0
11,2.0,spect_rbf,[1 1 0 0 0 0 0 0 1 0 0 0],0.0187974560382,-0.0560837743552,0.0301084732632,-0.0433604336043,0.0334274964283,0.0271189966077,0.0299445968474,30.0,29.0,29.0,25.0,30.0,30.0,29.0
12,2.0,spect_esk_sim,[0 1 0 0 0 0 0 0 1 1 1 0],0.0646599735817,0.0218229186844,0.0973461443317,0.032967032967,0.101584500083,0.0932846232303,0.0972578072415,18.0,5.0,22.0,5.0,21.0,18.0,22.0
13,2.0,aff_esk_sim,[2 0 0 2 1 1 1 0 0 0 0 2],0.0566330122651,-0.0575983810971,0.0667111721421,-0.034188034188,0.0544694439637,0.0817041659455,0.0653633327564,28.0,47.0,28.0,24.0,29.0,28.0,28.0
14,2.0,spect_lin_sim,[1 0 1 1 1 1 1 1 0 0 0 1],0.0646599735817,0.0218229130128,0.0973461443317,0.032967032967,0.101584500083,0.0932846232303,0.0972578072415,18.0,9.0,22.0,5.0,21.0,18.0,22.0
15,2.0,aff_lin_sim,[2 1 0 2 1 1 2 2 1 1 2 2],0.094468568492,-0.0201437354408,0.118400107573,-0.0225352112676,0.102859005396,0.136289335283,0.117237572575,16.0,21.0,20.0,21.0,19.0,16.0,19.0
16,2.0,comp_hr_esk_dis,[0 0 0 0 1 0 1 0 0 0 0 0],1.11022302463e-16,-0.0950037258765,1.98664651665e-16,-0.0531914893617,2.46408923533e-16,1.60171325191e-16,1.94144422632e-16,52.0,57.0,52.0,45.0,53.0,52.0,52.0
17,2.0,avg_hr_esk_dis,[0 1 0 0 0 0 0 0 1 1 1 0],0.0646599735817,0.0218229186844,0.0973461443317,0.032967032967,0.101584500083,0.0932846232303,0.0972578072415,18.0,5.0,22.0,5.0,21.0,18.0,22.0
18,2.0,comp_hr_lin_din,[1 0 0 0 0 1 0 0 0 0 1 1],-1.11022302463e-16,-0.0788138222609,-1.67145027764e-16,-0.0879120879121,-1.74422358516e-16,-1.60171325191e-16,-1.6699335144e-16,64.0,49.0,64.0,62.0,64.0,64.0,64.0
19,2.0,avg_hr_lin_dis,[1 0 0 0 0 1 0 0 0 0 1 1],-1.11022302463e-16,-0.0788138222609,-1.67145027764e-16,-0.0879120879121,-1.74422358516e-16,-1.60171325191e-16,-1.6699335144e-16,64.0,49.0,64.0,62.0,64.0,64.0,64.0
20,2.0,spect_edr,[0 0 1 0 1 0 0 1 0 0 0 0],0.0187974560382,-0.0560837743552,0.0301084732632,-0.0433604336043,0.0334274964283,0.0271189966077,0.0299445968474,30.0,29.0,29.0,25.0,30.0,30.0,29.0
21,2.0,aff_edr,[0 0 0 2 1 1 0 2 1 3 2 1],0.115524530093,-0.0498844608446,0.122357702719,-0.0521739130435,0.0898284444876,0.166666666667,0.116738345205,12.0,25.0,19.0,44.0,27.0,12.0,21.0
22,2.0,spectral bad warp,[1 0 1 0 0 0 0 0 0 1 0 0],0.0187974560382,-0.0560837743552,0.0301084732632,-0.0433604336043,0.0334274964283,0.0271189966077,0.0299445968474,30.0,29.0,29.0,25.0,30.0,30.0,29.0
23,2.0,affinity bad warp,[0 2 1 2 1 1 2 1 2 3 2 2],0.187445048206,0.0134250200696,0.212086489449,0.02849002849,0.166332645923,0.270426041486,0.205974971093,4.0,10.0,2.0,10.0,9.0,4.0,4.0
24,2.0,PCA bad euclid,[1 0 0 0 0 0 0 0 0 1 0 0],1.11022302463e-16,-0.0950037258765,1.98664651665e-16,-0.0531914893617,2.46408923533e-16,1.60171325191e-16,1.94144422632e-16,52.0,57.0,52.0,45.0,53.0,52.0,52.0
25,2.0,spectral bad eucsim,[1 0 0 0 0 0 0 0 0 1 0 0],1.11022302463e-16,-0.0950037258765,1.98664651665e-16,-0.0531914893617,2.46408923533e-16,1.60171325191e-16,1.94144422632e-16,52.0,57.0,52.0,45.0,53.0,52.0,52.0
26,2.0,affinity bad eucsim,[0 1 0 1 0 0 1 0 1 2 1 1],0.166389086605,0.0689010431517,0.208540110933,0.101408450704,0.181167304957,0.240048710103,0.206492518389,5.0,2.0,4.0,2.0,7.0,5.0,2.0
27,2.0,spectral bad cosine,[1 0 0 0 0 0 0 0 0 1 0 0],1.11022302463e-16,-0.0950037258765,1.98664651665e-16,-0.0531914893617,2.46408923533e-16,1.60171325191e-16,1.94144422632e-16,52.0,57.0,52.0,45.0,53.0,52.0,52.0
28,2.0,affinity bad cosine,[1 1 1 1 0 0 0 1 1 2 0 0],0.094468568492,-0.0201437354408,0.118400107573,-0.0225352112676,0.102859005396,0.136289335283,0.117237572575,16.0,20.0,21.0,21.0,20.0,16.0,20.0
29,2.0,spectral bad rbf,[1 0 0 0 0 0 0 0 0 1 0 0],1.11022302463e-16,-0.0950037258765,1.98664651665e-16,-0.0531914893617,2.46408923533e-16,1.60171325191e-16,1.94144422632e-16,52.0,57.0,52.0,45.0,53.0,52.0,52.0
30,2.0,affinity bad rbf,[0 1 0 1 0 0 1 0 1 2 1 1],0.166389086605,0.0689010431517,0.208540110933,0.101408450704,0.181167304957,0.240048710103,0.206492518389,5.0,2.0,4.0,2.0,7.0,5.0,2.0
31,2.0,spectral bad edr,[0 1 0 0 1 1 0 0 1 0 0 1],0.0143625915641,-0.0531005824712,0.0209326105846,-0.0664819944598,0.0211465458851,0.0207208396239,0.0209315284706,48.0,26.0,48.0,57.0,48.0,48.0,48.0
32,2.0,affinity bad edr,[0 1 0 2 1 1 2 0 1 0 2 1],0.0225480503791,-0.0872594556426,0.0260901319374,-0.103151862464,0.020925170975,0.0325299604636,0.0254679005062,29.0,56.0,47.0,68.0,51.0,29.0,47.0
33,2.0,kmeans badset,[0 1 1 1 1 1 1 1 1 0 1 1],1.11022302463e-16,-0.0950037323206,1.98664651665e-16,-0.0531914893617,2.46408923533e-16,1.60171325191e-16,1.94144422632e-16,52.0,65.0,52.0,45.0,53.0,52.0,52.0
34,2.0,complete badset,[1 0 0 0 0 0 0 0 0 1 0 0],1.11022302463e-16,-0.0950037258765,1.98664651665e-16,-0.0531914893617,2.46408923533e-16,1.60171325191e-16,1.94144422632e-16,52.0,57.0,52.0,45.0,53.0,52.0,52.0
35,2.0,average badset,[1 0 0 0 0 0 0 0 0 1 0 0],1.11022302463e-16,-0.0950037258765,1.98664651665e-16,-0.0531914893617,2.46408923533e-16,1.60171325191e-16,1.94144422632e-16,52.0,57.0,52.0,45.0,53.0,52.0,52.0
36,2.0,ward badset,[1 0 0 0 0 0 0 0 0 1 0 0],1.11022302463e-16,-0.0950037258765,1.98664651665e-16,-0.0531914893617,2.46408923533e-16,1.60171325191e-16,1.94144422632e-16,52.0,57.0,52.0,45.0,53.0,52.0,52.0
37,2.0,spectral eblock warp,[1 1 1 0 1 1 1 1 1 0 0 1],0.0187974560382,-0.0560837743552,0.0301084732632,-0.0433604336043,0.0334274964283,0.0271189966077,0.0299445968474,30.0,29.0,29.0,25.0,30.0,30.0,29.0
38,2.0,affinity eblock warp,[3 0 2 1 2 3 3 2 2 4 1 2],0.138072580472,-0.0861792361265,0.138969631547,-0.0872093023256,0.0969522364432,0.19919662713,0.130424667238,10.0,55.0,12.0,61.0,26.0,10.0,14.0
39,2.0,PCA eblock euclid,[0 0 0 1 0 0 0 0 0 1 1 0],0.0187974560382,-0.0560837743552,0.0301084732632,-0.0433604336043,0.0334274964283,0.0271189966077,0.0299445968474,30.0,29.0,29.0,25.0,30.0,30.0,29.0
40,2.0,spectral eblock eucsim,[0 0 0 1 0 0 0 0 0 1 1 0],0.0187974560382,-0.0560837743552,0.0301084732632,-0.0433604336043,0.0334274964283,0.0271189966077,0.0299445968474,30.0,29.0,29.0,25.0,30.0,30.0,29.0
41,2.0,affinity eblock eucsim,[1 0 1 2 3 1 3 3 3 4 2 3],0.369121640659,0.108960346306,0.371519806632,0.168604651163,0.25919098824,0.532529960464,0.34867579782,1.0,1.0,1.0,1.0,2.0,1.0,1.0
42,2.0,spectral eblock cosine,[0 0 0 1 0 0 0 0 0 1 1 0],0.0187974560382,-0.0560837743552,0.0301084732632,-0.0433604336043,0.0334274964283,0.0271189966077,0.0299445968474,30.0,29.0,29.0,25.0,30.0,30.0,29.0
43,2.0,affinity eblock cosine,[2 0 2 1 2 2 2 2 2 3 1 2],0.115524530093,-0.0850536569311,0.139947561641,-0.0724233983287,0.117511920056,0.166666666667,0.137838112542,13.0,54.0,11.0,60.0,18.0,13.0,11.0
44,2.0,spectral eblock rbf,[0 0 0 1 0 0 0 0 0 1 1 0],0.0187974560382,-0.0560837743552,0.0301084732632,-0.0433604336043,0.0334274964283,0.0271189966077,0.0299445968474,30.0,29.0,29.0,25.0,30.0,30.0,29.0
45,2.0,affinity eblock rbf,[1 1 1 0 1 1 1 1 1 2 0 1],0.0624014680186,-0.0990379685085,0.0882418974053,-0.0490463215259,0.0864928743742,0.0900262884547,0.0882242169394,23.0,68.0,27.0,43.0,28.0,23.0,27.0
46,2.0,spectral eblock edr,[0 1 0 0 1 0 0 1 0 0 0 1],-1.11022302463e-16,-0.0788138222609,-1.67145027764e-16,-0.0879120879121,-1.74422358516e-16,-1.60171325191e-16,-1.6699335144e-16,64.0,49.0,64.0,62.0,64.0,64.0,64.0
47,2.0,affinity eblock edr,[0 2 1 0 2 1 0 2 0 0 0 2],0.143841036226,0.0357803040528,0.171793877554,0.0,0.142219131603,0.207518749639,0.168772889343,9.0,4.0,7.0,13.0,11.0,9.0,7.0
48,2.0,kmeans eblockset,[1 1 1 0 1 1 1 1 1 0 0 1],0.0187974560382,-0.0560837743552,0.0301084732632,-0.0433604336043,0.0334274964283,0.0271189966077,0.0299445968474,30.0,29.0,29.0,25.0,30.0,30.0,29.0
49,2.0,complete eblockset,[1 1 1 0 1 1 1 1 1 0 0 1],0.0187974560382,-0.0560837743552,0.0301084732632,-0.0433604336043,0.0334274964283,0.0271189966077,0.0299445968474,30.0,29.0,29.0,25.0,30.0,30.0,29.0
50,2.0,average eblockset,[1 1 1 0 1 1 1 1 1 0 0 1],0.0187974560382,-0.0560837743552,0.0301084732632,-0.0433604336043,0.0334274964283,0.0271189966077,0.0299445968474,30.0,29.0,29.0,25.0,30.0,30.0,29.0
51,2.0,ward eblockset,[1 1 1 0 1 1 1 1 1 0 0 1],0.0187974560382,-0.0560837743552,0.0301084732632,-0.0433604336043,0.0334274964283,0.0271189966077,0.0299445968474,30.0,29.0,29.0,25.0,30.0,30.0,29.0
52,2.0,spectral b_cum warp,[0 1 1 1 0 1 1 0 1 0 1 1],-1.11022302463e-16,-0.0788138285159,-1.67145027764e-16,-0.0879120879121,-1.74422358516e-16,-1.60171325191e-16,-1.6699335144e-16,64.0,53.0,64.0,62.0,64.0,64.0,64.0
