,no_clust,algorithm,MI-M,ADMI-M,NMI-M,ARI-M,CO-M,HO-M,VM-M,MI-S,ADMI-S,NMI-S,ARI-S,CO-S,HO-S,VM-S
0,2.0,spectral warp,0.0198428566637,-0.0256498904309,0.0299938925248,0.0,0.0299938925248,0.0299938925248,0.0299938925248,0.0,3.13271413134e-09,0.0,0.0,0.0,0.0,0.0
1,2.0,aff prop,0.113326185568,-0.0425264083757,0.115252225472,0.0166666666667,0.0775424883551,0.171300608969,0.10675864124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,pca,0.0648312053816,0.034597374398,0.164848085642,0.0833333333333,0.277303329555,0.0979969890136,0.144816777366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.0,spectral overlap,1.11022302463e-16,-0.0534178670708,1.63950149548e-16,-0.0666666666667,1.60171325191e-16,1.67818125402e-16,1.63905585915e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.0,km_choice,0.014607252746,-0.0355381206852,0.0226423934404,-0.0233333333333,0.0232630806526,0.0220799039358,0.022613375001,0.0138863266353,0.0226801750683,0.0210037763281,0.0398828694411,0.0210811477392,0.0209901727217,0.0209999536514
5,2.0,km_ent,0.0648312053816,0.034597374398,0.164848085642,0.0833333333333,0.277303329555,0.0979969890136,0.144816777366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2.0,km_con,0.0179276878837,-0.0299180769317,0.0272729621015,-0.0241666666667,0.027520895862,0.0270989783737,0.0272367378509,0.0135988010761,0.0233816708589,0.0200444522674,0.0308149542188,0.0195624819955,0.0205555573402,0.0200596284716
7,2.0,spect_cos_cat,0.00475172268569,-0.0470408260048,0.00705700682028,-0.05,0.00693364100035,0.00718256760899,0.00705590950654,0.0,6.15683543229e-09,0.0,0.0,0.0,0.0,0.0
8,2.0,aff_cos_cat,0.0205436938867,-0.0591823611766,0.0247273245825,-0.05,0.019690062213,0.0310532579529,0.0240993525457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2.0,spect_cos_ent,0.0484046671339,0.0183844961943,0.07551366604,0.0833333333333,0.0779354838827,0.0731671053378,0.0754760562107,0.0,3.00315908212e-09,0.0,0.0,0.0,0.0,0.0
10,2.0,aff_cos_ent,0.189504147212,0.0183670918864,0.199150108336,0.1,0.138456624499,0.286449029029,0.186680338663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2.0,spect_rbf,0.0484046671339,0.0183844953162,0.07551366604,0.0833333333333,0.0779354838827,0.0731671053378,0.0754760562107,0.0,2.86483117557e-09,0.0,0.0,0.0,0.0,0.0
12,2.0,spect_esk_sim,0.000603372660382,-0.0581413716229,0.000941291083516,-0.05,0.000971479467431,0.000912040793049,0.000940822270402,0.0,3.2372826794e-09,0.0,0.0,0.0,0.0,0.0
13,2.0,aff_esk_sim,0.0435938257822,-0.0643751457318,0.0462639491682,-0.05,0.0324811789561,0.0658951756503,0.0435135658605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2.0,spect_lin_sim,0.0658099764693,0.0477561124865,0.0999318477539,0.00416666666667,0.100401828708,0.0994764712932,0.0999245491441,0.0287298040612,0.0456392568837,0.0454636525455,0.0186338998125,0.0475654712683,0.0434271471026,0.0454310121702
15,2.0,aff_lin_sim,0.108999843753,-0.0421710514343,0.106585759318,-0.05,0.0689515218099,0.164761034873,0.0972179180332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2.0,comp_hr_esk_dis,0.000603372660382,-0.0581413747782,0.000941291083516,-0.05,0.000971479467431,0.000912040793049,0.000940822270402,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2.0,avg_hr_esk_dis,0.00463284956192,-0.0630283252105,0.00927949336019,0.0,0.0122962220428,0.00700288240746,0.00892362619662,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2.0,comp_hr_lin_din,0.000603372660382,-0.0581413747782,0.000941291083516,-0.05,0.000971479467431,0.000912040793049,0.000940822270402,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2.0,avg_hr_lin_dis,0.00475172268569,-0.0470408320057,0.00705700682028,-0.05,0.00693364100035,0.00718256760899,0.00705590950654,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2.0,spect_edr,0.0648312053816,0.0453910558755,0.096283871936,0.0833333333333,0.0946007024125,0.0979969890136,0.0962689004874,0.0,5.61331518658e-09,0.0,0.0,0.0,0.0,0.0
21,2.0,aff_edr,0.364603694648,0.0976243877604,0.342090194955,0.05,0.212339872465,0.551124478535,0.306564940016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2.0,spectral bad warp,0.0648312053816,0.0453910586111,0.096283871936,0.0833333333333,0.0946007024125,0.0979969890136,0.0962689004874,0.0,4.86127355135e-09,0.0,0.0,0.0,0.0,0.0
23,2.0,affinity bad warp,0.190197832924,0.0181390409145,0.205119295242,-0.0166666666667,0.146345317519,0.287497584439,0.193959265397,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2.0,PCA bad euclid,0.138077348146,0.152908224994,0.276565819414,0.2,0.366476335826,0.208713755816,0.265959562167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2.0,spectral bad eucsim,0.0133134111256,-0.0342059087635,0.019861789627,-0.0508333333333,0.0196115647031,0.0201241700834,0.0198557226439,0.00040694286234,0.00213400335456,0.000204486463118,0.0037267799625,0.000232820340083,0.000615123149033,0.00021777545097
26,2.0,affinity bad eucsim,0.266494667692,0.00512749231732,0.246201987141,0.0166666666667,0.150475553128,0.402825689701,0.219104580941,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2.0,spectral bad cosine,0.138077348146,0.152908222952,0.276565819414,0.2,0.366476335826,0.208713755816,0.265959562167,0.0,2.56661006612e-09,0.0,0.0,0.0,0.0,0.0
28,2.0,affinity bad cosine,0.153168482124,0.0326919756015,0.207671899372,0.183333333333,0.186276223952,0.231525080732,0.206450373924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2.0,spectral bad rbf,0.0610456226476,0.0323889077414,0.0996930306826,0.106666666667,0.108571060721,0.0922748108217,0.0989719745276,0.0417321392682,0.0669973573837,0.0567306761054,0.047878989764,0.0496900394711,0.0630811037572,0.0570712491615
30,2.0,affinity bad rbf,0.153168482124,0.0326919756015,0.207671899372,0.183333333333,0.186276223952,0.231525080732,0.206450373924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2.0,spectral bad edr,0.0198428566637,-0.0256498922629,0.0299938925248,0.0,0.0299938925248,0.0299938925248,0.0299938925248,0.0,2.50617130468e-09,0.0,0.0,0.0,0.0,0.0
32,2.0,affinity bad edr,0.000603372660382,-0.0581413684676,0.000941291083516,-0.05,0.000971479467431,0.000912040793049,0.000940822270402,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2.0,kmeans badset,0.15499135301,0.180898893051,0.300062110467,0.23,0.385455301254,0.234280480036,0.290606800935,0.0347068056755,0.0574356435579,0.0482133719492,0.0615587011251,0.0389440153482,0.0524618111674,0.0505750668298
34,2.0,complete badset,0.138077348146,0.152908219888,0.276565819414,0.2,0.366476335826,0.208713755816,0.265959562167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2.0,average badset,0.0648312053816,0.034597374398,0.164848085642,0.0833333333333,0.277303329555,0.0979969890136,0.144816777366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2.0,ward badset,0.138077348146,0.152908224994,0.276565819414,0.2,0.366476335826,0.208713755816,0.265959562167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2.0,spectral eblock warp,0.0593857969832,0.0375508639657,0.0897658659942,0.0,0.0897658659942,0.0897658659942,0.0897658659942,0.0,2.92494034347e-09,0.0,0.0,0.0,0.0,0.0
38,2.0,affinity eblock warp,0.162940232337,-0.00289902338767,0.169810144023,0.0333333333333,0.117076651761,0.246295777848,0.158710362502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2.0,PCA eblock euclid,0.138077348146,0.152908224994,0.276565819414,0.2,0.366476335826,0.208713755816,0.265959562167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2.0,spectral eblock eucsim,0.0593857969832,0.0375508636792,0.0897658659942,0.0,0.0897658659942,0.0897658659942,0.0897658659942,0.0,2.88028214329e-09,0.0,0.0,0.0,0.0,0.0
41,2.0,affinity eblock eucsim,0.262862011589,0.0894383485638,0.29140967033,0.2,0.213723095809,0.397334671015,0.277942939513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2.0,spectral eblock cosine,0.0648312053816,0.034597374398,0.164848085642,0.0833333333333,0.277303329555,0.0979969890136,0.144816777366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2.0,affinity eblock cosine,0.239811879694,0.0897036666593,0.309260798205,0.2,0.263845940176,0.362492753318,0.305401030783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2.0,spectral eblock rbf,0.0108908167969,-0.0443857121986,0.0178557113641,0.0,0.0193671281283,0.016462246039,0.0177969297944,0.0,3.05596561734e-09,0.0,0.0,0.0,0.0,0.0
45,2.0,affinity eblock rbf,0.262862011589,0.0894383485638,0.29140967033,0.2,0.213723095809,0.397334671015,0.277942939513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2.0,spectral eblock edr,0.0370532239851,-0.00239277782551,0.0607494997781,0.0,0.0658917094898,0.056008589728,0.0605495104929,0.0536841268271,0.0861676827342,0.0880161967035,0.0,0.0954664266334,0.0811473850581,0.0877264445849
47,2.0,affinity eblock edr,2.77555756156e-16,4.19545313505e-16,2.77555756156e-06,0.0,1.0,4.19545313505e-16,8.3909062701e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2.0,kmeans eblockset,0.0648312053816,0.034597374398,0.164848085642,0.0833333333333,0.277303329555,0.0979969890136,0.144816777366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2.0,complete eblockset,0.0648312053816,0.034597374398,0.164848085642,0.0833333333333,0.277303329555,0.0979969890136,0.144816777366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2.0,average eblockset,0.0648312053816,0.034597374398,0.164848085642,0.0833333333333,0.277303329555,0.0979969890136,0.144816777366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2.0,ward eblockset,0.0648312053816,0.034597374398,0.164848085642,0.0833333333333,0.277303329555,0.0979969890136,0.144816777366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2.0,spectral b_cum warp,0.0134044063159,-0.0337287313565,0.0199075141902,-0.05,0.0195595044924,0.020261715801,0.0199044187151,0.0,5.95574551709e-09,0.0,0.0,0.0,0.0,0.0
53,2.0,affinity b_cum warp,0.053246702872,-0.0617909576334,0.059073015143,-0.05,0.0433567699464,0.0804861875642,0.0563555843341,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2.0,PCA b_cum euclid,0.0108908167969,-0.0443857100129,0.0178557113641,0.0,0.0193671281283,0.016462246039,0.0177969297944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2.0,spectral b_cum eucsim,0.0198428566637,-0.0256498904309,0.0299938925248,0.0,0.0299938925248,0.0299938925248,0.0299938925248,0.0,3.13271413053e-09,0.0,0.0,0.0,0.0,0.0
56,2.0,affinity b_cum eucsim,0.152474796411,0.0276901720755,0.170256946894,0.1,0.125771715472,0.230476525322,0.162737241318,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2.0,spectral b_cum cosine,0.0198428566637,-0.0256498916522,0.0299938925248,0.0,0.0299938925248,0.0299938925248,0.0299938925248,0.0,2.87117992682e-09,0.0,0.0,0.0,0.0,0.0
58,2.0,affinity b_cum cosine,0.102860749642,0.0260620034163,0.123807877844,0.0833333333333,0.0985866792454,0.155481356443,0.120663668491,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2.0,spectral b_cum rbf,0.00223813316664,-0.0537871960942,0.00338309784696,-0.0666666666667,0.00338309784696,0.00338309784696,0.00338309784696,0.0,3.20252215601e-09,0.0,0.0,0.0,0.0,0.0
