,no_clust,algorithm,predictions,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,2.0,spectral warp,[0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 0 1 0 1 0 1 0 0 0 1 1 0],0.129395874079,0.168079343256,0.192886693848,0.199288256228,0.199301042672,0.186678785845,0.192783528645,16.0,2.0,8.0,2.0,5.0,16.0,4.0
1,2.0,aff prop,[0 0 4 0 0 1 0 0 0 0 0 1 4 0 0 4 4 2 1 3 3 1 4 1 0 2 4 3 4 4 4 1 2 0],0.234825460435,0.118721915661,0.233913945971,0.141587092526,0.161507430953,0.338781527244,0.218736525054,3.0,6.0,1.0,9.0,7.0,3.0,1.0
2,2.0,pca,[1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 0 0 0 0 0 0 0 1 0 1 0 1 0 1 1 1 0 0 1],0.0659499152398,0.0745488118726,0.096238457791,0.0980879334558,0.0973438522986,0.0951456156635,0.0962321820104,28.0,13.0,28.0,11.0,26.0,28.0,28.0
3,2.0,spectral overlap,[0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0],0.00346830486856,-0.0199804123495,0.00644671127208,-0.0119250425894,0.0083058605523,0.00500370623416,0.00624514484842,49.0,54.0,49.0,44.0,49.0,49.0,49.0
4,2.0,km_choice,[0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0],0.00265283193034,-0.0198625043109,0.00446861550142,-0.0166880616175,0.00521749090039,0.00382722747021,0.00441551050709,51.0,48.0,50.0,50.0,50.0,51.0,50.0
5,2.0,km_ent,[1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 1 1 1 0 1 0 1 1 1 0 0 1],0.120354717841,0.154444316367,0.190158547772,0.149484536082,0.208254332937,0.173635154577,0.189375588871,18.0,3.0,10.0,3.0,3.0,18.0,5.0
6,2.0,km_con,[1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1],-2.77555756156e-16,-0.0242950598435,-4.88365409721e-16,-0.0179314761447,-5.95614160345e-16,-4.00428312977e-16,-4.78896793661e-16,66.0,63.0,66.0,57.0,66.0,66.0,66.0
7,2.0,spect_cos_cat,[0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0],0.0202979887669,0.00674066895275,0.0320705007319,0.00773195876289,0.0351223797989,0.0292838077341,0.0319384536359,42.0,37.0,42.0,36.0,41.0,42.0,42.0
8,2.0,aff_cos_cat,[2 2 0 2 0 0 0 2 0 1 0 0 0 0 0 0 2 2 0 2 2 0 0 0 0 1 0 0 0 2 0 0 0 0],0.00227695354147,-0.0457191602767,0.00309092518901,-0.0256853011008,0.00290836077808,0.00328494958261,0.00308520580034,57.0,67.0,57.0,63.0,58.0,57.0,57.0
9,2.0,spect_cos_ent,[1 0 1 0 1 1 1 0 0 0 1 1 0 1 1 0 0 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 0],0.0507935935873,0.0520093636512,0.0768949656129,0.0616113744076,0.0806886288307,0.0732796655773,0.0768058873334,33.0,19.0,32.0,17.0,30.0,33.0,32.0
10,2.0,aff_cos_ent,[1 0 2 1 2 6 2 1 0 2 2 3 0 2 2 4 5 2 7 6 3 0 7 0 7 2 2 6 2 2 2 2 2 1],0.126262315288,-0.00591017154406,0.116410757547,-0.0149384885764,0.074394005608,0.182158016118,0.105643014477,17.0,43.0,27.0,49.0,32.0,17.0,27.0
11,2.0,spect_rbf,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 1 0 1 0 0 0 1 1 0],0.120354717841,0.154444316367,0.190158547772,0.149484536082,0.208254332937,0.173635154577,0.189375588871,19.0,4.0,11.0,3.0,4.0,19.0,5.0
12,2.0,spect_esk_sim,[0 0 0 1 1 1 0 0 1 0 1 1 0 1 0 1 1 0 1 0 0 0 1 1 1 0 0 0 1 1 1 0 0 1],0.00173110294283,-0.0201554614548,0.00249745363088,-0.0276816608997,0.00249745363088,0.00249745363088,0.00249745363088,61.0,58.0,61.0,65.0,60.0,61.0,61.0
13,2.0,aff_esk_sim,[3 2 3 3 4 0 3 3 4 4 1 0 1 1 3 0 3 2 2 3 3 3 0 0 2 3 3 3 2 0 2 3 3 4],0.120340105421,0.036792996383,0.120485427223,0.00855263157895,0.0836149852155,0.17361407331,0.112870126386,20.0,26.0,26.0,35.0,29.0,20.0,26.0
14,2.0,spect_lin_sim,[1 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 1 1 1 0 0 0 1 1 0],0.028887615954,0.0198621155636,0.0421547108676,0.026790536891,0.0426388996932,0.0416760202799,0.0421519619278,39.0,31.0,38.0,31.0,39.0,39.0,38.0
15,2.0,aff_lin_sim,[4 2 4 0 6 1 3 4 6 6 0 1 0 0 3 1 4 2 2 3 4 3 5 1 5 3 4 4 2 5 2 3 3 6],0.223472559159,0.0651026599112,0.194617933223,0.0408884959664,0.117480820478,0.322402752873,0.172209840178,5.0,16.0,6.0,24.0,17.0,5.0,8.0
16,2.0,comp_hr_esk_dis,[1 1 1 0 0 0 0 1 0 1 0 0 1 0 1 0 1 1 1 1 1 1 0 0 0 1 1 1 1 0 1 1 1 0],0.028887615954,0.0198621115228,0.0421547108676,0.026790536891,0.0426388996932,0.0416760202799,0.0421519619278,39.0,32.0,38.0,31.0,39.0,39.0,38.0
17,2.0,avg_hr_esk_dis,[0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1],0.0120966914087,-0.00641922694958,0.0212843925051,-0.00384245917387,0.0259586066459,0.0174518367065,0.0208717225316,46.0,44.0,46.0,42.0,46.0,46.0,46.0
18,2.0,comp_hr_lin_din,[0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 1],0.0873496811876,0.106171164474,0.126018951873,0.143598615917,0.126018951873,0.126018951873,0.126018951873,23.0,7.0,22.0,6.0,10.0,23.0,21.0
19,2.0,avg_hr_lin_dis,[0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 1 1 1 0 0 0 1 1 0],0.1026879435,0.128595463979,0.15545633468,0.14691943128,0.163125874215,0.148147386847,0.155276247691,21.0,5.0,15.0,5.0,6.0,21.0,13.0
20,2.0,spect_edr,[0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 0],0.150312334076,0.199051906821,0.217948127143,0.258106355383,0.219046907013,0.216854858956,0.217945371336,11.0,1.0,2.0,1.0,2.0,11.0,2.0
21,2.0,aff_edr,"[ 0  1 13  2  3  4  5  6  7  8  9  4 10 11 12 13 13 13 13 14 14  4 13  4 15
  4 13  6  5  1  0  4  4 16]",0.266281848281,-0.0284454582309,0.201429016331,-0.0130776903469,0.105615573602,0.384163501994,0.165681429207,1.0,65.0,4.0,46.0,22.0,1.0,12.0
22,2.0,spectral bad warp,[0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0],0.00265283193034,-0.0198625043109,0.00446861550142,-0.0166880616175,0.00521749090039,0.00382722747021,0.00441551050709,51.0,48.0,50.0,50.0,50.0,51.0,50.0
23,2.0,affinity bad warp,[3 3 0 3 2 1 2 0 3 3 2 1 0 2 0 1 2 2 2 0 0 3 1 1 3 0 3 0 3 1 2 0 3 2],0.00327473150962,-0.0340751736584,0.00336085831645,-0.0434782608696,0.00239083811652,0.00472443890918,0.00317496243152,50.0,66.0,56.0,67.0,62.0,50.0,56.0
