,no_clust,algorithm,predictions
0,2.0,spectral warp,"[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 1 0 0 1 1 1 0 0 1 1 0 1 1
 1 1 0 0 0 0 0]"
1,2.0,aff prop,"[1 3 1 1 1 1 1 0 3 3 1 1 4 3 0 1 3 3 2 5 3 5 3 4 5 1 3 4 5 4 1 1 5 4 1 5 0
 5 6 3 3 0 0 1]"
2,2.0,pca,"[1 1 1 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 0 0 1 1 1 0 1 0 1 0 1 0 1 1 0 0 1 1 1
 0 0 0 1 1 1 1]"
3,2.0,spectral overlap,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 0 0]"
4,2.0,km_choice,"[0 1 1 1 0 1 0 0 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 0 0 0 0 1 0 0 1 1 0 0 1 1 1
 0 0 1 1 1 1 1]"
5,2.0,km_ent,"[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0
 1 1 0 0 0 0 0]"
6,2.0,km_con,"[1 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1 1 0 0 1 1 0 0 0
 1 1 0 0 0 0 0]"
7,2.0,spect_cos_cat,"[0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0
 0 1 0 1 0 1 1]"
8,2.0,aff_cos_cat,"[1 1 1 1 1 0 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 0 1 0
 1 1 1 1 1 1 0]"
9,2.0,spect_cos_ent,"[0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 1 0 1 0 0 0 0]"
10,2.0,aff_cos_ent,"[0 0 3 0 2 1 0 6 2 0 3 0 1 0 0 0 3 0 4 5 0 8 0 8 8 6 0 8 8 8 0 0 1 7 0 8 0
 9 3 6 0 0 0 1]"
11,2.0,spect_rbf,"[0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 1 0 0 1 1 0 0 0
 1 1 0 0 0 0 0]"
12,2.0,spect_esk_sim,"[1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 0 0 1 1 0 1 1 0 0 0 1 1 0
 0 1 0 1 1 0 1]"
13,2.0,aff_esk_sim,"[4 3 1 1 4 3 0 0 0 4 1 3 4 5 1 1 3 4 1 0 4 1 0 4 0 0 4 1 2 4 5 3 0 2 1 1 3
 2 4 3 5 1 2 1]"
14,2.0,spect_lin_sim,"[0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 1 1 1 0 0 1
 1 0 1 0 0 1 0]"
15,2.0,aff_lin_sim,"[5 0 1 1 5 4 2 2 2 1 1 0 5 6 1 4 4 0 4 2 6 1 2 5 2 2 6 4 3 5 6 3 3 3 2 4 3
 3 5 3 6 1 3 4]"
16,2.0,comp_hr_esk_dis,"[1 1 1 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 0 0 0 1 0 1 1 0 0 0 1 1 0
 0 1 1 1 1 0 0]"
17,2.0,avg_hr_esk_dis,"[0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1
 1 0 0 0 0 1 0]"
18,2.0,comp_hr_lin_din,"[0 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 0 0 0 1 0 1 1 0 0 0 1 1 0
 0 0 1 1 1 1 1]"
19,2.0,avg_hr_lin_dis,"[1 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 1 1 1 1 0 0 1 0 0 1 0 1 0 0
 0 1 0 0 0 0 0]"
20,2.0,spect_edr,"[0 1 0 1 0 0 0 0 1 1 0 1 0 1 0 0 1 1 0 0 1 0 1 0 0 1 1 0 0 0 1 0 0 0 1 0 0
 0 0 1 1 1 0 1]"
21,2.0,aff_edr,"[3 3 3 3 0 0 0 0 3 3 0 3 1 3 0 3 3 3 1 0 3 0 3 1 1 3 3 1 1 1 3 0 1 2 3 1 0
 1 2 3 3 3 0 3]"
22,3.0,spectral warp,"[1 2 1 2 1 1 1 1 2 2 1 2 0 2 1 1 2 2 0 0 2 1 2 0 1 1 2 0 1 0 1 1 1 0 2 1 1
 0 0 2 2 1 1 1]"
23,3.0,aff prop,"[1 3 1 1 1 1 1 0 3 3 1 1 4 3 0 1 3 3 2 5 3 5 3 4 5 1 3 4 5 4 1 1 5 4 1 5 0
 5 6 3 3 0 0 1]"
24,3.0,pca,"[1 1 1 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 0 0 1 1 1 0 1 0 1 0 1 0 1 1 0 0 1 1 1
 0 0 0 1 1 1 1]"
25,3.0,spectral overlap,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 2 0 0 0 2 0 0 0 2 1 0 0 0
 0 0 0 0 0 0 0]"
26,3.0,km_choice,"[0 2 2 2 1 2 1 1 0 2 2 0 1 0 2 2 2 2 2 1 0 2 1 1 1 1 0 2 1 1 0 2 1 1 0 2 2
 1 1 2 0 0 2 2]"
27,3.0,km_ent,"[1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 2 0 1 1 1 0 1 1 1 0 1 0 1 1 0 0 1 1 1
 2 0 1 1 1 1 1]"
28,3.0,km_con,"[2 2 2 2 0 2 0 1 1 2 1 1 0 2 2 2 2 2 2 0 1 2 1 1 0 1 1 2 0 0 1 1 0 0 2 2 2
 0 0 1 1 1 2 2]"
29,3.0,spect_cos_cat,"[2 1 1 0 0 1 0 1 2 2 2 2 0 2 2 1 0 1 0 2 2 1 1 2 2 2 2 0 1 0 2 1 1 0 2 0 1
 1 0 1 0 2 0 1]"
30,3.0,aff_cos_cat,"[1 1 1 1 1 0 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 0 1 0
 1 1 1 1 1 1 0]"
31,3.0,spect_cos_ent,"[0 0 2 0 1 0 0 2 1 0 2 0 0 0 0 0 2 0 1 2 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0
 1 2 2 0 0 0 2]"
32,3.0,aff_cos_ent,"[0 0 3 0 2 1 0 6 2 0 3 0 1 0 0 0 3 0 4 5 0 8 0 8 8 6 0 8 8 8 0 0 1 7 0 8 0
 9 3 6 0 0 0 1]"
33,3.0,spect_rbf,"[2 2 0 2 0 2 2 0 0 2 2 2 1 2 2 2 2 2 0 0 2 2 2 1 1 0 2 1 1 1 2 2 1 1 2 1 1
 0 1 0 2 2 2 2]"
34,3.0,spect_esk_sim,"[1 2 2 2 1 2 1 1 1 2 2 2 1 2 2 2 2 2 2 1 1 2 1 1 1 1 1 2 0 1 1 0 1 0 2 2 0
 0 1 1 1 2 0 2]"
