,no_clust,algorithm,predictions,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,2.0,spectral warp,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1],0.0952960097043,0.128494632545,0.166834629743,-0.0635721493441,0.181405182246,0.153434391106,0.16625151802,16.0,3.0,6.0,58.0,3.0,16.0,6.0
1,2.0,aff prop,[0 5 1 0 0 0 0 0 5 0 1 6 1 5 6 1 2 1 3 1 0 0 0 4 0 0 5 5 1 5 0 6],0.131639092492,0.010775089267,0.133773730255,-0.031240409992,0.0844323344275,0.211949734988,0.120759065767,12.0,25.0,15.0,35.0,23.0,12.0,16.0
2,2.0,pca,[1 0 1 1 1 1 1 1 1 0 1 0 1 1 0 0 0 0 0 1 1 1 1 0 1 1 1 1 1 0 1 0],0.0220041978243,0.00820520785388,0.0348063204811,-0.0362456577309,0.0341950064785,0.0354285631207,0.0348008570204,40.0,26.0,41.0,40.0,39.0,40.0,39.0
3,2.0,spectral overlap,[1 0 1 1 0 0 0 0 1 0 0 1 1 0 0 1 1 1 0 0 0 1 1 0 1 1 1 1 0 0 0 1],0.00913718316685,-0.011056803668,0.0139259104969,-0.0124416796267,0.0131821688425,0.0147116142636,0.0139049610038,53.0,40.0,53.0,19.0,52.0,53.0,53.0
4,2.0,km_choice,[1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 0 0 1 0 1 0],0.0307214056226,0.0220009941103,0.0519837335789,-0.059263214095,0.054631843513,0.0494639825977,0.0519196332412,35.0,21.0,34.0,54.0,29.0,35.0,33.0
5,2.0,km_ent,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1],0.0797351400933,0.102065420895,0.145643194743,-0.0773825685582,0.165227614889,0.128380114844,0.144491701183,19.0,6.0,13.0,62.0,6.0,19.0,9.0
6,2.0,km_con,[1 1 1 0 0 0 1 1 1 0 1 0 0 1 0 1 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1],0.00792780353116,-0.0150180686456,0.0127644138657,0.0197628458498,0.0127644138657,0.0127644138657,0.0127644138657,54.0,43.0,54.0,11.0,55.0,54.0,54.0
7,2.0,spect_cos_cat,[0 0 0 1 1 1 0 0 0 1 1 1 1 1 0 0 1 0 0 0 0 1 0 0 0 1 1 0 1 0 1 0],0.00130420988336,-0.0229512488696,0.00199906363264,-0.030381719034,0.00190308309607,0.00209988487398,0.00199664620714,60.0,47.0,60.0,31.0,60.0,60.0,60.0
8,2.0,aff_cos_cat,[0 3 2 0 2 4 2 2 4 1 4 2 1 0 2 2 1 2 2 3 4 3 3 1 2 0 2 2 1 4 3 2],0.0221546777064,-0.0378314460419,0.0229837848349,-0.0261125413755,0.0148091338975,0.0356708480721,0.0209292612527,39.0,64.0,46.0,23.0,51.0,39.0,49.0
9,2.0,spect_cos_ent,[0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1],0.00311696217943,-0.0237285455242,0.00527421607922,-0.0427122263748,0.00554289058626,0.00501856473935,0.00526771252497,57.0,52.0,57.0,44.0,57.0,57.0,57.0
10,2.0,aff_cos_ent,[4 0 6 4 4 4 4 6 4 0 6 1 4 6 2 0 6 0 3 6 4 4 4 5 4 6 4 6 4 0 4 0],0.0623838860388,-0.039682638467,0.0656168276297,-0.0656609373068,0.0428657115109,0.100443172793,0.060087943453,25.0,65.0,29.0,61.0,33.0,25.0,29.0
11,2.0,spect_rbf,[0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 1 1 1 1 0 0 0 0 1 0 0 0 0 0 1 0 1],0.0220041978243,0.00820520195769,0.0348063204811,-0.0362456577309,0.0341950064785,0.0354285631207,0.0348008570204,40.0,27.0,41.0,40.0,39.0,40.0,39.0
12,2.0,spect_esk_sim,[0 0 0 0 0 1 1 0 1 0 1 1 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0],0.000165970351759,-0.0278669518521,0.000267225878008,-0.0292490118577,0.000267225878008,0.000267225878008,0.000267225878008,66.0,58.0,66.0,27.0,66.0,66.0,66.0
13,2.0,aff_esk_sim,[6 5 0 0 0 1 3 4 3 1 2 2 3 4 1 4 3 4 2 6 3 1 5 2 5 1 4 4 3 6 3 6],0.170611506065,0.0299420208972,0.157053252094,0.0177628420547,0.0897919808818,0.274698517073,0.135343577578,4.0,18.0,9.0,14.0,17.0,4.0,11.0
14,2.0,spect_lin_sim,[0 0 0 0 0 1 1 0 1 0 1 1 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0],0.000165970351759,-0.0278669518521,0.000267225878008,-0.0292490118577,0.000267225878008,0.000267225878008,0.000267225878008,66.0,58.0,66.0,27.0,66.0,66.0,66.0
15,2.0,aff_lin_sim,[6 5 0 0 0 1 3 4 3 1 2 2 3 4 1 4 3 4 2 6 3 1 5 3 5 1 4 4 3 6 3 6],0.160899192413,0.0246330333274,0.14905318332,0.0161096417408,0.0857591857304,0.259060895561,0.128860543009,5.0,20.0,10.0,15.0,22.0,5.0,14.0
16,2.0,comp_hr_esk_dis,[0 1 1 1 1 1 1 1 1 0 1 1 1 0 0 0 1 0 0 0 1 0 1 1 0 1 1 0 0 0 0 0],0.0697054268082,0.0786872255564,0.106387595345,0.0715072933549,0.100848024781,0.112231453891,0.106235668623,23.0,9.0,20.0,1.0,14.0,23.0,19.0
17,2.0,avg_hr_esk_dis,[0 1 0 0 0 1 1 0 1 0 1 1 1 0 0 0 1 0 1 1 1 0 1 1 1 0 0 0 0 0 0 0],0.00130420988336,-0.0229512488696,0.00199906363264,-0.030381719034,0.00190308309607,0.00209988487398,0.00199664620714,60.0,47.0,60.0,31.0,60.0,60.0,60.0
18,2.0,comp_hr_lin_din,[0 0 0 0 0 1 1 0 1 0 1 1 1 0 0 1 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0],0.00195273906993,-0.023793731439,0.00308884979251,-0.0362456577309,0.00303459938326,0.00314407005197,0.00308836494351,59.0,54.0,59.0,40.0,59.0,59.0,59.0
19,2.0,avg_hr_lin_dis,[0 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0],0.00772895555782,-0.0156632604256,0.0127234257514,-0.0477831532905,0.0130088621383,0.0124442523206,0.0127202950439,55.0,44.0,55.0,48.0,53.0,55.0,55.0
20,2.0,spect_edr,[0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1],0.147392523103,0.215850772647,0.237314050253,0.0197628458498,0.237314050253,0.237314050253,0.237314050253,8.0,2.0,1.0,11.0,1.0,8.0,1.0
21,2.0,aff_edr,[0 2 1 4 0 2 3 1 9 4 8 5 3 1 6 6 7 1 5 8 4 6 1 5 0 9 6 9 1 1 6 6],0.267873593434,0.0435321647057,0.23115811246,0.0415995225306,0.123891176523,0.431298454464,0.192489448555,1.0,15.0,3.0,6.0,11.0,1.0,3.0
22,2.0,spectral bad warp,[0 1 1 0 0 1 0 0 1 0 1 1 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0],0.000603372660382,-0.0250631410048,0.000941291083517,-0.0198433420366,0.00091204079305,0.000971479467432,0.000940822270403,64.0,56.0,64.0,22.0,64.0,64.0,64.0
23,2.0,affinity bad warp,[1 0 3 1 4 4 1 1 0 4 0 3 0 1 3 4 0 2 3 1 1 1 4 5 4 1 4 2 1 6 4 1],0.0549237391896,-0.0400621689533,0.0541975823881,-0.0577626127224,0.033216336694,0.088431724539,0.0482930497526,27.0,66.0,33.0,53.0,41.0,27.0,34.0
24,2.0,PCA bad euclid,[1 0 0 1 1 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 1 1 0 1 0 1 0],0.0496539680538,0.0489623056877,0.0757841462633,0.0715072933549,0.0718380882247,0.0799469608223,0.0756759227725,31.0,14.0,26.0,1.0,25.0,31.0,26.0
25,2.0,spectral bad eucsim,[0 1 1 1 1 1 0 0 1 1 1 1 1 0 1 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0],0.0371404883285,0.0303357670792,0.0566055322336,0.0357698289269,0.0535823983277,0.0597992322004,0.056520377499,33.0,17.0,31.0,8.0,30.0,33.0,30.0
26,2.0,affinity bad eucsim,[6 0 1 0 0 0 0 0 1 6 0 2 3 6 1 4 3 5 2 6 0 6 6 7 6 6 6 5 6 8 0 6],0.219408172581,0.0368144906519,0.208058756919,0.0379115195034,0.122538116403,0.353265152111,0.181959432375,2.0,16.0,4.0,7.0,12.0,2.0,5.0
27,2.0,spectral bad cosine,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1],0.0507993835292,0.0522446623252,0.105013272038,-0.0831946755408,0.134828573897,0.0817911736762,0.101817008169,29.0,12.0,21.0,66.0,8.0,29.0,20.0
28,2.0,affinity bad cosine,[5 3 0 5 5 3 1 5 0 5 3 1 3 1 0 2 3 4 1 3 0 5 5 6 1 5 5 7 1 8 5 9],0.114007849843,-0.0359005573288,0.104922785791,-0.0455122393472,0.0599731517289,0.183561988337,0.0904082341071,14.0,63.0,23.0,46.0,28.0,14.0,24.0
29,2.0,spectral bad rbf,[0 1 1 1 1 1 0 0 1 1 1 1 1 0 1 0 1 0 1 0 1 0 1 1 0 0 0 0 0 0 1 0],0.0266038361583,0.014792046141,0.0406039857359,0.0071961102107,0.0384897482309,0.0428343580672,0.0405460012458,36.0,23.0,38.0,16.0,36.0,36.0,35.0
30,2.0,affinity bad rbf,[6 0 1 0 0 0 0 0 1 0 0 2 3 0 1 6 3 4 2 6 0 6 6 5 0 6 6 4 6 6 0 6],0.205127267346,0.0587602881746,0.206980550556,0.0448658933284,0.129714248191,0.330271723467,0.186270673229,3.0,11.0,5.0,5.0,10.0,3.0,4.0
31,2.0,spectral bad edr,[1 1 0 0 0 0 1 1 1 0 0 0 1 1 1 0 1 1 0 1 1 0 0 1 0 0 0 1 0 1 0 1],3.33066907388e-16,-0.0245627629996,5.07624708521e-16,-0.028512182478,4.80513975572e-16,5.36265036608e-16,5.06861061478e-16,68.0,55.0,68.0,24.0,68.0,68.0,68.0
32,2.0,affinity bad edr,[1 3 0 1 1 0 2 1 3 0 0 0 3 1 3 0 3 4 1 1 1 0 0 3 1 0 1 2 0 2 1 2],0.0152311207519,-0.0446564564641,0.016260618359,-0.0482631417153,0.0107818740539,0.0245233535557,0.0149783886024,45.0,67.0,52.0,50.0,56.0,45.0,52.0
33,2.0,kmeans badset,[1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 0 1 1 1 1 1 1 0 1],0.0266038361583,0.0147920515818,0.0406039857359,0.0071961102107,0.0384897482309,0.0428343580672,0.0405460012458,36.0,22.0,38.0,16.0,36.0,36.0,35.0
