,no_clust,algorithm,MI-M,ADMI-M,NMI-M,ARI-M,CO-M,HO-M,VM-M,MI-S,ADMI-S,NMI-S,ARI-S,CO-S,HO-S,VM-S
0,2.0,spectral warp,0.0198428566637,-0.0256498907362,0.0299938925248,0.0,0.0299938925248,0.0299938925248,0.0299938925248,0.0,3.11701120416e-09,0.0,0.0,0.0,0.0,0.0
1,2.0,aff prop,0.113326185568,-0.0425263843494,0.115252225472,0.0166666666667,0.0775424883551,0.171300608969,0.10675864124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,pca,0.0648312053816,0.034597374398,0.164848085642,0.0833333333333,0.277303329555,0.0979969890136,0.144816777366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.0,spectral overlap,1.11022302463e-16,-0.0534178670708,1.63950149548e-16,-0.0666666666667,1.60171325191e-16,1.67818125402e-16,1.63905585915e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.0,km_choice,0.0270664601182,-0.0137618882938,0.0405641368616,-0.00416666666667,0.0402448837311,0.0409128841463,0.0405494120178,0.0149659722893,0.0243725193083,0.0223973074334,0.029056810658,0.0222200590368,0.0226221341001,0.0223976997954
5,2.0,km_ent,0.0648312053816,0.034597374398,0.164848085642,0.0833333333333,0.277303329555,0.0979969890136,0.144816777366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2.0,km_con,0.0186050539994,-0.028458823025,0.028169690495,-0.0191666666667,0.0282603582594,0.0281228655499,0.0281478284618,0.0158569785137,0.0264751890224,0.0234196328685,0.0302402659415,0.0228963104533,0.0239689535318,0.0234238923664
7,2.0,spect_cos_cat,0.00475172268569,-0.047040827205,0.00705700682028,-0.05,0.00693364100035,0.00718256760899,0.00705590950654,0.0,6.03244209406e-09,0.0,0.0,0.0,0.0,0.0
8,2.0,aff_cos_cat,0.0205436938867,-0.0591823693487,0.0247273245825,-0.05,0.019690062213,0.0310532579529,0.0240993525457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2.0,spect_cos_ent,0.0484046671339,0.0183844950234,0.07551366604,0.0833333333333,0.0779354838827,0.0731671053378,0.0754760562107,0.0,2.7524407641e-09,0.0,0.0,0.0,0.0,0.0
10,2.0,aff_cos_ent,0.189504147212,0.0183671162402,0.199150108336,0.1,0.138456624499,0.286449029029,0.186680338663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2.0,spect_rbf,0.0484046671339,0.0183844953162,0.07551366604,0.0833333333333,0.0779354838827,0.0731671053378,0.0754760562107,0.0,2.86483117633e-09,0.0,0.0,0.0,0.0,0.0
12,2.0,spect_esk_sim,0.000603372660382,-0.0581413732006,0.000941291083516,-0.05,0.000971479467431,0.000912040793049,0.000940822270402,0.0,2.80356903928e-09,0.0,0.0,0.0,0.0,0.0
13,2.0,aff_esk_sim,0.0435938257822,-0.0643751457318,0.0462639491682,-0.05,0.0324811789561,0.0658951756503,0.0435135658605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2.0,spect_lin_sim,0.0593857969832,0.0375508631061,0.0897658659942,0.0,0.0897658659942,0.0897658659942,0.0897658659942,0.0,2.69425723919e-09,0.0,0.0,0.0,0.0,0.0
15,2.0,aff_lin_sim,0.108999843753,-0.0421710514343,0.106585759318,-0.05,0.0689515218099,0.164761034873,0.0972179180332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2.0,comp_hr_esk_dis,0.000603372660382,-0.0581413747782,0.000941291083516,-0.05,0.000971479467431,0.000912040793049,0.000940822270402,0.0,0.0,0.0,0.0,0.0,0.0,0.0
