,no_clust,algorithm,predictions,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,2.0,spectral warp,[1 1 1 1 1 0 0 0],0.380395665849,0.487136700918,0.561742324919,0.494845360825,0.574995168879,0.548794940695,0.561589636564,19.0,19.0,19.0,19.0,19.0,18.0,19.0
1,2.0,aff prop,[0 0 0 0 0 1 2 1],0.380395665849,0.269192489543,0.481548245513,0.336842105263,0.422541637252,0.548794940695,0.477463153394,18.0,18.0,18.0,18.0,18.0,18.0,18.0
2,2.0,pca,[1 0 0 0 0 0 0 0],0.095602588947,-2.14537194493e-08,0.187076257091,0.0,0.25374246365,0.13792538097,0.178710233418,5.0,7.0,6.0,7.0,12.0,5.0,6.0
3,2.0,spectral overlap,[1 0 0 1 1 0 0 1],0.0,-0.129744739012,0.0,-0.166666666667,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
4,2.0,km_choice,[1 1 1 1 0 1 0 0],0.380395665849,0.487136700918,0.561742324919,0.494845360825,0.574995168879,0.548794940695,0.561589636564,19.0,19.0,19.0,19.0,19.0,18.0,19.0
5,2.0,km_ent,[1 0 0 0 0 0 0 0],0.095602588947,-2.14537194493e-08,0.187076257091,0.0,0.25374246365,0.13792538097,0.178710233418,5.0,7.0,6.0,7.0,12.0,5.0,6.0
6,2.0,km_con,[1 1 1 1 0 1 0 0],0.380395665849,0.487136700918,0.561742324919,0.494845360825,0.574995168879,0.548794940695,0.561589636564,19.0,19.0,19.0,19.0,19.0,18.0,19.0
7,2.0,spect_cos_cat,[1 0 0 1 0 1 0 0],0.0338220755686,-0.0811894830481,0.0499461299621,-0.0824742268041,0.0511244785348,0.0487949406954,0.0499325540002,3.0,4.0,3.0,4.0,3.0,3.0,3.0
8,2.0,aff_cos_cat,[0 2 2 1 2 0 2 2],0.0992280935392,-0.12606627474,0.125614244954,-0.105263157895,0.110222078929,0.143155878466,0.124548628441,9.0,3.0,5.0,3.0,5.0,9.0,5.0
9,2.0,spect_cos_ent,[1 0 0 0 0 0 0 0],0.095602588947,-2.14537194493e-08,0.187076257091,0.0,0.25374246365,0.13792538097,0.178710233418,5.0,7.0,6.0,7.0,12.0,5.0,6.0
