,0,1,2,3,4,5,6,7,8,9
0,0.5,0.6,0.5,0.6,0.8,0.8,0.6,0.8,0.7,0.7
1,0.7,0.7,0.8,0.8,1.0,0.5,0.4,0.5,0.7,0.7
2,0.5,0.5,0.7,0.5,0.6,0.6,0.6,0.9,0.8,1.0
3,0.6,0.3,0.5,0.5,0.7,0.6,0.4,0.4,0.5,0.4
4,0.7,1.0,0.8,0.4,0.4,0.6,0.4,0.6,0.5,0.8
5,0.3,0.6,0.5,0.0,0.6,0.1,0.7,0.5,0.4,0.7
6,0.7,0.5,0.7,0.6,0.8,0.8,0.9,1.0,0.9,0.8
7,0.5,0.9,0.6,0.4,0.1,0.0,0.2,0.1,0.3,0.1
8,0.6,0.8,0.8,0.8,0.9,0.4,0.5,0.5,0.7,0.6
9,0.5,0.4,0.2,0.1,0.4,0.5,0.6,0.3,0.6,0.4
10,0.6,0.5,0.6,0.3,0.6,0.7,0.3,0.7,0.5,0.4
11,0.5,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5
12,0.6,0.3,0.6,0.5,0.4,0.5,0.4,0.6,0.5,0.6
13,0.6,0.0,0.9,0.3,0.3,1.0,0.8,0.7,0.4,0.8
14,0.3,0.3,0.7,0.5,0.7,0.4,0.2,0.3,0.4,0.6
15,0.6,0.5,0.5,0.4,0.4,0.4,0.6,0.4,0.4,0.5
16,0.7,0.6,0.5,0.6,0.4,0.4,0.2,0.5,0.5,0.6
17,0.5,0.7,0.6,0.5,0.6,0.1,0.6,0.1,0.4,0.0
18,0.5,0.5,0.6,0.4,0.6,0.3,0.5,0.3,0.4,0.6
19,0.9,0.8,0.4,0.2,0.4,0.3,0.3,0.6,0.3,0.2
20,0.5,0.6,0.6,0.7,0.5,0.7,0.5,0.5,0.6,0.6
21,0.6,0.5,1.0,0.3,0.4,0.4,0.5,0.3,0.3,0.3
22,0.5,0.7,0.2,0.5,0.5,0.3,0.5,0.0,0.2,0.2
23,1.0,0.5,0.6,0.8,0.4,0.3,0.4,0.5,0.4,0.6
24,0.6,0.6,0.3,0.5,0.6,0.6,0.6,0.9,0.4,0.1
25,0.5,0.7,0.5,0.7,0.7,0.3,0.8,0.5,0.0,0.9
26,0.5,0.5,0.4,0.3,0.5,0.5,0.4,0.5,0.6,0.5
27,0.4,0.1,0.8,0.5,0.7,0.5,0.5,0.5,0.6,0.5
28,0.7,0.3,0.6,0.4,0.7,0.8,0.5,0.7,0.3,0.6
29,0.5,0.6,0.5,0.4,0.5,0.6,0.9,0.7,0.7,0.8
30,0.4,0.8,0.5,0.5,0.4,0.8,0.8,0.8,0.9,0.6
31,0.6,0.6,0.7,0.3,0.5,0.3,0.4,0.6,1.0,0.2
32,0.6,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.4
33,0.5,0.8,0.1,0.0,0.0,0.2,0.1,0.0,0.1,0.0
34,0.3,0.7,0.7,0.4,0.6,0.7,0.6,0.5,0.5,0.4
35,0.4,0.5,0.6,0.7,0.5,0.4,0.0,0.7,1.0,1.0
36,0.5,0.6,0.6,0.7,0.4,0.5,0.4,0.7,0.4,0.7
37,0.8,0.5,0.7,0.6,0.7,0.8,0.2,0.5,0.8,1.0
38,0.5,0.5,0.4,0.6,0.5,0.3,0.5,0.5,0.4,0.3
39,0.6,0.8,0.1,0.1,0.0,0.1,0.5,0.2,0.1,0.2
40,0.4,1.0,0.2,0.6,0.8,0.6,0.6,0.6,0.4,0.7
41,0.5,0.6,0.7,0.6,0.7,0.4,0.6,0.2,0.6,0.5
42,0.4,0.6,0.5,0.9,0.8,1.0,0.6,0.6,0.6,0.2
43,0.0,0.3,0.7,0.2,0.1,0.4,0.2,0.3,0.2,0.0
44,0.4,0.6,0.5,0.4,0.6,0.6,0.5,0.5,0.5,0.5
45,0.5,0.5,0.4,0.6,0.2,0.5,0.4,0.5,0.4,0.5
46,0.6,0.4,0.5,0.5,0.6,0.3,0.5,0.7,0.4,0.5
47,0.7,0.5,0.5,0.5,0.5,0.8,0.6,0.8,0.5,0.7
48,0.5,0.5,0.5,0.4,0.5,0.9,0.7,0.9,0.8,1.0
49,1.0,0.3,0.3,0.5,0.0,0.0,0.7,0.4,1.0,1.0
50,0.5,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.3
51,0.5,0.2,0.7,0.7,0.0,0.0,0.3,0.0,0.0,0.0
52,0.6,0.9,0.7,0.6,0.5,0.0,0.0,0.2,0.3,0.0
53,0.7,0.9,0.2,0.3,0.7,0.4,0.3,0.6,0.4,0.6
54,0.5,0.6,0.6,0.4,0.7,0.6,0.3,0.9,0.7,0.7
55,0.5,0.7,0.8,0.6,0.8,0.4,0.4,0.7,0.7,0.9
56,0.4,0.6,0.4,0.6,0.5,0.4,0.5,0.4,0.6,0.2
57,0.3,0.1,0.3,0.4,0.3,0.3,0.2,0.4,0.4,0.7
58,0.4,0.8,0.4,0.3,0.7,0.6,0.7,0.6,0.6,0.5
59,0.8,0.8,0.7,0.7,0.6,0.7,0.7,0.8,0.9,0.7
60,0.4,0.6,0.6,0.7,0.9,0.6,0.7,0.3,1.0,0.7
61,0.4,0.5,0.8,0.5,0.6,0.4,0.8,0.7,0.7,0.6
62,0.5,0.7,0.4,0.5,0.6,0.4,0.5,0.3,0.5,0.6
63,1.0,0.9,0.9,0.7,0.6,1.0,0.7,0.6,1.0,0.6
64,0.2,0.2,0.6,0.0,0.0,0.2,0.3,0.4,0.2,0.5
65,0.6,0.5,0.5,0.8,0.7,0.0,0.3,0.2,0.6,0.8
66,0.5,0.5,0.8,1.0,0.7,0.7,1.0,1.0,1.0,1.0
67,0.6,0.4,0.5,0.6,0.6,0.3,0.6,0.4,0.5,0.6
68,0.6,0.7,0.7,0.6,0.7,0.6,0.5,0.6,0.4,0.7
69,0.6,0.6,0.6,0.5,0.6,0.5,0.5,0.6,0.5,0.6
70,0.7,0.5,0.3,0.5,0.4,0.6,0.6,0.5,0.4,0.5
71,0.4,0.5,0.5,0.4,0.3,0.4,0.5,0.5,0.4,0.4
72,0.4,0.5,0.4,0.5,0.6,0.5,0.6,0.5,0.8,0.8
73,0.6,0.5,0.8,0.5,0.6,0.9,0.6,0.7,0.3,0.6
74,0.4,0.5,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.5
75,0.6,0.5,0.6,0.6,0.2,0.8,0.4,0.6,0.6,0.5
76,0.5,0.4,0.6,0.6,0.5,0.5,0.4,0.8,0.5,0.6
77,0.5,0.4,0.7,0.5,0.7,0.5,0.5,0.5,0.4,0.3
78,0.5,0.4,0.7,0.6,0.6,0.4,0.5,0.5,0.5,0.4
79,0.8,0.7,0.6,0.4,0.5,0.8,0.5,0.6,0.5,0.8
80,0.7,0.3,0.5,0.8,0.3,0.5,0.2,0.6,0.7,0.5
81,0.0,0.3,0.7,0.9,0.6,0.5,0.8,0.5,0.2,0.6
82,0.5,0.2,0.4,0.8,0.7,0.5,0.7,0.6,0.0,0.1
83,0.4,0.5,0.7,0.5,0.3,0.9,0.5,0.6,0.6,0.6
84,0.4,0.5,0.5,0.7,0.6,0.7,0.8,0.5,0.3,0.4
