,no_clust,algorithm,predictions,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,2.0,spectral warp,"[0 0 1 0 1 0 1 0 0 0 0 1 0 0 1 1 0 1 0 1 1 1 0 0 1 0 1 1 1 0 0 0 1 0 1 1 0
 1 1 1 1 0 1 1 0 0 0 0 0 1 0 0 1 0 0 1 1 1 1 1 0 0 1 1 1 0 1 0 0 0 1 0 0 0
 0 1 1 1 0 1 0 1 0 1 0 0 1 1 0 1 1 0 1 0 1 1 1 0 0 0 0]",0.692705982449,-8.67808084052e-07,0.387420811043,0.0,1.0,0.150094884829,0.261013046505,22.0,54.0,22.0,1.0,61.0,22.0,22.0
1,2.0,aff prop,"[3 3 4 2 2 8 2 0 6 7 3 6 2 2 5 4 1 4 3 4 4 6 3 7 5 7 6 4 6 3 3 2 6 3 5 4 8
 5 5 5 5 3 4 4 3 2 7 7 2 6 1 8 6 7 7 4 5 6 4 4 7 2 5 4 5 3 6 3 8 3 5 7 7 3
 8 4 5 6 3 4 3 6 7 6 7 3 6 5 2 5 6 7 5 7 6 6 5 2 8 8 2]",2.01032077341,-5.99883546486e-06,0.659995777416,0.0,1.0,0.435594426206,0.606848867974,15.0,67.0,15.0,1.0,37.0,15.0,15.0
2,2.0,pca,"[0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0
 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0]",0.497645001994,-4.02581402381e-07,0.328373649827,0.0,1.0,0.107829253901,0.194667641284,59.0,21.0,59.0,1.0,14.0,59.0,59.0
3,2.0,spectral overlap,"[0 0 1 1 0 1 1 0 1 0 0 0 1 0 1 1 0 1 1 1 1 1 0 0 1 0 1 1 0 1 0 1 1 0 1 1 1
 1 1 1 1 0 1 1 0 1 1 0 1 1 0 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 0 1 1 0 0 0
 0 1 1 1 0 1 0 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 0 0 0 1]",0.682077946678,-5.75274419161e-07,0.384437266628,0.0,1.0,0.147792011972,0.257524029494,34.0,37.0,34.0,1.0,14.0,34.0,34.0
4,2.0,km_choice,"[1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 0 1
 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 1 0 0 1 1 1 1 1 1 1 1 1 1
 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1 1 1 1]",0.524137206754,-5.80876932858e-07,0.337000830959,0.0,1.0,0.113569560067,0.203973894653,57.0,39.0,57.0,1.0,56.0,57.0,57.0
5,2.0,km_ent,"[0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1
 0 0 0 0 1 0 0 0 0 1 1 0 0 1 1 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 1 1 1
 1 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0]",0.631840581392,-5.54980657026e-07,0.37000895478,0.0,1.0,0.136906626617,0.240840581648,45.0,35.0,45.0,1.0,56.0,45.0,45.0
6,2.0,km_con,"[1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 0 1
 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 1 0 0 1 1 1 1 1 1 1 1 1 1
 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1 1 1 1]",0.524137206754,-5.80876932858e-07,0.337000830959,0.0,1.0,0.113569560067,0.203973894653,57.0,39.0,57.0,1.0,56.0,57.0,57.0
7,2.0,spect_cos_cat,"[1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 0 0 1 0 0 1 1 1 0 1 1 0 1 1 1 1 1 1 0 0 0
 0 0 0 1 1 0 0 1 1 1 1 1 0 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 1 1 1 0 1
 1 0 1 0 1 0 1 1 0 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1]",0.656977149486,-7.14628063129e-07,0.377297223284,0.0,1.0,0.142353194697,0.249227988959,41.0,47.0,41.0,1.0,3.0,41.0,41.0
8,2.0,aff_cos_cat,"[0 3 0 4 4 2 2 0 2 6 0 6 6 6 0 0 0 0 1 0 0 4 3 5 0 2 4 0 4 6 2 0 3 5 0 0 6
 0 0 0 6 5 0 0 5 6 2 3 6 4 6 3 4 2 0 0 0 6 0 0 0 0 0 0 0 3 6 6 6 1 0 2 0 5
 4 0 6 4 5 0 3 4 6 4 2 4 0 0 3 0 0 6 0 6 6 3 6 6 6 6 6]",1.6383089377,-2.42433846727e-06,0.595808064188,0.0,1.0,0.354987249351,0.523971350315,19.0,60.0,19.0,1.0,14.0,19.0,19.0
9,2.0,spect_cos_ent,"[1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 0 0 1 1 0 1 1 1
 1 1 1 1 0 1 1 0 1 0 0 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 0 0 1 0 1 0
 1 1 1 1 0 1 0 1 0 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1]",0.599560718438,-7.61789531815e-07,0.360433428088,0.0,1.0,0.129912256083,0.229951052188,47.0,48.0,47.0,1.0,37.0,47.0,47.0
