,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,spectral warp,[0 1 1 0 0 0 0 1 1 1 1 0 0 0 1 0 0 0 0 0],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,23.0,23.0,23.0,11.0,24.0,23.0,23.0
1,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,aff prop,[0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0],0.03243,0.00325,0.05506,0.00654,0.06481,0.04678,0.05434,49.0,49.0,49.0,47.0,50.0,49.0,49.0
2,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,pca,[0 1 1 0 0 0 0 1 1 1 1 0 0 0 1 0 0 0 0 0],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,23.0,23.0,23.0,11.0,24.0,23.0,23.0
3,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,spectral overlap,[0 1 1 0 0 0 1 1 0 1 0 0 0 1 1 1 0 0 0 0],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,50.0,51.0,50.0,50.0,51.0,50.0,50.0
4,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,km_choice,[0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 1 0 0 0 1],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,23.0,23.0,23.0,11.0,24.0,23.0,23.0
5,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,km_ent,[0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 1 1 0 1 0],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,23.0,23.0,23.0,11.0,24.0,23.0,23.0
6,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,km_con,[0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 1 0 0 0 1],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,23.0,23.0,23.0,11.0,24.0,23.0,23.0
7,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,spect_cos_cat,[0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0],0.0067,-0.0333,0.01073,-0.03068,0.01192,0.00967,0.01068,51.0,52.0,51.0,52.0,52.0,51.0,51.0
8,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,aff_cos_cat,[0 0 0 1 0 0 0 0 0 0 0 2 2 3 0 2 4 0 0 0],0.23692,0.11431,0.28693,0.09424,0.24087,0.3418,0.28259,2.0,7.0,2.0,5.0,6.0,2.0,2.0
9,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,spect_cos_ent,[0 1 1 0 0 0 0 1 1 1 1 0 0 0 1 0 0 0 0 0],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,23.0,23.0,23.0,11.0,24.0,23.0,23.0
