,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spectral warp,[0 0 0 1 1 0 1 1 0 0 1 1 0 1 1 0 1 0 0 0],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,34.0,42.0,34.0,32.0,34.0,34.0,34.0
1,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,aff prop,[0 0 0 1 1 0 1 1 2 0 1 1 0 1 1 0 1 0 0 0],0.03744,-0.03249,0.04862,-0.05025,0.04376,0.05402,0.04835,9.0,28.0,9.0,52.0,9.0,9.0,9.0
2,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,pca,[0 0 0 1 1 0 1 1 0 0 1 1 0 1 1 0 1 0 0 0],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,34.0,42.0,34.0,32.0,34.0,34.0,34.0
3,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spectral overlap,[1 1 1 0 1 0 1 0 0 1 0 0 1 1 1 0 1 1 1 1],0.00551,-0.03305,0.00822,-0.0398,0.00851,0.00795,0.00822,33.0,32.0,33.0,31.0,33.0,33.0,33.0
4,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,km_choice,[0 0 0 0 1 1 1 0 1 1 0 0 0 1 1 0 1 0 0 0],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,13.0,7.0,10.0,7.0,10.0,13.0,10.0
5,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,km_ent,[0 0 0 1 1 0 1 1 0 0 1 1 0 1 1 0 1 0 0 0],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,34.0,42.0,34.0,32.0,34.0,34.0,34.0
6,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,km_con,[1 1 1 1 0 0 0 1 0 0 1 1 1 0 0 1 0 1 1 1],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,13.0,20.0,10.0,7.0,10.0,13.0,10.0
7,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spect_cos_cat,[0 0 0 1 1 0 1 1 0 1 1 1 0 1 1 1 1 0 0 0],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,34.0,33.0,34.0,32.0,34.0,34.0,34.0
8,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,aff_cos_cat,[3 3 3 0 0 3 0 0 1 2 0 0 3 0 0 0 0 3 3 3],0.07938,-0.02189,0.09475,-0.03365,0.07839,0.11452,0.09307,7.0,27.0,8.0,30.0,6.0,7.0,8.0
9,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spect_cos_ent,[1 1 1 0 0 1 0 0 1 1 0 0 1 0 0 1 0 1 1 1],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,34.0,33.0,34.0,32.0,34.0,34.0,34.0
10,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,aff_cos_ent,[ 0  1  2  7  3  4  5  5  1 11  6  9  7  8  7  9  5 10 11 12],0.43288,-4e-05,0.33162,-0.00582,0.1761,0.62451,0.27473,2.0,5.0,2.0,5.0,3.0,2.0,2.0
11,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spect_rbf,[0 0 0 1 1 0 1 1 0 0 1 1 0 1 1 0 1 0 0 0],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,34.0,42.0,34.0,32.0,34.0,34.0,34.0
12,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spect_esk_sim,[0 0 0 0 1 1 1 0 1 1 0 0 0 1 1 0 1 0 0 0],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,13.0,7.0,10.0,7.0,10.0,13.0,10.0
13,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,aff_esk_sim,[0 0 0 0 1 1 1 0 1 1 0 0 0 1 1 0 1 0 0 0],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,13.0,7.0,10.0,7.0,10.0,13.0,10.0
14,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spect_lin_sim,[0 0 0 0 1 1 1 0 1 1 0 0 0 1 1 0 1 0 0 0],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,13.0,7.0,10.0,7.0,10.0,13.0,10.0
15,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,aff_lin_sim,[0 0 0 0 1 1 1 0 1 1 0 0 0 1 1 0 1 0 0 0],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,13.0,7.0,10.0,7.0,10.0,13.0,10.0
16,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,comp_hr_esk_dis,[1 1 1 1 0 0 0 1 0 0 1 1 1 0 0 1 0 1 1 1],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,13.0,20.0,10.0,7.0,10.0,13.0,10.0
17,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,avg_hr_esk_dis,[1 1 1 1 0 0 0 1 0 0 1 1 1 0 0 1 0 1 1 1],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,13.0,20.0,10.0,7.0,10.0,13.0,10.0
18,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,comp_hr_lin_din,[1 1 1 1 0 0 0 1 0 0 1 1 1 0 0 1 0 1 1 1],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,13.0,20.0,10.0,7.0,10.0,13.0,10.0
19,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,avg_hr_lin_dis,[1 1 1 1 0 0 0 1 0 0 1 1 1 0 0 1 0 1 1 1],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,13.0,20.0,10.0,7.0,10.0,13.0,10.0
20,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spect_edr,[1 1 1 0 0 1 0 0 1 1 0 0 1 0 0 1 0 1 1 1],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,34.0,33.0,34.0,32.0,34.0,34.0,34.0
21,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,aff_edr,[0 1 3 5 2 2 3 3 4 7 5 7 6 6 6 1 3 0 0 7],0.2511,0.00405,0.21241,0.01042,0.12454,0.36226,0.18536,3.0,3.0,3.0,4.0,4.0,3.0,3.0
22,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spectral bad warp,[1 1 1 1 0 0 0 1 0 0 1 1 1 0 0 1 0 1 1 1],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,13.0,20.0,10.0,7.0,10.0,13.0,10.0
23,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,affinity bad warp,[0 0 0 2 1 1 1 2 1 1 2 2 0 1 1 0 1 0 0 0],0.02527,-0.03286,0.02955,-0.02935,0.02395,0.03645,0.02891,10.0,29.0,30.0,27.0,30.0,10.0,30.0
24,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,PCA bad euclid,[0 0 0 0 1 1 1 0 1 1 0 0 0 1 1 0 1 0 0 0],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,13.0,7.0,10.0,7.0,10.0,13.0,10.0
25,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spectral bad eucsim,[0 0 0 0 1 1 1 0 1 1 0 0 0 1 1 0 1 0 0 0],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,13.0,7.0,10.0,7.0,10.0,13.0,10.0
26,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,affinity bad eucsim,[0 0 0 1 2 2 2 1 2 2 1 1 0 2 2 0 2 0 0 0],0.02527,-0.03286,0.02955,-0.02935,0.02395,0.03645,0.02891,10.0,29.0,30.0,27.0,30.0,10.0,30.0
27,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spectral bad cosine,[1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 1],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,13.0,7.0,10.0,7.0,10.0,13.0,10.0
28,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,affinity bad cosine,[0 0 0 1 1 3 2 1 3 1 1 2 0 2 3 0 2 0 0 0],0.09548,0.0026,0.09983,0.01594,0.07236,0.13774,0.09488,6.0,4.0,7.0,2.0,8.0,6.0,7.0
29,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spectral bad rbf,[1 1 1 1 0 0 0 1 0 0 1 1 1 0 0 1 0 1 1 1],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,13.0,20.0,10.0,7.0,10.0,13.0,10.0
30,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,affinity bad rbf,[0 0 0 1 2 2 2 1 2 2 1 1 0 2 2 0 2 0 0 0],0.02527,-0.03286,0.02955,-0.02935,0.02395,0.03645,0.02891,10.0,29.0,30.0,27.0,30.0,10.0,30.0
31,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spectral bad edr,[0 0 0 0 1 1 1 0 1 1 0 0 0 1 1 0 1 0 0 0],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,13.0,7.0,10.0,7.0,10.0,13.0,10.0
32,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,affinity bad edr,[0 1 3 6 2 2 4 3 4 5 6 7 3 2 2 1 5 0 0 7],0.15562,-0.05051,0.13079,-0.04517,0.0762,0.22451,0.11378,5.0,52.0,6.0,51.0,7.0,5.0,6.0
33,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,kmeans badset,[0 0 0 0 1 1 1 0 1 1 0 0 0 1 1 0 1 0 0 0],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,13.0,7.0,10.0,7.0,10.0,13.0,10.0
34,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,complete badset,[0 0 0 0 1 1 1 0 1 1 0 0 0 1 1 0 1 0 0 0],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,13.0,7.0,10.0,7.0,10.0,13.0,10.0
35,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,average badset,[0 0 0 0 1 1 1 0 1 1 0 0 0 1 1 0 1 0 0 0],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,13.0,7.0,10.0,7.0,10.0,13.0,10.0
36,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,ward badset,[0 0 0 0 1 1 1 0 1 1 0 0 0 1 1 0 1 0 0 0],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,13.0,7.0,10.0,7.0,10.0,13.0,10.0
37,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spectral eblock warp,[0 0 0 1 1 0 1 1 0 0 1 1 0 1 1 0 1 0 0 0],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,34.0,42.0,34.0,32.0,34.0,34.0,34.0
38,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,affinity eblock warp,[1 1 1 0 0 1 0 0 1 1 0 0 1 0 0 1 0 1 1 1],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,34.0,33.0,34.0,32.0,34.0,34.0,34.0
39,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,PCA eblock euclid,[0 0 0 1 1 0 1 1 0 0 1 1 0 1 1 0 1 0 0 0],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,34.0,42.0,34.0,32.0,34.0,34.0,34.0
40,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spectral eblock eucsim,[1 1 1 0 0 1 0 0 1 1 0 0 1 0 0 1 0 1 1 1],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,34.0,33.0,34.0,32.0,34.0,34.0,34.0
41,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,affinity eblock eucsim,[1 1 1 0 0 1 0 0 1 1 0 0 1 0 0 1 0 1 1 1],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,34.0,33.0,34.0,32.0,34.0,34.0,34.0
42,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spectral eblock cosine,[1 1 1 0 0 1 0 0 1 1 0 0 1 0 0 1 0 1 1 1],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,34.0,33.0,34.0,32.0,34.0,34.0,34.0
43,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,affinity eblock cosine,[ 0  1  2  9  3  4  5  5  6  7  8 11  9 10  9 11  5 12 13 14],0.50219,-0.00178,0.37431,-0.00699,0.19339,0.72451,0.30529,1.0,6.0,1.0,6.0,2.0,1.0,1.0
44,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spectral eblock rbf,[1 1 1 0 0 1 0 0 1 1 0 0 1 0 0 1 0 1 1 1],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,34.0,33.0,34.0,32.0,34.0,34.0,34.0
45,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,affinity eblock rbf,[1 1 1 0 0 1 0 0 1 1 0 0 1 0 0 1 0 1 1 1],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,34.0,33.0,34.0,32.0,34.0,34.0,34.0
46,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spectral eblock edr,[0 0 1 1 1 1 0 0 0 0 1 0 0 0 0 1 1 1 0 1],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,34.0,42.0,34.0,32.0,34.0,34.0,34.0
47,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,affinity eblock edr,[0 1 3 4 2 2 3 3 1 6 4 6 5 5 5 1 3 0 0 6],0.22493,0.0116,0.19495,0.01156,0.11711,0.32451,0.17211,4.0,2.0,4.0,3.0,5.0,4.0,4.0
48,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,kmeans eblockset,[0 0 0 1 1 0 1 1 0 0 1 1 0 1 1 0 1 0 0 0],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,34.0,42.0,34.0,32.0,34.0,34.0,34.0
49,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,complete eblockset,[0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0],0.07488,0.05993,0.15775,0.02146,0.23035,0.10803,0.14708,8.0,1.0,5.0,1.0,1.0,8.0,5.0
50,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,average eblockset,[0 0 0 1 1 0 1 1 0 0 1 1 0 1 1 0 1 0 0 0],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,34.0,42.0,34.0,32.0,34.0,34.0,34.0
51,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,ward eblockset,[0 0 0 1 1 0 1 1 0 0 1 1 0 1 1 0 1 0 0 0],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,34.0,42.0,34.0,32.0,34.0,34.0,34.0
