,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spectral warp,[1 0 1 1 1 0 0 0 1 1 0 0 1 1 1 0 0 1 1 1],0.0,-0.04091,0.0,-0.05322,0.0,0.0,0.0,49.0,49.0,49.0,50.0,49.0,49.0,49.0
1,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,aff prop,[1 0 1 1 1 2 0 2 1 1 2 2 1 1 1 0 0 3 3 1],0.07938,-0.01507,0.0863,-0.03167,0.06504,0.11452,0.08296,27.0,39.0,32.0,43.0,37.0,27.0,28.0
2,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,pca,[0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 1 1 0 0 0],0.00551,-0.03305,0.00822,-0.0398,0.00851,0.00795,0.00822,43.0,44.0,43.0,44.0,43.0,43.0,43.0
3,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spectral overlap,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,34.0,31.0,28.0,28.0,16.0,34.0,30.0
4,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,km_choice,[1 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0],0.21576,0.28139,0.34559,0.21918,0.38369,0.31128,0.34371,9.0,1.0,4.0,1.0,1.0,9.0,1.0
5,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,km_ent,[1 1 1 1 1 0 0 0 1 1 0 0 1 1 1 0 0 1 1 1],0.00551,-0.03305,0.00822,-0.0398,0.00851,0.00795,0.00822,43.0,41.0,43.0,44.0,43.0,43.0,43.0
6,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,km_con,[1 1 0 0 0 1 1 1 1 0 1 1 0 0 0 1 1 0 0 0],0.02014,-0.01041,0.02905,-0.01333,0.02905,0.02905,0.02905,38.0,36.0,38.0,35.0,38.0,38.0,38.0
7,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spect_cos_cat,[1 0 1 1 1 0 1 0 1 1 0 0 1 1 1 1 1 1 1 1],0.0067,-0.0333,0.01073,-0.03068,0.01192,0.00967,0.01068,42.0,47.0,42.0,42.0,41.0,42.0,42.0
8,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,aff_cos_cat,[ 0  1  2  3  4  5 13  6  7  8  9  9 10 11 12 13 13 10  2 14],0.52836,0.00947,0.39185,0.0035,0.20143,0.76226,0.31866,2.0,29.0,2.0,26.0,14.0,2.0,7.0
9,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spect_cos_ent,[1 1 1 1 1 0 0 1 1 1 0 0 1 1 1 0 0 0 0 1],0.0863,0.08869,0.12636,0.1153,0.12824,0.12451,0.12635,26.0,15.0,26.0,14.0,25.0,26.0,26.0
10,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,aff_cos_ent,[3 3 2 4 0 3 3 3 1 2 3 3 4 4 4 3 3 3 3 1],0.13241,-0.00445,0.14163,-0.01805,0.105,0.19103,0.13552,23.0,35.0,25.0,38.0,31.0,23.0,25.0
11,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spect_rbf,[1 1 1 1 1 0 0 0 1 1 0 0 1 1 1 0 0 1 1 1],0.00551,-0.03305,0.00822,-0.0398,0.00851,0.00795,0.00822,43.0,41.0,43.0,44.0,43.0,43.0,43.0
