,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,spectral warp,[1 1 0 0 0 0 1 1 0 1 0 1 0 0 1 0 1 0 1 0],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,44.0,42.0,44.0,42.0,45.0,44.0,44.0
1,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,aff prop,[0 1 0 2 2 0 1 0 0 1 0 1 2 2 0 2 1 2 1 2],0.06641,0.0097,0.0762,0.02151,0.06059,0.09582,0.07424,14.0,9.0,30.0,8.0,33.0,14.0,31.0
2,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,pca,[1 1 0 0 0 0 1 1 0 1 0 1 0 0 1 0 1 0 1 0],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,44.0,42.0,44.0,42.0,45.0,44.0,44.0
3,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,spectral overlap,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,17.0,11.0,12.0,11.0,5.0,17.0,12.0
4,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,km_choice,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,17.0,11.0,12.0,11.0,5.0,17.0,12.0
5,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,km_ent,[1 1 0 0 0 0 1 1 0 1 0 1 0 0 1 0 1 0 1 0],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,44.0,42.0,44.0,42.0,45.0,44.0,44.0
6,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,km_con,[1 1 0 0 0 0 1 0 0 1 0 1 0 0 1 0 1 0 1 0],0.0,-0.04091,0.0,-0.05322,0.0,0.0,0.0,52.0,49.0,52.0,50.0,52.0,52.0,52.0
7,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,spect_cos_cat,[1 1 0 0 0 1 1 0 0 1 1 1 0 1 1 1 1 0 1 0],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,37.0,34.0,37.0,31.0,38.0,37.0,37.0
8,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,aff_cos_cat,[0 0 3 1 2 3 0 4 3 0 3 0 3 0 0 0 0 5 3 3],0.145,-0.02322,0.15125,-0.04301,0.10936,0.20919,0.14363,9.0,38.0,10.0,41.0,28.0,9.0,10.0
9,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,spect_cos_ent,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,17.0,11.0,12.0,11.0,5.0,17.0,12.0
10,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,aff_cos_ent,[2 2 1 5 5 1 0 1 1 2 3 1 3 3 1 3 4 3 1 5],0.35865,0.13546,0.34242,0.11906,0.2266,0.51743,0.31518,2.0,3.0,2.0,2.0,3.0,2.0,2.0
