,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spectral warp,[1 1 0 0 1 1 1 1 1 1 0 0 0 0 1 1 0 1 1 1],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,22.0,12.0,27.0,12.0,26.0,22.0,27.0
1,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,aff prop,[0 1 2 2 1 0 1 0 1 1 1 2 2 1 0 0 2 1 1 1],0.01007,-0.04874,0.01186,-0.05972,0.00968,0.01452,0.01162,38.0,52.0,41.0,52.0,41.0,38.0,41.0
2,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,pca,[1 1 0 0 1 1 1 1 1 1 0 0 0 0 1 1 0 1 1 1],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,22.0,12.0,27.0,12.0,26.0,22.0,27.0
3,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spectral overlap,[0 1 1 1 0 0 0 1 1 1 1 0 1 1 0 0 0 0 0 0],0.0462,0.02866,0.0669,0.03998,0.06714,0.06665,0.0669,29.0,19.0,34.0,20.0,34.0,29.0,34.0
4,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,km_choice,[0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0],0.00997,-0.0342,0.01841,-0.01731,0.02358,0.01438,0.01786,39.0,37.0,38.0,31.0,38.0,39.0,38.0
5,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,km_ent,[1 1 0 0 1 1 1 1 1 1 0 0 0 0 1 1 0 1 1 1],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,22.0,12.0,27.0,12.0,26.0,22.0,27.0
6,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,km_con,[0 0 1 1 0 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,22.0,16.0,27.0,12.0,26.0,22.0,27.0
7,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spect_cos_cat,[0 1 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0],0.06329,0.05187,0.10137,0.0526,0.11254,0.09131,0.10082,18.0,8.0,17.0,8.0,16.0,18.0,17.0
8,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,aff_cos_cat,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,30.0,24.0,21.0,24.0,5.0,30.0,22.0
9,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spect_cos_ent,[1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1],0.00997,-0.0342,0.01841,-0.01731,0.02358,0.01438,0.01786,39.0,37.0,38.0,31.0,38.0,39.0,38.0
10,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,aff_cos_ent,[3 0 1 2 0 3 0 3 0 0 0 4 3 0 3 3 5 0 0 0],0.13863,-0.02955,0.14565,-0.05198,0.10607,0.2,0.13863,13.0,36.0,12.0,48.0,21.0,13.0,11.0
11,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spect_rbf,[0 0 1 1 0 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,22.0,16.0,27.0,12.0,26.0,22.0,27.0
12,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spect_esk_sim,[1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0],0.0,-0.04567,0.0,-0.03486,0.0,0.0,0.0,44.0,45.0,44.0,38.0,44.0,44.0,44.0
13,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,aff_esk_sim,[0 1 1 1 1 1 1 2 1 1 1 1 1 1 3 4 1 1 1 1],0.13863,-0.00835,0.18882,-0.01749,0.17826,0.2,0.18851,12.0,32.0,7.0,34.0,10.0,12.0,6.0
14,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spect_lin_sim,[0 1 1 1 0 0 1 0 1 1 1 1 1 1 0 0 1 1 1 1],0.02416,-0.00575,0.03712,-0.00441,0.03955,0.03485,0.03705,36.0,30.0,36.0,29.0,36.0,36.0,36.0
15,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,aff_lin_sim,[2 0 0 0 0 1 0 2 0 0 0 0 0 0 2 3 0 0 0 0],0.07948,-0.03605,0.10674,-0.0242,0.09936,0.11466,0.10646,16.0,40.0,16.0,36.0,23.0,16.0,16.0
