,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 0.1]",,spectral warp,[1 0 1 1 0 1 0 1 1 1 0 1 0 0 1 1 0 1 0 0],0.0462,0.02866,0.0669,0.03998,0.06714,0.06665,0.0669,21.0,9.0,21.0,6.0,20.0,21.0,20.0
1,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 0.1]",,aff prop,[4 1 4 4 0 2 0 2 2 2 1 2 3 4 4 4 0 4 1 5],0.13807,-0.02033,0.13183,-0.01145,0.08724,0.1992,0.12134,7.0,27.0,9.0,23.0,16.0,7.0,11.0
2,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 0.1]",,pca,[1 1 0 0 0 0 0 1 1 1 0 1 0 1 1 0 0 0 1 0],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,38.0,40.0,38.0,36.0,39.0,38.0,38.0
3,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 0.1]",,spectral overlap,[1 1 1 1 1 1 0 1 0 1 0 1 1 1 0 0 0 1 0 1],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,20.0,8.0,19.0,5.0,18.0,20.0,19.0
4,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 0.1]",,km_choice,[1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1 0 0 1 0],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,38.0,34.0,38.0,36.0,39.0,38.0,38.0
5,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 0.1]",,km_ent,[0 0 1 1 1 1 1 0 0 0 1 0 1 0 0 1 1 1 0 1],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,38.0,34.0,38.0,36.0,39.0,38.0,38.0
6,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 0.1]",,km_con,[0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 1 1 0 1],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,38.0,40.0,38.0,36.0,39.0,38.0,38.0
7,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 0.1]",,spect_cos_cat,[1 1 0 0 1 1 1 1 0 0 0 0 1 1 1 1 0 0 0 1],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,38.0,34.0,38.0,36.0,39.0,38.0,38.0
8,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 0.1]",,aff_cos_cat,[0 0 2 2 0 2 1 0 2 0 2 2 0 0 0 0 2 2 0 2],0.03744,-0.03249,0.04862,-0.05025,0.04376,0.05402,0.04835,24.0,31.0,26.0,50.0,25.0,24.0,26.0
9,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1e-07, 1e-07]","[0.05, 0.1]",,spect_cos_ent,[1 0 0 0 0 0 0 1 1 1 0 1 0 0 1 0 0 0 1 0],0.00551,-0.03305,0.00822,-0.0398,0.00851,0.00795,0.00822,36.0,33.0,36.0,33.0,37.0,36.0,36.0
