,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 1]","[1.5, 1.5]",,spectral warp,[0 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 0 0 0],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,42.0,44.0,42.0,42.0,42.0,42.0,42.0
1,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 1]","[1.5, 1.5]",,aff prop,[0 2 0 1 2 2 1 2 2 1 2 3 1 2 1 1 3 3 3 3],0.27581,0.15064,0.28994,0.12408,0.21127,0.39791,0.276,7.0,9.0,8.0,11.0,11.0,7.0,8.0
2,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 1]","[1.5, 1.5]",,pca,[0 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 0 0],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,22.0,21.0,25.0,17.0,25.0,22.0,25.0
3,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 1]","[1.5, 1.5]",,spectral overlap,[1 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0],0.02416,-0.00575,0.03712,-0.00441,0.03955,0.03485,0.03705,39.0,39.0,39.0,38.0,39.0,39.0,39.0
4,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 1]","[1.5, 1.5]",,km_choice,[1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 1 1],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,42.0,41.0,42.0,42.0,42.0,42.0,42.0
5,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 1]","[1.5, 1.5]",,km_ent,[0 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 0 0],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,22.0,21.0,25.0,17.0,25.0,22.0,25.0
6,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 1]","[1.5, 1.5]",,km_con,[0 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 0 0 0],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,42.0,44.0,42.0,42.0,42.0,42.0,42.0
7,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 1]","[1.5, 1.5]",,spect_cos_cat,[1 0 1 0 0 0 0 1 0 1 0 1 0 1 0 0 1 1 1 1],0.02014,-0.01041,0.02905,-0.01333,0.02905,0.02905,0.02905,50.0,49.0,50.0,50.0,50.0,50.0,50.0
8,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 1]","[1.5, 1.5]",,aff_cos_cat,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,35.0,34.0,21.0,34.0,13.0,35.0,21.0
9,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 1]","[1.5, 1.5]",,spect_cos_ent,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 1],0.21576,0.28139,0.34559,0.21918,0.38369,0.31128,0.34371,9.0,3.0,6.0,4.0,1.0,9.0,6.0
10,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 1]","[1.5, 1.5]",,aff_cos_ent,[0 1 2 3 3 3 3 3 3 1 3 1 3 3 3 3 4 4 1 4],0.17556,0.03688,0.18976,-0.00676,0.14217,0.25328,0.18212,12.0,20.0,14.0,41.0,20.0,12.0,14.0
11,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 1]","[1.5, 1.5]",,spect_rbf,[1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 1],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,22.0,29.0,25.0,17.0,25.0,22.0,25.0
12,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 1]","[1.5, 1.5]",,spect_esk_sim,[1 0 1 1 0 0 0 1 0 1 0 1 1 1 0 0 1 1 1 1],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,42.0,44.0,42.0,42.0,42.0,42.0,42.0
13,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 1]","[1.5, 1.5]",,aff_esk_sim,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,35.0,34.0,21.0,34.0,13.0,35.0,21.0
