,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spectral warp,[0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 0 1 1 1 1],0.13251,0.15824,0.19186,0.20877,0.19256,0.19116,0.19186,17.0,8.0,16.0,8.0,11.0,17.0,14.0
1,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,aff prop,[0 1 4 1 4 2 1 2 1 4 1 3 4 4 2 0 2 3 5 5],0.19185,0.0156,0.17643,0.00575,0.11247,0.27678,0.15994,14.0,27.0,20.0,28.0,32.0,14.0,20.0
2,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,pca,[1 1 0 1 1 0 1 0 1 1 1 0 0 0 0 1 0 0 0 0],0.13251,0.15824,0.19186,0.20877,0.19256,0.19116,0.19186,17.0,9.0,16.0,8.0,11.0,17.0,14.0
3,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spectral overlap,[0 1 1 1 0 0 0 0 1 1 0 0 1 1 1 0 1 1 1 0],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,49.0,40.0,49.0,49.0,49.0,49.0,49.0
4,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,km_choice,[0 1 0 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0],0.27436,0.3704,0.42163,0.3304,0.44913,0.39582,0.42079,4.0,2.0,1.0,1.0,1.0,4.0,1.0
5,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,km_ent,[1 1 0 1 1 0 1 0 1 1 1 0 0 0 0 1 0 0 0 0],0.13251,0.15824,0.19186,0.20877,0.19256,0.19116,0.19186,17.0,9.0,16.0,8.0,11.0,17.0,14.0
6,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,km_con,[0 1 0 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0],0.27436,0.3704,0.42163,0.3304,0.44913,0.39582,0.42079,4.0,2.0,1.0,1.0,1.0,4.0,1.0
7,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spect_cos_cat,[0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0],0.11728,0.12825,0.21666,0.0649,0.27744,0.16919,0.2102,21.0,12.0,12.0,19.0,8.0,21.0,12.0
8,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,aff_cos_cat,[0 1 0 1 0 2 0 2 1 3 0 0 0 0 0 0 0 0 0 0],0.27436,0.21018,0.34464,0.21053,0.30008,0.39582,0.34136,4.0,7.0,7.0,7.0,7.0,4.0,7.0
9,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spect_cos_ent,[1 1 1 1 1 0 1 0 1 1 1 0 1 1 0 1 0 0 0 0],0.0863,0.08869,0.12636,0.1153,0.12824,0.12451,0.12635,24.0,15.0,24.0,12.0,24.0,24.0,24.0
