,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,spectral warp,[1 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 1 1 1],0.36806,0.51194,0.531,0.62,0.531,0.531,0.531,8.0,2.0,2.0,2.0,2.0,8.0,2.0
1,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,aff prop,[0 1 2 2 2 0 2 1 2 0 3 3 3 0 3 0 3 3 3 0],0.4852,0.32337,0.51007,0.34035,0.37167,0.7,0.48554,4.0,16.0,5.0,7.0,17.0,4.0,5.0
2,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,pca,[0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 1 1 0],0.42281,0.59403,0.61904,0.62084,0.62824,0.60999,0.61898,6.0,1.0,1.0,1.0,1.0,6.0,1.0
3,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,spectral overlap,[0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0],0.00997,-0.0342,0.01841,-0.01731,0.02358,0.01438,0.01786,51.0,51.0,51.0,51.0,51.0,51.0,51.0
4,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,km_choice,[0 0 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0],0.27436,0.3704,0.42163,0.3304,0.44913,0.39582,0.42079,18.0,6.0,9.0,8.0,4.0,18.0,9.0
5,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,km_ent,[0 1 1 1 1 1 1 1 1 1 0 0 0 1 0 1 0 0 0 0],0.2754,0.37278,0.39876,0.46197,0.4002,0.39731,0.39875,16.0,4.0,19.0,4.0,13.0,16.0,18.0
6,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,km_con,[0 0 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0],0.27436,0.3704,0.42163,0.3304,0.44913,0.39582,0.42079,18.0,6.0,9.0,8.0,4.0,18.0,9.0
7,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,spect_cos_cat,[0 0 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0],0.27436,0.3704,0.42163,0.3304,0.44913,0.39582,0.42079,18.0,6.0,9.0,8.0,4.0,18.0,9.0
8,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,aff_cos_cat,[0 0 1 2 3 0 1 0 1 4 0 0 0 0 0 0 0 0 0 0],0.27436,0.15872,0.33227,0.19956,0.27893,0.39582,0.32725,27.0,32.0,27.0,33.0,26.0,27.0,27.0
9,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,spect_cos_ent,[0 0 1 1 1 1 1 0 1 1 0 0 0 1 0 0 0 0 0 0],0.20504,0.267,0.3002,0.32594,0.30466,0.29581,0.30017,32.0,19.0,28.0,17.0,22.0,32.0,28.0
10,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,aff_cos_ent,[4 0 2 2 2 2 2 1 2 2 4 3 4 2 4 3 3 4 4 4],0.3989,0.22463,0.41733,0.30988,0.30263,0.57549,0.39667,7.0,24.0,18.0,21.0,23.0,7.0,20.0
11,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,spect_rbf,[1 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 1 1 1 1],0.2754,0.37278,0.39876,0.46197,0.4002,0.39731,0.39875,16.0,5.0,19.0,4.0,13.0,16.0,18.0
12,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,spect_esk_sim,[0 0 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0],0.27436,0.3704,0.42163,0.3304,0.44913,0.39582,0.42079,18.0,6.0,9.0,8.0,4.0,18.0,9.0
13,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,aff_esk_sim,[2 2 0 0 0 2 0 2 0 0 2 1 2 2 2 1 2 2 2 2],0.31124,0.29685,0.39451,0.23661,0.34661,0.44902,0.39123,14.0,17.0,21.0,28.0,18.0,14.0,21.0
14,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,spect_lin_sim,[0 0 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0],0.27436,0.3704,0.42163,0.3304,0.44913,0.39582,0.42079,18.0,6.0,9.0,8.0,4.0,18.0,9.0
15,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,aff_lin_sim,[0 0 1 1 1 0 1 0 1 1 3 2 3 0 3 2 3 3 3 0],0.50219,0.33526,0.52624,0.3508,0.38223,0.72451,0.50045,2.0,15.0,3.0,6.0,16.0,2.0,4.0
16,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,comp_hr_esk_dis,[0 0 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0],0.27436,0.3704,0.42163,0.3304,0.44913,0.39582,0.42079,18.0,6.0,9.0,8.0,4.0,18.0,9.0
17,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,avg_hr_esk_dis,[0 0 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0],0.27436,0.3704,0.42163,0.3304,0.44913,0.39582,0.42079,18.0,6.0,9.0,8.0,4.0,18.0,9.0
18,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,comp_hr_lin_din,[0 0 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0],0.27436,0.3704,0.42163,0.3304,0.44913,0.39582,0.42079,18.0,6.0,9.0,8.0,4.0,18.0,9.0
19,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,avg_hr_lin_dis,[0 0 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0],0.27436,0.3704,0.42163,0.3304,0.44913,0.39582,0.42079,18.0,6.0,9.0,8.0,4.0,18.0,9.0
20,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,spect_edr,[0 0 1 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0],0.21576,0.28139,0.34559,0.21918,0.38369,0.31128,0.34371,31.0,18.0,26.0,29.0,15.0,31.0,24.0
21,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,aff_edr,[0 1 0 0 0 2 0 1 0 2 3 3 1 2 4 4 3 4 4 3],0.50219,0.2592,0.48077,0.29145,0.31903,0.72451,0.443,2.0,20.0,6.0,23.0,20.0,2.0,6.0
22,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,spectral bad warp,[1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 1],0.10175,0.1109,0.15637,0.12115,0.16657,0.14679,0.15606,40.0,36.0,40.0,37.0,42.0,40.0,40.0
23,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,affinity bad warp,[0 1 1 1 1 1 1 1 1 1 2 4 3 1 2 1 4 4 4 0],0.36306,0.20082,0.38833,0.30344,0.28791,0.52378,0.37157,9.0,28.0,22.0,22.0,25.0,9.0,22.0
24,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,PCA bad euclid,[0 1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 1 0],0.06329,0.05187,0.10137,0.0526,0.11254,0.09131,0.10082,41.0,38.0,41.0,38.0,46.0,41.0,41.0
25,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,spectral bad eucsim,[1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 1 1],0.1484,0.18162,0.22152,0.21227,0.22921,0.21409,0.22139,37.0,29.0,35.0,30.0,33.0,37.0,35.0
26,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,affinity bad eucsim,[0 1 1 1 1 1 1 1 1 1 2 3 4 1 2 1 5 5 5 0],0.36306,0.15643,0.37209,0.27006,0.26434,0.52378,0.35135,9.0,35.0,23.0,26.0,30.0,9.0,23.0
27,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,spectral bad cosine,[0 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 0],0.03243,0.00325,0.05506,0.00654,0.06481,0.04678,0.05434,47.0,43.0,47.0,42.0,47.0,47.0,47.0
28,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,affinity bad cosine,[1 0 0 0 0 0 0 0 0 0 1 2 3 0 1 0 4 4 4 1],0.3199,0.16812,0.34578,0.2717,0.25906,0.46152,0.33185,12.0,30.0,24.0,24.0,31.0,12.0,25.0
29,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,spectral bad rbf,[1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1],0.03243,0.00325,0.05506,0.00654,0.06481,0.04678,0.05434,47.0,42.0,47.0,42.0,47.0,47.0,47.0
30,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,affinity bad rbf,[1 0 0 0 0 0 0 0 0 0 1 2 3 0 1 0 4 4 4 1],0.3199,0.16812,0.34578,0.2717,0.25906,0.46152,0.33185,12.0,30.0,24.0,24.0,31.0,12.0,25.0
31,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,spectral bad edr,[0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 1 1 1],0.03243,0.00325,0.05506,0.00654,0.06481,0.04678,0.05434,47.0,43.0,47.0,42.0,47.0,47.0,47.0
32,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,affinity bad edr,[0 1 3 4 2 2 3 3 1 6 4 6 5 5 5 1 3 0 0 6],0.22493,0.0116,0.19495,0.01156,0.11711,0.32451,0.17211,29.0,40.0,36.0,40.0,44.0,29.0,38.0
33,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,kmeans badset,[1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,42.0,45.0,42.0,45.0,37.0,42.0,42.0
34,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,complete badset,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,42.0,45.0,42.0,45.0,37.0,42.0,42.0
35,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,average badset,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,42.0,45.0,42.0,45.0,37.0,42.0,42.0
36,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,ward badset,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,42.0,45.0,42.0,45.0,37.0,42.0,42.0
