,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.7, 0.7]",,spectral warp,[1 0 0 1 0 1 1 0 0 0 1 1 0 0 1 0 1 1 1 1],0.0462,0.02866,0.0669,0.03998,0.06714,0.06665,0.0669,43.0,38.0,44.0,35.0,44.0,43.0,44.0
1,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.7, 0.7]",,aff prop,[3 2 1 0 2 3 3 1 2 2 2 0 2 2 3 2 4 3 4 4],0.17832,0.03421,0.17737,-0.00799,0.12229,0.25726,0.16578,28.0,37.0,37.0,44.0,39.0,28.0,37.0
2,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.7, 0.7]",,pca,[1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 1],0.02416,-0.00575,0.03712,-0.00441,0.03955,0.03485,0.03705,47.0,45.0,47.0,43.0,47.0,47.0,47.0
3,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.7, 0.7]",,spectral overlap,[0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0],0.0067,-0.0333,0.01073,-0.03068,0.01192,0.00967,0.01068,51.0,49.0,51.0,49.0,51.0,51.0,51.0
4,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.7, 0.7]",,km_choice,[1 0 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1],0.27436,0.3704,0.42163,0.3304,0.44913,0.39582,0.42079,8.0,2.0,2.0,2.0,2.0,8.0,2.0
5,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.7, 0.7]",,km_ent,[0 1 1 1 1 0 0 1 1 1 0 1 1 1 0 1 0 0 0 0],0.0462,0.02866,0.0669,0.03998,0.06714,0.06665,0.0669,43.0,38.0,44.0,35.0,44.0,43.0,44.0
6,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.7, 0.7]",,km_con,[0 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],0.21576,0.28139,0.34559,0.21918,0.38369,0.31128,0.34371,17.0,6.0,7.0,9.0,6.0,17.0,7.0
7,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.7, 0.7]",,spect_cos_cat,[1 0 0 0 0 1 1 0 0 0 0 0 0 1 1 1 0 0 1 1],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,48.0,46.0,48.0,46.0,48.0,48.0,48.0
8,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.7, 0.7]",,aff_cos_cat,[0 4 1 1 1 4 2 1 1 1 1 3 1 4 4 4 1 5 4 4],0.19732,0.02212,0.20583,0.04301,0.14882,0.28467,0.19546,26.0,41.0,30.0,34.0,37.0,26.0,30.0
9,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.7, 0.7]",,spect_cos_ent,[0 1 0 0 1 0 0 0 0 1 1 0 1 1 0 1 0 0 1 0],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,48.0,46.0,48.0,46.0,48.0,48.0,48.0
