,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spectral warp,[0 1 0 1 0 1 1 1 1 1],0.27436,0.33238,0.42163,0.29412,0.44913,0.39582,0.42079,4.0,2.0,3.0,3.0,2.0,4.0,3.0
1,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,aff prop,[1 0 1 0 1 2 0 2 2 2],0.50219,0.38445,0.57805,0.4375,0.46119,0.72451,0.56361,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,pca,[1 0 1 0 1 0 0 0 0 0],0.27436,0.33238,0.42163,0.29412,0.44913,0.39582,0.42079,4.0,2.0,3.0,3.0,2.0,4.0,3.0
3,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spectral overlap,[0 1 0 1 0 0 0 0 0 0],0.1639,0.14679,0.27829,0.09569,0.32753,0.23645,0.27464,20.0,18.0,19.0,19.0,18.0,20.0,19.0
4,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,km_choice,[1 0 1 1 0 0 0 0 0 0],0.27436,0.33238,0.42163,0.29412,0.44913,0.39582,0.42079,4.0,2.0,3.0,3.0,2.0,4.0,3.0
5,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,km_ent,[1 0 1 0 1 0 0 0 0 0],0.27436,0.33238,0.42163,0.29412,0.44913,0.39582,0.42079,4.0,2.0,3.0,3.0,2.0,4.0,3.0
6,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,km_con,[1 0 1 1 0 0 0 0 0 0],0.27436,0.33238,0.42163,0.29412,0.44913,0.39582,0.42079,4.0,2.0,3.0,3.0,2.0,4.0,3.0
7,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spect_cos_cat,[1 0 1 1 0 0 0 0 0 0],0.27436,0.33238,0.42163,0.29412,0.44913,0.39582,0.42079,4.0,2.0,3.0,3.0,2.0,4.0,3.0
8,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,aff_cos_cat,[0 3 1 2 3 3 3 3 3 3],0.27436,0.06901,0.33981,0.14925,0.29173,0.39582,0.3359,18.0,19.0,18.0,18.0,19.0,18.0,18.0
9,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spect_cos_ent,[1 0 1 0 1 1 0 1 1 1],0.02416,-0.06648,0.03712,-0.05882,0.03955,0.03485,0.03705,21.0,21.0,21.0,21.0,21.0,21.0,21.0
10,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,aff_cos_ent,[0 1 0 1 2 3 1 3 3 3],0.50219,0.26773,0.53318,0.33684,0.39238,0.72451,0.50906,2.0,16.0,2.0,2.0,16.0,2.0,2.0
11,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spect_rbf,[1 0 1 0 1 0 0 0 0 0],0.27436,0.33238,0.42163,0.29412,0.44913,0.39582,0.42079,4.0,2.0,3.0,3.0,2.0,4.0,3.0
12,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spect_esk_sim,[0 1 0 0 1 1 1 1 1 1],0.27436,0.33238,0.42163,0.29412,0.44913,0.39582,0.42079,4.0,2.0,3.0,3.0,2.0,4.0,3.0
13,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,aff_esk_sim,[0 1 0 0 1 1 1 1 1 1],0.27436,0.33238,0.42163,0.29412,0.44913,0.39582,0.42079,4.0,2.0,3.0,3.0,2.0,4.0,3.0
14,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spect_lin_sim,[1 0 1 1 0 0 0 0 0 0],0.27436,0.33238,0.42163,0.29412,0.44913,0.39582,0.42079,4.0,2.0,3.0,3.0,2.0,4.0,3.0
15,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,aff_lin_sim,[0 2 0 0 2 2 1 2 2 2],0.31124,0.22465,0.39451,0.18182,0.34661,0.44902,0.39123,3.0,17.0,17.0,17.0,17.0,3.0,17.0
16,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,comp_hr_esk_dis,[1 0 1 1 0 0 0 0 0 0],0.27436,0.33238,0.42163,0.29412,0.44913,0.39582,0.42079,4.0,2.0,3.0,3.0,2.0,4.0,3.0
17,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,avg_hr_esk_dis,[1 0 1 1 0 0 0 0 0 0],0.27436,0.33238,0.42163,0.29412,0.44913,0.39582,0.42079,4.0,2.0,3.0,3.0,2.0,4.0,3.0
18,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,comp_hr_lin_din,[1 0 1 1 0 0 0 0 0 0],0.27436,0.33238,0.42163,0.29412,0.44913,0.39582,0.42079,4.0,2.0,3.0,3.0,2.0,4.0,3.0
