,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,MI-M,ADMI-M,NMI-M,ARI-M,CO-M,HO-M,VM-M,MI-S,ADMI-S,NMI-S,ARI-S,CO-S,HO-S,VM-S,MI-MR,ADMI-MR,NMI-MR,ARI-MR,CO-MR,HO-MR,VM-MR
0,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,spectral warp,0.16958,0.21316,0.25234,0.2361,0.26047,0.24466,0.25211,0.11423,0.17203,0.16829,0.18283,0.17202,0.1648,0.16829,24.0,8.0,22.0,6.0,13.0,24.0,20.0
1,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,aff prop,0.21986,0.14724,0.2582,0.17193,0.2145,0.31719,0.25087,0.1388,0.12544,0.14523,0.15298,0.11331,0.20024,0.13921,13.0,18.0,19.0,14.0,34.0,13.0,22.0
2,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,pca,0.14729,0.17844,0.22566,0.18476,0.24068,0.21249,0.22475,0.10845,0.16401,0.15987,0.17754,0.16504,0.15646,0.15978,28.0,12.0,27.0,13.0,15.0,28.0,25.0
3,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,spectral overlap,0.04939,0.0233,0.1051,0.01974,0.16507,0.07125,0.09418,0.05033,0.07835,0.07754,0.05735,0.09035,0.07261,0.07837,52.0,52.0,52.0,52.0,49.0,52.0,52.0
4,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,km_choice,0.0926,0.09223,0.15985,0.06832,0.19386,0.13359,0.15616,0.07717,0.11784,0.12255,0.09679,0.13896,0.11133,0.12175,47.0,41.0,47.0,40.0,43.0,47.0,47.0
5,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,km_ent,0.16918,0.21238,0.25253,0.23794,0.26198,0.24407,0.25205,0.10692,0.16113,0.15608,0.17512,0.15872,0.15426,0.15617,25.0,9.0,21.0,5.0,12.0,25.0,21.0
6,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,km_con,0.16596,0.20587,0.26038,0.19961,0.28559,0.23943,0.25831,0.08766,0.13326,0.12641,0.15029,0.12872,0.12646,0.12707,26.0,10.0,18.0,11.0,5.0,26.0,17.0
7,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,spect_cos_cat,0.11053,0.12257,0.17229,0.12237,0.18845,0.15946,0.17071,0.12995,0.19598,0.19041,0.21136,0.19594,0.18748,0.1903,33.0,24.0,39.0,23.0,45.0,33.0,38.0
8,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,aff_cos_cat,0.18606,0.02846,0.20664,0.06132,0.16055,0.26843,0.19916,0.06863,0.05795,0.07108,0.08457,0.05517,0.09902,0.06825,18.0,51.0,32.0,48.0,52.0,18.0,32.0
9,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,spect_cos_ent,0.13462,0.15808,0.21488,0.139,0.23906,0.19422,0.21316,0.10701,0.16221,0.16147,0.15914,0.17118,0.15438,0.16115,31.0,16.0,31.0,19.0,16.0,31.0,28.0
10,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,aff_cos_ent,0.20346,0.03924,0.2177,0.0514,0.16449,0.29353,0.20707,0.07934,0.05156,0.07122,0.06984,0.04961,0.11446,0.06616,15.0,49.0,28.0,49.0,50.0,15.0,30.0
11,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,spect_rbf,0.17936,0.22832,0.2633,0.26539,0.268,0.25876,0.26322,0.116,0.1743,0.17028,0.18764,0.17338,0.16735,0.17026,20.0,4.0,17.0,3.0,9.0,20.0,15.0
12,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,spect_esk_sim,0.09233,0.09128,0.16238,0.06407,0.20045,0.1332,0.15814,0.07053,0.10786,0.11288,0.08874,0.1298,0.10175,0.11193,48.0,42.0,45.0,46.0,40.0,48.0,45.0
13,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,aff_esk_sim,0.23112,0.08605,0.26349,0.07296,0.21042,0.33344,0.25544,0.06233,0.09147,0.07378,0.09236,0.07067,0.08992,0.07329,11.0,44.0,16.0,35.0,35.0,11.0,18.0
