,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,MI-M,ADMI-M,NMI-M,ARI-M,CO-M,HO-M,VM-M,MI-S,ADMI-S,NMI-S,ARI-S,CO-S,HO-S,VM-S,MI-MR,ADMI-MR,NMI-MR,ARI-MR,CO-MR,HO-MR,VM-MR
0,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[1, 1]","[0.1, 0.3]",,spectral warp,0.18033,0.18603,0.274,0.17691,0.28868,0.26016,0.27357,0.13297,0.20697,0.20879,0.16576,0.22691,0.19184,0.2082,11.0,3.0,14.0,3.0,9.0,11.0,13.0
1,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[1, 1]","[0.1, 0.3]",,aff prop,0.26027,0.08875,0.2933,0.10938,0.22923,0.37549,0.28453,0.02403,0.08445,0.03654,0.06629,0.03592,0.03466,0.03767,6.0,19.0,7.0,14.0,19.0,6.0,7.0
2,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[1, 1]","[0.1, 0.3]",,pca,0.03744,-0.05872,0.07887,-0.03828,0.11517,0.05402,0.07354,0.05295,0.08304,0.11155,0.05413,0.16288,0.07639,0.104,38.0,39.0,38.0,36.0,37.0,38.0,38.0
3,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[1, 1]","[0.1, 0.3]",,spectral overlap,0.14725,0.13494,0.22534,0.10706,0.23909,0.21243,0.22492,0.17976,0.27923,0.2776,0.26454,0.29704,0.25934,0.277,22.0,10.0,19.0,15.0,16.0,22.0,19.0
4,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[1, 1]","[0.1, 0.3]",,km_choice,0.0,-0.10716,0.0,-0.09798,0.0,0.0,0.0,0.0,0.01452,0.0,0.0303,0.0,0.0,0.0,48.0,48.0,51.0,51.0,51.0,48.0,51.0
5,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[1, 1]","[0.1, 0.3]",,km_ent,0.18033,0.18603,0.274,0.17691,0.28868,0.26016,0.27357,0.13297,0.20697,0.20879,0.16576,0.22691,0.19184,0.2082,11.0,3.0,14.0,3.0,9.0,11.0,13.0
6,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[1, 1]","[0.1, 0.3]",,km_con,0.08195,0.02495,0.13914,-0.01185,0.16376,0.11823,0.13732,0.11589,0.17231,0.19678,0.1521,0.2316,0.1672,0.1942,34.0,26.0,32.0,30.0,28.0,34.0,32.0
7,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[1, 1]","[0.1, 0.3]",,spect_cos_cat,0.0,-0.10716,0.0,-0.09798,0.0,0.0,0.0,0.0,0.01452,0.0,0.0303,0.0,0.0,0.0,48.0,48.0,51.0,51.0,51.0,48.0,51.0
8,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[1, 1]","[0.1, 0.3]",,aff_cos_cat,0.145,-0.0069,0.21209,-0.01493,0.22954,0.20919,0.20522,0.09916,0.00976,0.07685,0.02111,0.00114,0.14305,0.08222,24.0,29.0,22.0,31.0,18.0,24.0,24.0
9,"[0, 1, 2]","[1, 1, 1]",100.0,5.0,softmax,"[1, 1]","[0.1, 0.3]",,spect_cos_ent,0.09202,0.04214,0.15367,0.00785,0.17829,0.13275,0.15184,0.10165,0.14799,0.17624,0.12423,0.21106,0.14666,0.17366,32.0,24.0,30.0,28.0,27.0,32.0,30.0
