,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,MI-M,ADMI-M,NMI-M,ARI-M,CO-M,HO-M,VM-M,MI-S,ADMI-S,NMI-S,ARI-S,CO-S,HO-S,VM-S,MI-MR,ADMI-MR,NMI-MR,ARI-MR,CO-MR,HO-MR,VM-MR
0,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spectral warp,0.03027,0.00444,0.04415,0.00579,0.04466,0.04367,0.04414,0.05335,0.08021,0.07785,0.10086,0.07875,0.07696,0.07785,50.0,48.0,53.0,48.0,53.0,50.0,53.0
1,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,aff prop,0.25317,0.02372,0.22625,0.01802,0.25136,0.36524,0.19897,0.18996,0.05106,0.13678,0.05063,0.26308,0.27405,0.11316,7.0,33.0,7.0,36.0,3.0,7.0,7.0
2,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,pca,0.03557,0.00976,0.05953,0.00423,0.06995,0.05131,0.05845,0.04594,0.06812,0.08004,0.06232,0.09918,0.06628,0.07809,44.0,41.0,45.0,50.0,43.0,44.0,45.0
3,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spectral overlap,0.04145,0.01672,0.07465,0.0129,0.09836,0.05981,0.07089,0.05261,0.07949,0.08697,0.06563,0.10784,0.07589,0.08545,42.0,39.0,29.0,40.0,23.0,42.0,32.0
4,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,km_choice,0.04631,0.02763,0.06993,0.03133,0.07337,0.06681,0.06978,0.06293,0.09479,0.09635,0.10146,0.10278,0.09079,0.09607,32.0,23.0,36.0,21.0,37.0,32.0,35.0
5,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,km_ent,0.04337,0.02075,0.07253,0.01838,0.08539,0.06257,0.07115,0.04875,0.07297,0.08119,0.075,0.09816,0.07034,0.07948,39.0,35.0,31.0,35.0,29.0,39.0,31.0
6,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,km_con,0.04468,0.02554,0.06718,0.02812,0.07013,0.06447,0.06706,0.06372,0.0958,0.09757,0.10322,0.10407,0.09193,0.09729,38.0,31.0,43.0,30.0,42.0,38.0,42.0
7,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spect_cos_cat,0.04872,0.02643,0.08678,0.01752,0.10891,0.07029,0.08419,0.05437,0.08232,0.095,0.05503,0.11807,0.07844,0.09296,27.0,29.0,21.0,37.0,21.0,27.0,21.0
8,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,aff_cos_cat,0.38309,0.00232,0.31171,0.00797,0.18103,0.55269,0.26644,0.19745,0.01821,0.11399,0.03112,0.03852,0.28487,0.07833,1.0,50.0,1.0,47.0,6.0,1.0,1.0
9,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spect_cos_ent,0.03175,0.00544,0.048,0.01001,0.05049,0.0458,0.04786,0.0338,0.05122,0.04952,0.06439,0.05054,0.04876,0.0495,47.0,46.0,48.0,42.0,49.0,47.0,47.0
