,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,MI-M,ADMI-M,NMI-M,ARI-M,CO-M,HO-M,VM-M,MI-S,ADMI-S,NMI-S,ARI-S,CO-S,HO-S,VM-S,MI-MR,ADMI-MR,NMI-MR,ARI-MR,CO-MR,HO-MR,VM-MR
0,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,spectral warp,0.0755042070735,0.0716663400452,0.113575594399,0.0766524954567,0.119052774132,0.108929545111,0.113170312077,0.123577189351,0.185594640399,0.179949809837,0.205035364564,0.182802739085,0.178284198244,0.179763900896,19,3,17,2,14,19,16
1,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,aff prop,0.163596756085,0.0499267555843,0.172843637207,0.0450736106953,0.127151230983,0.236020228709,0.164590476933,0.121077447177,0.118887976402,0.13380658147,0.12697257941,0.10404730636,0.174677832606,0.129335717717,2,12,2,13,9,2,1
2,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,pca,0.065323552916,0.0511681893189,0.112561517636,0.0419262505206,0.138134736546,0.0942419658452,0.109238480335,0.0975965376343,0.147842891528,0.148962085284,0.145813399921,0.163624071751,0.140802040853,0.147941611452,26,11,18,15,7,26,19
3,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,spectral overlap,0.0258348003873,-0.00364177862697,0.040994917852,-0.00659093478239,0.0455080256725,0.0372717384011,0.0406101980789,0.0347467034087,0.0517711224618,0.0585135621142,0.0517015230739,0.0699801375402,0.0501288966949,0.0574404538776,51,48,51,49,51,51,51
4,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,km_choice,0.0320441086282,0.00570321500983,0.0519731050094,0.00267326161637,0.0602153495245,0.0462298766077,0.0508914298827,0.0363548497521,0.0540287548289,0.0616287321225,0.0470780055126,0.0763004515688,0.0524489614496,0.0603901888246,45,37,45,40,44,45,45
5,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,km_ent,0.0836272082291,0.0826253825377,0.132422735374,0.0740571724746,0.146701911708,0.120648558596,0.131216750661,0.117397657823,0.176365574653,0.174705564002,0.182144540411,0.183067902597,0.169369018753,0.174176835272,18,2,10,3,6,18,9
6,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,km_con,0.0913516531872,0.0948982050152,0.143824846252,0.0861260167522,0.157726282992,0.13179257703,0.142901279982,0.0972202637301,0.145659592001,0.149531179651,0.157563760428,0.161939688629,0.140259192357,0.148747321797,17,1,8,1,3,17,5
7,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,spect_cos_cat,0.0309289206558,0.00522389657144,0.045615513933,0.00642505322438,0.0466516711255,0.0446210004502,0.0455947250146,0.0507370433333,0.0763036154524,0.0748576683387,0.0929490707594,0.0766168676811,0.0731980808063,0.0748261613883,47,39,49,37,50,47,49
8,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,aff_cos_cat,0.0928914948543,-0.00449316509382,0.107521473298,0.00370068935963,0.0921541701623,0.134014098967,0.102383807,0.0824250819449,0.0485634851636,0.0811754731455,0.0631547868241,0.0641531095818,0.118914256967,0.0766047493648,16,49,23,39,27,16,23
9,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,spect_cos_ent,0.0279870091683,-0.000367045082162,0.0465326984754,-0.00789142405975,0.0546255586458,0.0403767193364,0.0456134036144,0.0372992688371,0.054439813993,0.065067953107,0.0547514269104,0.0819668253804,0.0538114701801,0.0632189502592,49,45,48,50,46,49,48
