,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.7, 1.8]",,spectral warp,"[2 0 0 2 2 1 1 2 1 0 2 2 2 2 2 2 0 1 2 1 0 1 1 0 2 0 0 1 0 1 0 0 1 1 1 0 0
 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","(0.36565999999999999, 16.0)","(0.31048233741604475, 19.0)","(0.3518099493522886, 17.0)","(0.2683748049601708, 19.0)","(0.37186441775706208, 18.0)","(0.33283700874042377, 16.0)","(0.35127001538346242, 17.0)",16.0,19.0,17.0,19.0,18.0,16.0,17.0
1,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.7, 1.8]",,aff prop,"[5 7 5 0 0 5 5 0 1 7 2 2 2 0 0 2 4 1 0 1 6 3 3 6 2 4 4 3 7 1 4 4 5 3 7 4 4
 3 4 5 6 6 7 6 6 7 7 6 7 6 6 6 7 6 6 6 4 7 6 4]","(0.56806000000000001, 22.0)","(0.23156884366550784, 16.0)","(0.38399616693581728, 19.0)","(0.21602300101017954, 16.0)","(0.28516861408711863, 14.0)","(0.51707322944155887, 22.0)","(0.36760250642829767, 19.0)",22.0,16.0,19.0,16.0,14.0,22.0,19.0
2,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.7, 1.8]",,pca,"[1 0 0 1 1 0 0 1 0 0 1 1 1 1 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","(0.20485, 13.0)","(0.17299094286015784, 14.0)","(0.27628436627210851, 14.0)","(0.1356636685745435, 13.0)","(0.40937265998153372, 19.0)","(0.18646348060914442, 13.0)","(0.25622162150388639, 14.0)",13.0,14.0,14.0,13.0,19.0,13.0,14.0
3,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.7, 1.8]",,spectral overlap,"[2 2 2 1 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","(0.16833999999999999, 10.0)","(0.11937888440892039, 9.0)","(0.23159987579181154, 13.0)","(0.053118269121767196, 6.0)","(0.35005870503507308, 17.0)","(0.15322716360219749, 10.0)","(0.21315322288709446, 13.0)",10.0,9.0,13.0,6.0,17.0,10.0,13.0
4,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.7, 1.8]",,km_choice,"[1 0 0 0 2 2 1 2 1 0 2 2 2 2 2 2 0 2 2 1 0 1 1 0 2 1 1 1 0 2 0 1 1 2 0 1 2
 2 1 2 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 1]","(0.16602, 9.0)","(0.12314890404808393, 11.0)","(0.15218642564195448, 8.0)","(0.13678558229526727, 14.0)","(0.15325885515312504, 7.0)","(0.15112150046099232, 9.0)","(0.15218267356935786, 8.0)",9.0,11.0,8.0,14.0,7.0,9.0,8.0
5,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.7, 1.8]",,km_ent,"[2 0 2 2 2 2 2 2 0 0 2 2 2 2 2 2 0 0 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","(0.48250999999999999, 20.0)","(0.41908868285225986, 22.0)","(0.5024164295175152, 22.0)","(0.37387569576857144, 22.0)","(0.57472764096793594, 22.0)","(0.43920328631490158, 20.0)","(0.49790821417308395, 22.0)",20.0,22.0,22.0,22.0,22.0,20.0,22.0
6,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.7, 1.8]",,km_con,"[2 0 2 2 1 2 2 1 2 0 1 1 1 1 1 1 0 2 1 2 0 2 2 0 2 0 0 2 0 2 0 0 2 2 0 0 0
 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","(0.39756000000000002, 17.0)","(0.34023229139587058, 20.0)","(0.38636841571875785, 20.0)","(0.26946535299757257, 20.0)","(0.41251763539828706, 20.0)","(0.3618767777549487, 17.0)","(0.3855413988775343, 20.0)",17.0,20.0,20.0,20.0,20.0,17.0,20.0
7,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.7, 1.8]",,spect_cos_cat,"[0 1 1 1 0 1 0 0 0 2 0 1 0 0 0 1 2 1 0 0 2 0 2 2 1 0 0 0 1 0 1 0 1 1 2 0 1
 1 1 2 0 1 1 1 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0]","(0.074889999999999998, 4.0)","(0.035991872588803639, 5.0)","(0.072930067171037241, 2.0)","(0.009941052026208205, 5.0)","(0.078029388985250248, 3.0)","(0.068163992653811567, 4.0)","(0.072763823340561667, 3.0)",4.0,5.0,2.0,5.0,3.0,4.0,3.0
8,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.7, 1.8]",,aff_cos_cat,"[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","(0.073539999999999994, 3.0)","(0.014257716797972848, 3.0)","(0.12516096760544462, 6.0)","(-0.0004546074464699576, 4.0)","(0.23402223700252481, 11.0)","(0.066939227710066496, 3.0)","(0.10410148572935071, 6.0)",3.0,3.0,6.0,4.0,11.0,3.0,6.0
9,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.7, 1.8]",,spect_cos_ent,"[1 2 1 0 0 0 0 0 2 2 0 1 1 2 0 0 2 2 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","(0.186, 12.0)","(0.13844362357793991, 12.0)","(0.21728097933627874, 12.0)","(0.09427786238162753, 9.0)","(0.27885312415599944, 13.0)","(0.16930426770087403, 12.0)","(0.21068948025478523, 12.0)",12.0,12.0,12.0,9.0,13.0,12.0,12.0
10,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.7, 1.8]",,aff_cos_ent,"[0 6 0 1 1 8 8 1 2 2 3 0 4 6 1 5 2 6 5 9 7 8 8 8 7 9 8 9 8 7 9 8 7 7 7 7 7
 7 9 0 7 9 7 7 7 9 9 7 8 7 8 9 7 7 9 9 7 9 9 7]","(0.49763000000000002, 21.0)","(0.18374367583640999, 15.0)","(0.34401386318369481, 16.0)","(0.1385468746113474, 15.0)","(0.26127197418411396, 12.0)","(0.45295917571003536, 21.0)","(0.33139282172195644, 16.0)",21.0,15.0,16.0,15.0,12.0,21.0,16.0
11,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.7, 1.8]",,spect_rbf,"[1 2 1 1 1 1 1 1 2 2 1 1 1 1 1 1 2 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","(0.46410000000000001, 19.0)","(0.40175069434315192, 21.0)","(0.47922424345591119, 21.0)","(0.35908198760178, 21.0)","(0.54364371574721793, 21.0)","(0.42243820513999136, 19.0)","(0.47543768401127728, 21.0)",19.0,21.0,21.0,21.0,21.0,19.0,21.0
