Tau	Method	Similarity	Data	Choices	BBC 	Entropy 	Entropy Block	Concat	Normal. MI	RI	V-Measure	Comment
{0.1, 0.3}	Spectral 	Overlap	Choice	x					0.103 (0.019)	0.002 (0.007)	0.087 (0.020)	
	Spectral 	EDR	Bad-Choice		x				0.096 (0.061)	0.016 (0.049)	0.088 (0.059)	
	Spectral 	EDR	E-Block				x		0.068 (0.080)	0.008 (0.085)	0.063 (0.078)	
	Spectral 	Cosine	Entropy			x			0.043 (0.067)	-0	0.043 (0.067)	
	K-Means	Euclidian 	Concat					x	0.036 (0.041)	 - 	0.036 (0.041)	
{0.1, 0.5}	Average	Euclidian 	Bad-Choice		x				0.133 (0.115)	0.040 (0.077)	0.127 (0.115)	Complete Bad-Choice
	K-Means	Euclidian 	Choice	x					0.112 (0.124)	0.035 (0.085)	0.110 (0.122)	
	Spectral 	Euclidian 	E-Block				x		0.103 (0.096)	0.060 (0.092)	0.103 (0.095)	
	Spectral 	Cosine	Entropy			x			0.080 (0.088)	0.038 (0.092)	0.080 (0.088)	
	K-Means	Euclidian 	Concat					x	0.079 (0.097)	0.034 (0.088)	0.079 (0.096)	
{0.1, 0.7}	Spectral 	DTW	E-Block				x		0.361 (0.200)	0.352 (0.211)	0.361 (0.200)	
	Spectral 	EDR	E-Block				x		0.223 (0.083)	0.087 (0.080)	0.217 (0.086)	
	Ward	Euclidian 	E-Block				x		0.195 (0.143)	0.103 (0.135)	0.192 (0.143)	Spectral E-Block RBF
	K-Means	Euclidian 	Bad-Choice		x				0.167 (0.123)	0.064 (0.114)	0.161 (0.123)	
	K-Means	Euclidian 	Choice	x					0.157 (0.127)	0.060 (0.116)	0.151 (0.127)	
	Spectral 	DTW	Entropy			x			0.105 (0.140)	0.087 (0.179)	0.105 (0.140)	
	K-Means	Euclidian 	Concat					x	0.102 (0.183)	0.063 (0.201)	0.101 (0.183)	
{0.1, 1.0}	Spectral 	DTW	E-Block				x		0.792 (0.174)	0.808 (0.170)	0.792 (0.174)	
	Spectral 	RBF	E-Block				x		0.692 (0.164)	0.692 (0.184)	0.692 (0.164)	
	K-Means	Euclidian 	E-Block				x		0.606 (0.188)	0.578 (0.233)	0.606 (0.189)	Ward (very similiar) Spectral E-Block Euclidian Slightly worse
	Spectral 	EDR	Bad-Choice		x				0.280 (0.198)	0.201 (0.215)	0.278 (0.198)	
	Spectral 	Levensthein	Choice	x					0.276 (0.101)	0.154 (0.113)	0.272 (0.111)	
	Spectral 	EDR	Entropy			x			0.236 (0.196)	0.171 (0.184)	0.235 (0.195)	
	K-Means	Euclidian 	Concat					x	0.099 (0.105)	0.052 (0.097)	0.098 (0.104)	
