Alpha	Method	Similarity	Data	Choices	BBC 	Entropy 	Entropy Block	Concat	Normal. MI	RI	V-Measure	Comment
{0.1,0.3}	Spectral	Cosine	Entropy			x			0.088 (0.116)	0.038 (0.105)	0.088 (0.115)	
	Spectral	Cosine	Choices	x					0.087 (0.099)	0.019 (0.075)	0.084 (0.097)	
	Average	Euclidian	Entropy-Block				x		0.083 (0.107)	0.026 (0.095)	0.080 (0.106)	Similiar to Spectral RBF / K-Means / Ward
	Spectral	Cosine	Bad-Choice		x				0.039 (0.055)	0.000 (0.068)	0.039 (0.055)	
	K-Means	Euclidian	Concat					x	0.037 (0.057)	-0	0.037 (0.056)	
{0.1,0.5}	Spectral	EDR	Entropy-Block				x		0.088 (0.087)	0.027 (0.078)	0.083 (0.086)	
	Spectral	Overlap	Choices	x					0.066 (0.051)	0.026 (0.062)	0.065 (0.050)	
	Spectral	Cosine	Entropy			x			0.047 (0.064)	0.002 (0.067)	0.047 (0.063)	
	Spectral	DTW	Bad-Choice		x				0.030 (0.045)	-0	0.030 (0.045)	
	K-Means	Euclidian	Concat					x	0.029 (0.045)	-0	0.029 (0.045)	
{0.1,0.7}	Average	Euclidian	Entropy-Block				x		0.087 (0.038)	0.007 (0.039)	0.076 (0.034)	
	Spectral	Cosine	Category	x					0.081 (0.076)	0.013 (0.044)	0.078 (0.072)	
	K-Means	Euclidian	Entropy			x			0.070 (0.074)	0.014 (0.061)	0.068 (0.072)	
	Spectral	EDR	Bad-Choice		x				0.048 (0.054)	0.003 (0.063)	0.047(0.053)	Spectral Euclidian
	K-Means	Euclidian	Concat					x	0.041 (0.071)	-0	0.041 (0.071)	
{0.1,0.9}	Spectral	Cosine	Choices	x					0.180 (0.110)	0.069 (0.081)	0.175 (0.109)	
	Spectral	EDR	Bad-Choice		x				0.161 (0.125)	0.097 (0.129)	0.159 (0.124)	
	K-Means	Euclidian	Entropy			x			0.142 (0.127)	0.049 (0.097)	0.139 (0.126)	
	Average	Euclidian	Entropy-Block				x		0.115 (0.034)	0.008 (0.016)	0.100 (0.037)	
	K-Means	Euclidian	Concat					x	0.058 (0.108)	0.016 (0.115)	0.058 (0.108)	
{0.5, 0.9}	Spectral	Cosine	Choices	x					0.169 (0.125)	0.075 (0.097)	0.164 (0.126)	
	Spectral	EDR	Entropy			x			0.158 (0.184)	0.111 (0.188)	0.157 (0.184)	K-Means Entorpy
	Spectral	EDR	Bad-Choice		x				0.150 (0.138)	0.103 (0.149)	0.148 (0.137)	
	Average	Euclidian	Entropy-Block				x		0.104 (0.040)	0.003 (0.014)	0.091 (0.038)	Spectral Warp E-Block similar
	K-Means	Euclidian	Concat					x	0.077 (0.097)	0.047 (0.125)	0.077 (0.097)	
