,mu,sigma,trials,cluster,decision,alpha,tau,clustering,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas
0,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.5, 0.8]",spectral warp,0.169013053517,0.125455846553,0.159491149875,0.1130816654,0.165347404773,0.153842311123,0.159387509194
1,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.5, 0.8]",aff prop,0.236107871752,0.0391530118658,0.155045955443,0.0247676383608,0.111854862762,0.214914646584,0.147132750221
2,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.5, 0.8]",pca,0.117862995399,0.0921979413264,0.167524507063,0.0567827529022,0.261591528698,0.10728352178,0.152162421558
3,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.5, 0.8]",kmeans,0.0239918789135,-0.0111976172595,0.0227715516771,-0.0186318423654,0.0237446319078,0.0218383493075,0.0227516301899
4,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.5, 0.8]",spectral overlap,0.0781292189486,0.0332333409039,0.138146675415,0.00969520693207,0.268356330971,0.0711162798327,0.112436192617
5,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.8, 1.7]",spectral warp,0.364145820241,0.30915551868,0.34096364235,0.263237390176,0.350739975011,0.331459809795,0.340827446721
6,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.8, 1.7]",aff prop,0.486422946027,0.191251894031,0.332089772013,0.13398113159,0.249081457831,0.442761246205,0.318811244326
7,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.8, 1.7]",pca,0.232147609981,0.198340030251,0.306361212274,0.166433783574,0.444168539764,0.211309860972,0.286377681646
8,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.8, 1.7]",kmeans,0.21271864624,0.166561890572,0.201197356202,0.189093052135,0.209066010274,0.193624856043,0.201049388148
9,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.8, 1.7]",spectral overlap,0.306841033754,0.252269361892,0.361334536071,0.167794032825,0.467465927336,0.279298745262,0.349675478095
