,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas
0,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.1, 0.1]",,spectral warp,"[0 1 1 1 2 0 0 0 0 2 1 1 0 1 2 0 2 0 2 0 1 1 0 0 2 2 1 1 2 1 1 0 0 1 1 0 2
 0 1 0 0 1 0 1 0 1 2 2 2 1 1 0 0 1 0 2 2 0 0 0]",0.0108362120433,-0.0228575582906,0.00998623436607,-0.0217941233703,0.0101104495479,0.00986354526986,0.00998547138157
1,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.1, 0.1]",,aff prop,"[0 2 2 1 7 0 3 0 3 7 1 2 0 1 4 2 3 0 6 3 6 1 0 2 4 4 2 2 4 2 2 5 5 1 1 5 4
 5 1 5 5 1 5 1 0 2 7 6 4 7 7 5 3 1 3 6 7 0 3 0]",0.231767479555,0.0497584479427,0.154733140392,0.0280602191219,0.113490271355,0.210963851348,0.147585393806
2,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.1, 0.1]",,pca,"[1 1 1 1 0 1 0 1 1 0 1 1 1 1 0 1 0 1 0 1 1 1 1 1 0 0 1 1 0 1 1 1 1 1 1 1 0
 1 1 1 1 1 1 1 1 1 0 0 0 0 0 1 0 1 0 0 0 1 1 1]",0.0245294601359,0.00659125639675,0.0296181690313,0.00837604011682,0.0392891720753,0.0223276768237,0.0284738980471
3,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.1, 0.1]",,spectral overlap,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0]",0.0174416047922,-0.0239350646656,0.0266893338247,-0.0057028263458,0.0448676660232,0.0158760328571,0.0234533146034
4,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.1, 0.1]",,km_choice,"[0 1 1 1 1 1 0 2 0 1 1 1 0 1 0 1 2 1 1 0 0 0 1 1 1 1 1 1 1 1 1 0 0 0 1 0 1
 0 1 0 2 1 2 1 2 1 1 1 1 1 1 1 0 1 0 1 2 1 0 2]",0.0782684495632,0.0390513486526,0.0780873326689,0.00366848096975,0.0855891864564,0.0712430129997,0.0777599439974
5,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.1, 0.1]",,km_ent,"[1 1 0 0 2 1 2 1 1 2 0 0 1 0 2 1 2 1 2 0 0 0 1 1 2 2 0 0 2 0 0 1 1 0 0 1 2
 1 0 1 1 0 1 0 1 0 2 2 2 0 0 1 2 0 1 2 2 1 1 1]",0.0119806869655,-0.0216783168425,0.0109610408755,-0.0224968935975,0.0110170755143,0.010905291238,0.0109608983767
6,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.1, 0.1]",,km_con,"[1 0 2 2 2 0 1 0 1 2 2 2 1 2 1 0 1 0 2 1 1 1 0 0 2 2 2 0 2 0 0 1 1 1 2 1 2
 1 2 1 0 2 0 2 0 2 2 2 2 2 2 0 1 2 1 2 1 0 1 0]",0.0178142101027,-0.0162174894875,0.0163438530136,-0.016202949545,0.0164735340603,0.0162151928269,0.0163433425994
7,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.1, 0.1]",,spect_cos_cat,"[0 0 0 0 0 0 2 1 2 0 0 0 2 0 0 0 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 2 2 0 2 0
 2 0 2 1 0 1 0 1 0 0 0 0 0 0 2 2 0 2 0 0 0 2 1]",0.0196224624759,-0.0164501118252,0.0202781096106,-0.0137457044674,0.0230221499249,0.0178611350686,0.0201158849854
8,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.1, 0.1]",,aff_cos_cat,"[ 2  9  9  4  2  9  0  1  0  2  9  9  4  4  2  5  3  8  2  4  2  2  5  5  4
  4  4  5  4  4  2  4  0  2  8  4  4  6  4  4  7  9  5  8  2  9  4  9  9  8
  8  5  0  8 10  2  9  5  2  9]",0.282721256072,0.0518690565637,0.191589396198,0.0652096387997,0.142635926806,0.257343977478,0.183541704682
9,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.1, 0.1]",,spect_cos_ent,"[0 0 0 0 2 0 1 0 1 2 0 0 1 0 2 1 1 0 0 1 0 0 0 1 2 2 2 0 2 0 0 1 1 0 0 1 2
 1 0 0 1 0 1 0 1 0 2 0 0 2 0 1 1 0 1 0 2 0 1 0]",0.00910208189837,-0.0248819748081,0.0086264029044,-0.0240353411637,0.00898179607588,0.00828507198787,0.00861937750312
