,no_clust,algorithm,MI-M,ADMI-M,NMI-M,ARI-M,CO-M,HO-M,VM-M,MI-S,ADMI-S,NMI-S,ARI-S,CO-S,HO-S,VM-S
0,2.0,spectral warp,0.00191966713214,-0.0399355685798,0.00369465284748,-0.0476718403548,0.00369465284748,0.00369465284748,0.00369465284748,0.0,1.59696878874e-09,0.0,0.0,0.0,0.0,0.0
1,2.0,aff prop,0.163982265307,0.0263624825553,0.178366954929,0.0438902743142,0.100805494819,0.315605519994,0.152804654434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,pca,0.0102632611867,-0.0187229039285,0.0184081765997,-0.0651637900669,0.0171549103991,0.0197530012016,0.0183625109647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.0,spectral overlap,0.0132898651494,-0.00995462730471,0.0221796472839,-0.0104659834141,0.0192328365314,0.0255781001273,0.021956104569,0.00517230121657,0.00773797933003,0.00868042654449,0.0170870300557,0.00756963160526,0.00995477658491,0.00859961739777
4,2.0,km_choice,0.00639736090794,-0.023055553143,0.0109972703839,-0.0110258053419,0.00983145237831,0.0123125657043,0.0109231340605,0.00776948459714,0.0129413446935,0.0131939314267,0.034471168902,0.0116608422856,0.0149533989043,0.0130894842836
5,2.0,km_ent,0.000312104366965,-0.0437264436064,0.000612777874726,-0.028079249553,0.000625502036246,0.000600686061044,0.000612462111128,0.000549774865561,0.00129645217042,0.00105397900196,0.00670052467461,0.00104962743054,0.00105811431498,0.00105408699083
6,2.0,km_con,0.00270535518934,-0.0299859500695,0.00478819651844,-0.0219012165968,0.00440962860787,0.00520681324715,0.00476830860324,0.00289130717591,0.00495579211451,0.00515394525226,0.0238929219908,0.00479009309969,0.00556470239636,0.00513683633618
7,2.0,spect_cos_cat,0.00205697480507,-0.0279837062763,0.00348628201116,-0.0350492880613,0.00307007050205,0.00395891959264,0.00345829545855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0,aff_cos_cat,0.0494192498438,-0.011517812347,0.0630111304872,-0.0174265755277,0.0417436754437,0.0951138710973,0.0580224133141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2.0,spect_cos_ent,0.00061189839862,-0.0434387913175,0.00132556078048,0.00591715976331,0.00149201183014,0.00117767925646,0.00131634059953,0.0,1.73605062096e-09,0.0,0.0,0.0,0.0,0.0
10,2.0,aff_cos_ent,0.169165644159,0.0522249159611,0.202246514604,0.17784522003,0.125632561975,0.32558161695,0.181304819662,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2.0,spect_rbf,0.0102632611867,-0.0187229039285,0.0184081765997,-0.0651637900669,0.0171549103991,0.0197530012016,0.0183625109647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2.0,spect_esk_sim,0.110392159512,0.142457108139,0.189700894043,-0.0306748466258,0.169376368554,0.212464285945,0.188489249517,0.0,1.29145100335e-09,0.0,0.0,0.0,0.0,0.0
13,2.0,aff_esk_sim,0.0362139638087,-0.0366606062982,0.0405329503297,0.0138038992458,0.0235717952957,0.0696985546423,0.035229203354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2.0,spect_lin_sim,0.110392159512,0.142457107507,0.189700894043,-0.0306748466258,0.169376368554,0.212464285945,0.188489249517,0.0,1.1895973218e-09,0.0,0.0,0.0,0.0,0.0
15,2.0,aff_lin_sim,0.119416143056,0.00389824944032,0.124766078339,0.00179893447727,0.0677301909588,0.229832133702,0.104627320154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2.0,comp_hr_esk_dis,0.00482790988575,-0.0307031810197,0.00893172609593,0.0302457466919,0.00858546710436,0.00929194999912,0.00892474909446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2.0,avg_hr_esk_dis,0.116300394537,0.189164913627,0.251942548142,0.403550295858,0.283579046603,0.223835464308,0.250190115574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2.0,comp_hr_lin_din,0.000339274186956,-0.0318710710993,0.000583018004861,-0.0306748466258,0.000520553542791,0.000652977966819,0.000579294192288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2.0,avg_hr_lin_dis,0.0963854769236,0.124582211542,0.168743025409,-0.0622568093385,0.153494335543,0.185506576015,0.167988979696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2.0,spect_edr,0.0790237622266,0.0880315315636,0.131922891109,0.103818317944,0.114428685702,0.152091663831,0.130599027271,7.79864349416e-18,1.19094383958e-09,0.0,0.0,7.79864349416e-18,1.55972869883e-17,0.0
21,2.0,aff_edr,0.0712183454917,0.00791898829558,0.0908056774443,-0.0458198753098,0.0601570341362,0.137069108784,0.0836164104215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
