,no_clust,algorithm,predictions,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,2.0,spectral warp,[0 0 1 0 1 0 0 1 1 1 0 0],0.0143625915641,-0.0531005824712,0.0209326105846,-0.0664819944598,0.0211465458851,0.0207208396239,0.0209315284706,46.0,20.0,46.0,50.0,46.0,46.0,46.0
1,2.0,aff prop,[0 1 2 0 2 0 0 2 2 2 3 3],0.225280604433,0.0478956948002,0.243322095827,0.0172910662824,0.182164923381,0.325011210824,0.233471720472,3.0,3.0,2.0,8.0,9.0,3.0,2.0
2,2.0,pca,[0 1 0 0 0 0 0 0 0 0 0 0],0.061555378623,5.38506046484e-08,0.138050015746,0.0,0.214601313152,0.0888056394795,0.125625379922,23.0,9.0,9.0,9.0,2.0,23.0,13.0
3,2.0,spectral overlap,[1 1 0 1 1 1 1 0 1 1 0 0],0.0646599735817,0.0218229130128,0.0973461443317,0.032967032967,0.101584500083,0.0932846232303,0.0972578072415,15.0,7.0,19.0,3.0,19.0,15.0,19.0
4,2.0,km_choice,[0 0 1 0 1 1 1 1 1 1 1 0],0.0646599735817,0.0218229130128,0.0973461443317,0.032967032967,0.101584500083,0.0932846232303,0.0972578072415,15.0,7.0,19.0,3.0,19.0,15.0,19.0
5,2.0,km_ent,[0 1 0 0 0 0 1 0 0 0 0 0],1.11022302463e-16,-0.0950037258765,1.98664651665e-16,-0.0531914893617,2.46408923533e-16,1.60171325191e-16,1.94144422632e-16,59.0,57.0,59.0,39.0,59.0,59.0,59.0
6,2.0,km_con,[0 1 1 1 1 1 1 1 1 1 1 0],1.11022302463e-16,-0.0950037323206,1.98664651665e-16,-0.0531914893617,2.46408923533e-16,1.60171325191e-16,1.94144422632e-16,59.0,64.0,59.0,39.0,59.0,59.0,59.0
7,2.0,spect_cos_cat,[1 1 0 1 1 0 0 1 0 1 1 1],-1.11022302463e-16,-0.0788138285159,-1.67145027764e-16,-0.0879120879121,-1.74422358516e-16,-1.60171325191e-16,-1.6699335144e-16,67.0,52.0,67.0,62.0,67.0,67.0,67.0
8,2.0,aff_cos_cat,[2 2 2 2 0 2 2 2 1 2 0 2],0.0624014680186,-0.0990379685085,0.0882418974053,-0.0490463215259,0.0864928743742,0.0900262884547,0.0882242169394,21.0,65.0,23.0,36.0,24.0,21.0,23.0
9,2.0,spect_cos_ent,[0 1 0 0 0 0 1 0 0 0 0 0],1.11022302463e-16,-0.0950037258765,1.98664651665e-16,-0.0531914893617,2.46408923533e-16,1.60171325191e-16,1.94144422632e-16,59.0,57.0,59.0,39.0,59.0,59.0,59.0
10,2.0,aff_cos_ent,[0 1 0 0 3 0 2 3 3 3 3 3],0.467866576127,0.307902593319,0.529372104577,0.404558404558,0.415169599255,0.674988789176,0.514117632957,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,2.0,spect_rbf,[0 1 0 0 0 0 1 0 0 0 0 0],1.11022302463e-16,-0.0950037258765,1.98664651665e-16,-0.0531914893617,2.46408923533e-16,1.60171325191e-16,1.94144422632e-16,59.0,57.0,59.0,39.0,59.0,59.0,59.0
