,0,1,2,3,4,5,6,7,8,9
0,0.7,0.3,0.6,0.4,0.7,0.8,0.5,0.7,0.3,0.6
1,0.5,0.6,0.5,0.4,0.5,0.6,0.9,0.7,0.7,0.8
2,0.4,0.8,0.5,0.5,0.4,0.8,0.8,0.8,0.9,0.6
3,0.6,0.6,0.7,0.3,0.5,0.3,0.4,0.6,1.0,0.2
4,0.6,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.4
5,0.5,0.8,0.1,0.0,0.0,0.2,0.1,0.0,0.1,0.0
6,0.3,0.7,0.7,0.4,0.6,0.7,0.6,0.5,0.5,0.4
7,0.4,0.5,0.6,0.7,0.5,0.4,0.0,0.7,1.0,1.0
8,0.5,0.6,0.6,0.7,0.4,0.5,0.4,0.7,0.4,0.7
9,0.8,0.5,0.7,0.6,0.7,0.8,0.2,0.5,0.8,1.0
10,0.5,0.5,0.4,0.6,0.5,0.3,0.5,0.5,0.4,0.3
11,0.6,0.8,0.1,0.1,0.0,0.1,0.5,0.2,0.1,0.2
12,0.4,1.0,0.2,0.6,0.8,0.6,0.6,0.6,0.4,0.7
13,0.5,0.6,0.7,0.6,0.7,0.4,0.6,0.2,0.6,0.5
14,0.4,0.6,0.5,0.9,0.8,1.0,0.6,0.6,0.6,0.2
15,0.0,0.3,0.7,0.2,0.1,0.4,0.2,0.3,0.2,0.0
16,0.4,0.6,0.5,0.4,0.6,0.6,0.5,0.5,0.5,0.5
17,0.5,0.7,0.4,0.4,0.6,0.2,0.5,0.4,0.3,0.5
18,0.7,0.0,0.5,0.6,0.4,0.8,0.5,0.7,0.5,0.3
19,0.7,0.8,0.3,0.2,0.4,0.2,0.3,0.4,0.5,0.7
20,0.6,0.7,0.6,0.7,0.4,0.3,1.0,0.3,0.9,0.8
21,0.2,0.1,1.0,0.7,1.0,1.0,1.0,0.7,0.8,1.0
22,0.9,0.6,0.7,0.3,0.5,0.3,0.0,0.1,0.1,0.1
23,0.6,0.7,0.2,0.4,0.0,0.4,0.4,0.4,0.1,0.3
24,0.7,0.8,0.5,0.4,0.7,0.3,0.5,0.6,0.6,0.5
25,0.5,0.3,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0
26,0.5,0.7,0.5,0.3,0.5,0.6,0.6,0.4,0.8,0.4
27,0.4,0.9,0.9,0.9,0.5,0.7,0.8,0.1,0.7,0.5
28,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6
29,0.8,0.8,0.3,0.7,0.7,0.6,0.6,0.4,0.6,0.5
30,0.7,0.3,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5
31,0.4,0.5,0.4,0.5,0.4,0.7,0.5,0.8,0.8,1.0
32,0.6,0.4,0.7,0.5,0.3,0.4,0.5,0.4,0.4,0.6
33,0.6,1.0,0.5,0.4,0.6,0.6,0.8,0.7,0.7,0.6
