,no_clust,algorithm,predictions,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,2.0,spectral warp,"[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 1 0 0 1 1 1 0 0 0 0 0 0 0 1
 1 0 0 0 0 1 0]",0.0354407007655,0.0344336923863,0.0567664788925,0.0348183285246,0.0630241611335,0.05113012324,0.0564575064972,26.0,11.0,23.0,6.0,16.0,26.0,21.0
1,2.0,aff prop,"[0 1 0 0 0 0 0 5 1 1 0 0 3 1 5 0 1 1 2 6 4 0 6 3 4 1 5 5 6 4 1 0 4 4 1 1 3
 3 5 5 4 0 6 4]",0.163023735759,0.0483165949225,0.146881968822,0.074506866417,0.0917300416157,0.235193535127,0.131983829248,6.0,8.0,9.0,2.0,11.0,6.0,9.0
2,2.0,pca,"[1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 1 0
 0 1 0 1 0 1 1]",0.0240606524508,0.0176316841028,0.0394755804887,0.0169988276671,0.0448926364359,0.0347121839713,0.0391514344721,31.0,17.0,27.0,18.0,23.0,31.0,25.0
3,2.0,spectral overlap,"[1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
 0 1 1 1 0 0 1]",0.0145096917694,0.00347926817456,0.0244847632053,0.00351270917695,0.0286390818588,0.0209330603605,0.0241871181023,40.0,30.0,37.0,28.0,33.0,40.0,39.0
4,2.0,km_choice,"[0 1 0 1 0 1 0 0 0 1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 0 1 1 0 0 0 1 0 1 0 1 1 0
 1 1 1 1 1 0 1]",0.00108980692371,-0.0157210766563,0.00160266746648,-0.0204392472854,0.0016336640055,0.00157225904436,0.00160237346196,59.0,55.0,59.0,62.0,59.0,59.0,59.0
5,2.0,km_ent,"[0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1
 1 0 1 0 1 0 0]",0.0125198082271,0.000783968299,0.0200533684186,0.0011736515233,0.0222639618863,0.0180622652421,0.0199442206011,42.0,33.0,42.0,29.0,40.0,42.0,42.0
6,2.0,km_con,"[0 1 1 1 0 1 0 0 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 0 1 0 1 1 1 1 0
 1 1 1 1 1 0 1]",0.0,-0.0175203184401,0.0,-0.0187977286078,0.0,0.0,0.0,61.0,59.0,61.0,59.0,61.0,61.0,61.0
7,2.0,spect_cos_cat,"[1 1 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 0 0 0 0 1 1 0 1 1 0 0 1 1 1 0 1 0 1
 1 1 1 0 0 1 1]",0.00950615155424,-0.00333620915335,0.0138076860677,-0.0043270885578,0.0139015279067,0.0137144777052,0.0138073693368,45.0,38.0,45.0,37.0,46.0,45.0,45.0
8,2.0,aff_cos_cat,"[0 1 0 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 0 0 0 0 0 1 0 1 1 1
 1 0 1 1 1 1 1]",0.0,-0.017344729707,0.0,-0.0219996071499,0.0,0.0,0.0,61.0,57.0,61.0,65.0,61.0,61.0,61.0
9,2.0,spect_cos_ent,"[0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 0 0 1 0 1 0 0]",-3.33066907388e-16,-0.0186844788144,-6.33883901776e-16,-0.0110765643218,-8.3620627361e-16,-4.80513975572e-16,-6.10317645195e-16,66.0,63.0,67.0,46.0,67.0,66.0,67.0
10,2.0,aff_cos_ent,"[ 0  0  3  0  2  6  0  1  2  0  3  0  6  0  0  0  3  0  4  1  0  0  0  5  0
  6  0  7  8  3  6  6  0  0  1  3  9  5  0 10  0  8  0  0]",0.170857876613,0.010924969972,0.153136722487,-0.00537259974132,0.0951369341808,0.246495811286,0.137286932153,4.0,21.0,5.0,40.0,9.0,4.0,5.0
