,no_clust,algorithm,predictions,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,2.0,spectral warp,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1],0.117276936779,0.128247453468,0.216660175669,0.0648999459167,0.277441247803,0.169194855101,0.210200793961,35.0,23.0,29.0,31.0,22.0,35.0,29.0
1,2.0,aff prop,[0 4 1 0 0 0 1 0 4 0 1 2 3 4 4 5 4 3 1 6],0.386264827696,0.121098062118,0.354868070538,0.149253731343,0.225982155754,0.557262351386,0.321563308364,9.0,24.0,10.0,16.0,28.0,9.0,14.0
2,2.0,pca,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1],0.163896590034,0.201583903839,0.278289925925,0.130718954248,0.327529568851,0.23645279766,0.274637249212,25.0,14.0,19.0,17.0,11.0,25.0,18.0
3,2.0,spectral overlap,[1 1 1 0 0 0 1 1 0 1 0 1 1 1 1 1 0 0 1 1],0.00550865450256,-0.0330462005768,0.00822300991295,-0.0398009950249,0.00850827569477,0.00794730853281,0.00821823049165,62.0,58.0,62.0,62.0,62.0,62.0,62.0
4,2.0,km_choice,[0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0],0.00996638934117,-0.0341992852006,0.0184121424447,-0.0173066522445,0.0235774191487,0.0143784604781,0.017863213433,59.0,64.0,59.0,57.0,58.0,59.0,59.0
5,2.0,km_ent,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1],0.163896590034,0.201583903839,0.278289925925,0.130718954248,0.327529568851,0.23645279766,0.274637249212,25.0,14.0,19.0,17.0,11.0,25.0,18.0
6,2.0,km_con,[0 0 0 1 1 1 0 0 0 1 0 1 0 1 0 0 0 1 1 0],1.11022302463e-16,-0.040910501649,1.62549711407e-16,-0.0532150776053,1.64963414313e-16,1.60171325191e-16,1.6253205498e-16,67.0,66.0,67.0,67.0,67.0,67.0,67.0
7,2.0,spect_cos_cat,[0 0 0 1 1 1 0 0 0 1 1 1 0 1 1 0 0 0 0 0],1.11022302463e-16,-0.040910501649,1.62549711407e-16,-0.0532150776053,1.64963414313e-16,1.60171325191e-16,1.6253205498e-16,67.0,66.0,67.0,67.0,67.0,67.0,67.0
8,2.0,aff_cos_cat,[1 1 1 0 1 0 1 1 1 0 0 0 1 0 0 1 1 1 1 0],0.0210059257018,-0.0093655637785,0.0307551463529,-0.0110864745011,0.0312118299452,0.0303051448393,0.0307518056765,56.0,51.0,55.0,54.0,55.0,56.0,55.0
9,2.0,spect_cos_ent,[0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0],0.00996638934117,-0.0341992852006,0.0184121424447,-0.0173066522445,0.0235774191487,0.0143784604781,0.017863213433,59.0,64.0,59.0,57.0,58.0,59.0,59.0
