,no_clust,algorithm,predictions,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,2.0,spectral warp,[0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0 1 0],0.27435846855,0.370398046074,0.421631710488,0.330396475771,0.449131611763,0.395815602003,0.420791491805,45.0,50.0,50.0,50.0,50.0,45.0,50.0
1,2.0,aff prop,[0 3 1 0 0 0 3 0 1 3 1 2 3 2 1 3 4 3 1 1],0.294248775904,0.124733575734,0.293607660485,0.09937178755,0.203069902952,0.424511249784,0.274722903707,48.0,44.0,43.0,39.0,40.0,48.0,43.0
2,2.0,pca,[1 0 1 1 1 1 1 1 1 0 0 1 0 1 0 0 0 1 1 1],0.0506718369856,0.0348028978987,0.0756400710276,0.0442233278054,0.078264113103,0.0731040079318,0.0755961071056,31.0,37.0,31.0,37.0,31.0,31.0,31.0
3,2.0,spectral overlap,[1 0 1 1 1 1 0 0 1 0 0 1 1 1 1 0 0 1 1 1],0.00550865450256,-0.0330462005768,0.00822300991295,-0.0398009950249,0.00850827569477,0.00794730853281,0.00821823049165,12.0,18.0,12.0,13.0,12.0,12.0,12.0
4,2.0,km_choice,[1 1 1 0 0 0 0 1 1 0 0 0 0 1 0 1 0 1 1 0],0.00505938992899,-0.0331075213451,0.00732567072723,-0.0444197667962,0.00735228100517,0.00729915676047,0.00732562257195,6.0,12.0,6.0,6.0,6.0,6.0,6.0
5,2.0,km_ent,[1 0 1 1 1 1 1 1 1 0 0 1 0 1 0 0 1 1 1 1],0.0241572567812,-0.00575146824581,0.0371246623119,-0.00440528634361,0.0395460279802,0.0348515545597,0.0370506810764,17.0,28.0,19.0,23.0,20.0,17.0,19.0
6,2.0,km_con,[0 0 0 1 1 1 0 0 1 1 1 1 1 0 1 0 1 0 0 1],0.00505938992899,-0.0331075155667,0.00732567072723,-0.0444197667962,0.00735228100517,0.00729915676047,0.00732562257195,6.0,15.0,6.0,6.0,6.0,6.0,6.0
7,2.0,spect_cos_cat,[1 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 1 0 1 0],1.11022302463e-16,-0.040910501649,1.62549711407e-16,-0.0532150776053,1.64963414313e-16,1.60171325191e-16,1.6253205498e-16,3.0,5.0,3.0,3.0,3.0,3.0,3.0
8,2.0,aff_cos_cat,[2 0 0 1 1 0 2 1 1 0 0 2 2 1 0 1 1 1 2 1],0.0248073038504,-0.0320672709073,0.0288446662305,-0.0406549971767,0.0232475361067,0.0357893742428,0.0281862572083,24.0,19.0,16.0,12.0,15.0,24.0,16.0
9,2.0,spect_cos_ent,[0 1 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 0 0 0],0.0241572567812,-0.00575147106219,0.0371246623119,-0.00440528634361,0.0395460279802,0.0348515545597,0.0370506810764,17.0,24.0,19.0,23.0,20.0,17.0,19.0
10,2.0,aff_cos_ent,[0 3 1 0 0 0 0 1 0 2 3 0 2 1 1 3 4 1 0 0],0.0736710447747,-0.0481767721373,0.0755861411543,-0.0147727272727,0.0537542715009,0.106284850954,0.0713983511902,33.0,4.0,30.0,19.0,28.0,33.0,30.0
11,2.0,spect_rbf,[0 1 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 0 0 0],0.0241572567812,-0.00575147106219,0.0371246623119,-0.00440528634361,0.0395460279802,0.0348515545597,0.0370506810764,17.0,24.0,19.0,23.0,20.0,17.0,19.0
