,no_clust,algorithm,predictions
0,2.0,spectral warp,[1 1 0 1 0 0 0 0 0 1 1 1 0 0]
1,2.0,aff prop,[3 0 1 3 1 1 3 1 1 2 3 3 3 1]
2,2.0,pca,[1 0 1 0 1 0 1 1 1 0 1 1 1 1]
3,2.0,spectral overlap,[0 0 0 1 0 0 0 0 0 1 0 0 0 0]
4,2.0,km_choice,[0 1 0 0 0 0 0 0 0 1 0 0 0 0]
5,2.0,km_ent,[0 1 0 1 0 0 0 0 0 1 0 0 0 0]
6,2.0,km_con,[0 1 0 0 0 0 0 0 0 1 0 0 0 0]
7,2.0,spect_cos_cat,[0 1 0 1 0 0 0 1 0 1 0 0 0 0]
8,2.0,aff_cos_cat,[3 2 0 3 2 1 2 2 2 2 3 2 3 3]
9,2.0,spect_cos_ent,[0 0 0 1 0 1 0 0 0 1 0 0 0 0]
10,2.0,aff_cos_ent,[1 0 1 2 1 2 1 1 1 3 1 1 1 1]
11,2.0,spect_rbf,[0 1 0 1 0 1 0 0 0 1 0 0 0 0]
12,2.0,spect_esk_sim,[0 1 0 0 0 0 1 1 0 1 0 0 0 0]
13,2.0,aff_esk_sim,[0 1 0 0 2 2 3 1 0 1 3 2 3 3]
14,2.0,spect_lin_sim,[1 0 0 1 0 1 0 0 0 0 1 0 1 1]
15,2.0,aff_lin_sim,[0 1 0 0 2 3 3 1 0 1 3 1 3 3]
16,2.0,comp_hr_esk_dis,[0 1 0 0 1 0 1 1 0 1 0 0 0 0]
17,2.0,avg_hr_esk_dis,[1 0 1 1 0 0 0 0 0 0 0 0 0 0]
18,2.0,comp_hr_lin_din,[1 0 1 1 0 1 0 0 0 0 0 1 0 0]
19,2.0,avg_hr_lin_dis,[1 0 1 1 0 1 0 0 1 0 0 1 0 0]
20,2.0,spect_edr,[0 0 1 0 1 1 0 1 1 0 0 0 0 1]
21,2.0,aff_edr,[1 1 0 1 0 0 1 0 0 0 1 1 1 0]
22,3.0,spectral warp,[1 2 0 2 0 0 1 0 0 2 2 1 1 0]
23,3.0,aff prop,[3 0 1 3 1 1 3 1 1 2 3 3 3 1]
24,3.0,pca,[1 0 1 0 1 0 1 1 1 0 1 1 1 1]
25,3.0,spectral overlap,[1 1 1 2 1 1 1 1 1 2 1 0 1 0]
26,3.0,km_choice,[0 2 1 0 1 1 1 1 1 2 1 1 1 1]
27,3.0,km_ent,[0 1 0 2 0 2 0 0 0 1 0 0 0 0]
28,3.0,km_con,[1 0 2 1 2 1 2 2 2 0 1 2 2 2]
29,3.0,spect_cos_cat,[0 1 0 1 2 0 0 2 2 1 0 0 0 2]
30,3.0,aff_cos_cat,[3 2 0 3 2 1 2 2 2 2 3 2 3 3]
31,3.0,spect_cos_ent,[1 2 1 0 1 0 1 1 1 2 1 1 1 1]
32,3.0,aff_cos_ent,[1 0 1 2 1 2 1 1 1 3 1 1 1 1]
33,3.0,spect_rbf,[0 2 0 1 0 1 0 0 0 2 0 0 0 0]
34,3.0,spect_esk_sim,[2 1 2 2 2 2 0 2 2 1 0 2 0 0]
35,3.0,aff_esk_sim,[0 1 0 0 2 2 3 1 0 1 3 2 3 3]
36,3.0,spect_lin_sim,[0 2 0 0 0 0 2 2 0 2 1 0 1 1]
37,3.0,aff_lin_sim,[0 1 0 0 2 3 3 1 0 1 3 1 3 3]
38,3.0,comp_hr_esk_dis,[0 1 0 0 1 2 1 1 0 1 0 2 0 0]
39,3.0,avg_hr_esk_dis,[1 0 1 1 0 0 0 0 2 0 0 0 0 0]
40,3.0,comp_hr_lin_din,[0 1 0 0 1 0 1 1 1 1 2 0 2 2]
41,3.0,avg_hr_lin_dis,[0 1 0 0 1 0 2 1 0 1 2 0 2 2]
42,3.0,spect_edr,[0 0 1 2 1 1 2 1 1 1 2 0 2 1]
43,3.0,aff_edr,[1 1 0 1 0 0 1 0 0 0 1 1 1 0]
44,4.0,spectral warp,[2 3 1 0 1 1 2 1 1 0 3 2 2 1]
45,4.0,aff prop,[3 0 1 3 1 1 3 1 1 2 3 3 3 1]
46,4.0,pca,[1 0 1 0 1 0 1 1 1 0 1 1 1 1]
47,4.0,spectral overlap,[1 1 0 3 0 1 0 0 0 3 0 2 1 2]
48,4.0,km_choice,[3 2 0 3 1 0 2 1 1 2 3 0 0 1]
49,4.0,km_ent,[0 3 0 2 0 2 0 0 0 1 0 0 0 0]
50,4.0,km_con,[1 3 0 1 0 0 0 2 2 3 1 0 0 2]
51,4.0,spect_cos_cat,[3 0 2 0 1 2 2 1 1 0 3 2 2 3]
52,4.0,aff_cos_cat,[3 2 0 3 2 1 2 2 2 2 3 2 3 3]
53,4.0,spect_cos_ent,[1 2 0 3 1 3 0 1 1 2 1 1 0 0]
54,4.0,aff_cos_ent,[1 0 1 2 1 2 1 1 1 3 1 1 1 1]
55,4.0,spect_rbf,[0 3 2 1 0 1 2 2 2 3 0 0 2 2]
56,4.0,spect_esk_sim,[0 2 0 0 1 1 2 2 0 2 3 1 3 3]
57,4.0,aff_esk_sim,[0 1 0 0 2 2 3 1 0 1 3 2 3 3]
58,4.0,spect_lin_sim,[0 3 0 2 0 2 1 0 0 3 1 2 1 0]
59,4.0,aff_lin_sim,[0 1 0 0 2 3 3 1 0 1 3 1 3 3]
60,4.0,comp_hr_esk_dis,[1 3 1 1 3 2 3 3 0 3 0 2 0 0]
61,4.0,avg_hr_esk_dis,[0 1 0 0 1 3 1 1 2 1 1 3 1 1]
62,4.0,comp_hr_lin_din,[1 0 1 1 0 3 0 0 0 0 2 3 2 2]
