,no_clust,algorithm,predictions,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,2.0,spectral warp,[0 0 1 0 0 1 1 1 0 1 1 1 0 1 1 1 0 1 1 0 0 0 0 0 0 0],0.0286901573517,0.0123042696642,0.0415687522193,0.0142553836821,0.0415687522193,0.0415687522193,0.0415687522193,60.0,55.0,60.0,53.0,59.0,60.0,60.0
1,2.0,aff prop,[0 0 3 2 0 3 2 4 0 1 2 2 0 3 4 2 0 4 4 0 0 0 0 0 0 2],0.143310876783,0.0364178335484,0.148045475804,0.0065365759877,0.10555457682,0.207641047565,0.139960211444,20.0,49.0,41.0,58.0,44.0,20.0,41.0
2,2.0,pca,[1 1 0 1 1 0 1 1 1 0 1 1 1 0 1 0 1 0 0 1 1 1 1 1 1 1],0.000807783284218,-0.0303391085928,0.00127399234225,-0.0336488699023,0.00138677088442,0.00117038546624,0.00126942295703,68.0,68.0,68.0,68.0,68.0,68.0,68.0
3,2.0,spectral overlap,[0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.0503575093481,0.0351181737953,0.116397844406,-0.00976475810031,0.185691307824,0.072962263776,0.104761423541,52.0,50.0,46.0,64.0,15.0,52.0,49.0
4,2.0,km_choice,[0 0 1 1 0 1 1 1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0],0.144927564658,0.185595313833,0.217208594598,0.183154751781,0.224682350482,0.209983443142,0.217084363479,17.0,5.0,10.0,5.0,6.0,17.0,10.0
5,2.0,km_ent,[1 1 0 1 1 0 1 1 1 0 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 1],0.0101076521354,-0.0170875855328,0.0165534438835,-0.0247747747748,0.0187108008664,0.0146448303502,0.0164299996379,66.0,65.0,66.0,66.0,66.0,66.0,66.0
6,2.0,km_con,[1 1 0 1 1 0 0 0 1 1 0 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1],0.111622834172,0.135629715953,0.171018235225,0.117247623359,0.180841348797,0.161728702943,0.170751860128,34.0,24.0,27.0,19.0,16.0,34.0,26.0
7,2.0,spect_cos_cat,[0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0],0.0239941951255,0.00471292603443,0.036761697877,0.0191640259544,0.0388732524307,0.0347648407656,0.0367044384811,64.0,63.0,64.0,50.0,60.0,64.0,64.0
8,2.0,aff_cos_cat,[1 0 0 1 0 0 1 0 1 0 1 1 1 0 0 1 1 0 1 0 0 0 0 2 1 1],0.0316190229364,-0.020735633925,0.041807657544,-0.0316675853941,0.0381530416072,0.0458123430187,0.0416333525322,57.0,67.0,59.0,67.0,61.0,57.0,59.0
9,2.0,spect_cos_ent,[0 0 1 0 0 0 1 1 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0],0.0415706938764,0.0309721360575,0.0636907919114,0.0191640259544,0.0673491262501,0.0602311744808,0.0635915882163,56.0,51.0,56.0,50.0,56.0,56.0,56.0
10,2.0,aff_cos_ent,[7 7 0 6 7 1 3 3 6 2 6 3 6 2 3 5 7 4 5 6 7 7 6 7 7 6],0.216254783071,0.0219728172012,0.195411539727,-0.00673739642221,0.121871072589,0.313328413766,0.175485822275,6.0,53.0,13.0,62.0,39.0,6.0,24.0
11,2.0,spect_rbf,[0 0 1 0 0 1 1 1 0 1 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0],0.0177741054748,-0.00432276507908,0.0266387452211,-0.0133794432791,0.0275553363864,0.0257526432268,0.0266235093546,65.0,64.0,65.0,65.0,65.0,65.0,65.0
12,2.0,spect_esk_sim,[0 0 1 1 0 1 1 1 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 1],0.122368561863,0.152129167031,0.178454956073,0.18111205835,0.179619429739,0.177298031696,0.178451181508,24.0,9.0,17.0,8.0,26.0,24.0,14.0
13,2.0,aff_esk_sim,[3 0 1 1 0 1 2 1 3 4 2 2 1 1 4 2 4 4 4 3 4 0 0 4 2 1],0.159846521472,0.0457691743674,0.154011519045,0.0947075208914,0.102416318601,0.23159930295,0.142026578808,15.0,43.0,39.0,36.0,47.0,15.0,40.0
14,2.0,spect_lin_sim,[0 0 1 1 0 1 1 1 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 1],0.122368561863,0.152129167031,0.178454956073,0.18111205835,0.179619429739,0.177298031696,0.178451181508,24.0,9.0,17.0,8.0,26.0,24.0,14.0
15,2.0,aff_lin_sim,[3 0 1 1 0 1 2 1 3 3 2 2 1 1 3 2 3 3 3 3 3 0 3 3 2 1],0.128997450277,0.049698137623,0.137060247607,0.100069225444,0.100509668278,0.186902531825,0.130721740186,23.0,42.0,45.0,34.0,48.0,23.0,45.0
16,2.0,comp_hr_esk_dis,[1 1 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 1 1 1 0 1 1 1 0 0],0.0484255699463,0.0416053904227,0.070013056784,0.0571851121518,0.0698633296137,0.070163104841,0.0700128963409,53.0,45.0,52.0,43.0,53.0,53.0,52.0
17,2.0,avg_hr_esk_dis,[0 0 1 1 1 1 1 1 0 0 1 1 1 1 0 1 0 0 0 0 1 0 0 0 1 1],0.0742647429522,0.0803528389124,0.107601107257,0.112829845314,0.107601107257,0.107601107257,0.107601107257,50.0,37.0,50.0,30.0,42.0,50.0,48.0
18,2.0,comp_hr_lin_din,[1 1 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 1 1 1 0 1 1 1 0 0],0.0484255699463,0.0416053904227,0.070013056784,0.0571851121518,0.0698633296137,0.070163104841,0.0700128963409,53.0,45.0,52.0,43.0,53.0,53.0,52.0
19,2.0,avg_hr_lin_dis,[0 0 1 1 0 1 1 1 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 1],0.122368561863,0.152129167031,0.178454956073,0.18111205835,0.179619429739,0.177298031696,0.178451181508,24.0,9.0,17.0,8.0,26.0,24.0,14.0
20,2.0,spect_edr,[1 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 1 1 1 1 0],0.0257660203144,0.00793816651575,0.0373320125433,0.0142553836821,0.0373320125433,0.0373320125433,0.0373320125433,61.0,59.0,61.0,53.0,62.0,61.0,61.0
