,no_clust,algorithm,predictions,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,2.0,spectral warp,"[0 0 0 1 0 1 0 1 0 1 1 0 0 0 1 1 1 1 1 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 1 1
 1 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
 1 1 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0]",0.645033151676,-2.04905168856e-06,0.372671889454,0.0,1.0,0.138884337189,0.243895420552,34.0,35.0,34.0,1.0,7.0,34.0,34.0
1,2.0,aff prop,"[10  0  0  1 10  9 10  2 10  6  3 10  9  0  1  4 11  5 11  0  0 11  0 10 10
  6  6  0 10  4  0  6  4 10  0 11  4  7  9 11  8 10  7  9  0  9 10 10  0  5
 11 10  1 10  1  6 10  0  0  9  0 10  0 10 10  0 10 11  9 10 10 10  0 10 11
  5 10  0  0 11  1  0  5 10 10  4  0  4 11  0 10 11 11  0  0  9 10  1  0  0
  0  0  7 11]",2.00042316786,-9.56809445086e-06,0.656291160971,0.0,1.0,0.430718087968,0.602100569764,17.0,57.0,17.0,1.0,47.0,17.0,17.0
2,2.0,pca,"[0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.130708119651,-3.71646254434e-07,0.16775941415,0.0,1.0,0.0281432210358,0.0547457211408,58.0,6.0,58.0,1.0,64.0,58.0,58.0
3,2.0,spectral overlap,"[1 1 1 0 1 1 1 0 1 0 0 1 1 1 0 0 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1 0 1 1 1 0 0
 0 1 1 0 1 0 1 1 1 1 1 1 0 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 0 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1]",0.540204142389,-1.74883540091e-06,0.341047266005,0.0,1.0,0.116313237649,0.208388172292,40.0,28.0,40.0,1.0,20.0,40.0,40.0
4,2.0,km_choice,"[0 0 0 0 0 1 0 1 0 1 1 0 0 1 0 1 0 1 1 0 0 1 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0
 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 1
 1 0 1 0 0 0 0 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1 0 1 0 1 0 0 1 1]",0.645033151676,-2.04905168859e-06,0.372671889454,0.0,1.0,0.138884337189,0.243895420552,36.0,37.0,36.0,1.0,10.0,36.0,36.0
5,2.0,km_ent,"[0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]",0.2205700364,-7.25635437582e-07,0.217925913304,0.0,1.0,0.0474917036895,0.0906770020654,52.0,16.0,52.0,1.0,10.0,52.0,52.0
6,2.0,km_con,"[1 1 1 1 1 0 1 0 1 0 0 1 1 0 1 0 1 0 0 1 1 0 1 1 1 0 0 0 0 1 1 1 1 1 1 1 0
 0 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 1 1 0 1 0 1 1 1 1 1 0 0 1 1 1 1 0
 0 1 0 1 1 1 1 1 0 1 1 0 1 0 0 1 0 1 0 1 1 0 1 0 1 0 1 1 0 0]",0.65094505042,-1.98936448386e-06,0.374375812151,0.0,1.0,0.140157248723,0.245855997285,32.0,32.0,32.0,1.0,34.0,32.0,32.0
7,2.0,spect_cos_cat,"[0 1 1 1 1 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 1 0 1 1 1 0 0 1 0 1 0 1 0
 0 1 1 0 0 1 1 0 0 1 0 1 0 1 0 1 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0
 0 1 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 1]",0.674540362212,-2.33687263712e-06,0.381100560987,0.0,1.0,0.145237637585,0.253637555767,27.0,42.0,27.0,1.0,30.0,27.0,27.0
8,2.0,aff_cos_cat,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.108359870728,-3.78348616519e-07,0.152746003644,0.0,1.0,0.0233313416293,0.0455988020306,63.0,11.0,63.0,1.0,63.0,63.0,63.0
9,2.0,spect_cos_ent,"[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]",0.294455073198,-8.58247057581e-07,0.251793861339,0.0,1.0,0.0634001486078,0.119240435862,49.0,19.0,49.0,1.0,57.0,49.0,49.0
10,2.0,aff_cos_ent,"[ 5 14 17  0  4  1  4  2  4  7  3  4 17  5  7  4  5  6  7 14  5 14  5  4 14
  8  8  5 17 17 14  7  4  5  4  4  4  9  4  5 10 14 11 17 14  5  5  5  5  6
  4 14 12 14  0 14  5 14 17 13 14 14 14  5 17  5  5 14 14  5 14 14 14 14  4
  6 14 14  5 17  0 14 15  4 17  4 17 16  4 14  5  4  4 14 17  5  5 18  4 14
  5  5  6 17]",2.16013528883,-5.55848267346e-06,0.681986995234,0.0,1.0,0.465106261669,0.634911301435,10.0,50.0,10.0,1.0,34.0,10.0,10.0
11,2.0,spect_rbf,"[1 1 1 1 1 0 1 0 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1
 0 1 1 0 1 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 0 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1]",0.503056844917,-1.7221165028e-06,0.329112326561,0.0,1.0,0.108314923494,0.195458747686,43.0,26.0,43.0,1.0,10.0,43.0,43.0
12,2.0,spect_esk_sim,"[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.163023629494,-4.50288546324e-07,0.18735310552,0.0,1.0,0.0351011861479,0.0678217484776,56.0,12.0,56.0,1.0,61.0,56.0,56.0
13,2.0,aff_esk_sim,"[ 0 11 13  1  9  2 19  2  3  2  7  6  8 12 10  4 18  4 20 14 17 19 18 15 11
  5  8  1  7  1 11 11 19 19  6  3 20  7  9  8  9 14 10  4  0  3 10 18 16  5
  9 19 11 14 20 11 16 10  1 12  0  5 15  1 13 12  7 20 19 13 12 12  3  2 19
  6 13 12 14 10 10 15  7 16 16  4 17  4  2  6 18  8 20  7  9 17 15 19  0 18
 17  0 20  6]",3.02101856911,-3.19784264195e-05,0.80651475048,0.0,1.0,0.650466042743,0.78822105502,2.0,67.0,2.0,1.0,40.0,2.0,2.0
14,2.0,spect_lin_sim,"[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.163023629494,-4.50288546324e-07,0.18735310552,0.0,1.0,0.0351011861479,0.0678217484776,56.0,12.0,56.0,1.0,61.0,56.0,56.0
15,2.0,aff_lin_sim,"[18 14  0  1 10  2 17  2  3  2  8  7  9 15 12  5  4  5 19  0  4  6 10 13 14
 13  9  1  8  1 14 14 17 17  7  3 19  8 10  9 10 11 12  5  2  3 12 11  0 13
 10 17 14 18 19 14 18 12  1  0  6 13 12 18  4 15 10 19 13  3 15 15  3  2 17
  7  0  3 11 12 12 13  8  1  6  5 16  5  2  7  4  9 19  3 10 16  4 17 18 16
 16  1 19 13]",2.96415448132,-2.00080537935e-05,0.798888251077,0.0,1.0,0.638222437708,0.779164566444,4.0,65.0,4.0,1.0,40.0,4.0,4.0
