,no_clust,algorithm,predictions,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,2.0,spectral warp,"[0 0 1 0 0 1 0 0 0 1 1 1 0 0 0 0 0 1 0 0 1 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0
 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 1 1 1 1 0 1 1 1 0 0 1
 1 1 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 1 0]",0.0118355595983,0.0102665573701,0.0178541634923,0.0264461093092,0.0183487617149,0.0173728973629,0.0178474999336,24.0,37.0,24.0,39.0,20.0,24.0,24.0
1,2.0,aff prop,"[ 0  0  1 11 11  2 11 10  0  3  6  6  0  6  0 11 11  4  0 11  3  0  6  5 10
 11  5  0 11 11 11  1  0  0 11  0 11 11 10 11  6  8 11  0  0  0  8 11  0  3
  6  0  6  6 11  1  0  0  0  0 11 10 11  7  4  1  8  0  4  4  3 11  0  3  6
  9 10 10 11  0  8  6  1  4 11  0 10 11  0  6 11 11  0 11  6  1 11  3 11  0
  0 10  5  6]",0.0565750077041,-0.00359410167146,0.0484624552,0.0140851491194,0.028281519937,0.083043965432,0.0421935652241,40.0,20.0,37.0,34.0,31.0,40.0,38.0
2,2.0,pca,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.00357456093712,-0.00391404455114,0.0119787954838,0.00805486572352,0.0273476578705,0.00524694077726,0.00880462083881,15.0,14.0,19.0,22.0,27.0,15.0,18.0
3,2.0,spectral overlap,"[0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 0 0 0 1
 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]",0.00360740568071,-0.00194639061709,0.00594644982029,0.010214367314,0.00667785638362,0.00529515213175,0.00590666337869,19.0,27.0,13.0,28.0,13.0,19.0,13.0
4,2.0,km_choice,"[0 0 0 0 0 1 0 0 1 1 0 1 0 1 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0
 0 1 0 1 0 1 0 0 0 1 0 0 1 1 0 0 1 0 1 0 1 0 0 0 1 0 1 1 0 1 1 1 0 0 0 0 1
 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 0 0 1 1 1]",0.00181380927537,-0.00454446902805,0.00270176558228,-0.00113197278912,0.00274170203353,0.00266241085731,0.00270147475044,9.0,13.0,9.0,12.0,6.0,9.0,9.0
5,2.0,km_ent,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]",0.000733816282149,-0.00694626079215,0.00189302267027,0.00315047494002,0.00332690828784,0.00107713664463,0.00162738341007,5.0,7.0,6.0,17.0,7.0,5.0,6.0
6,2.0,km_con,"[0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1]",0.00035216603282,-0.00679248840087,0.000609803378583,-0.00156214955367,0.000719364049873,0.000516929030019,0.000601572825375,4.0,10.0,4.0,10.0,4.0,4.0,4.0
7,2.0,spect_cos_cat,"[0 0 0 0 1 1 1 0 1 1 1 1 1 1 0 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 0
 1 0 1 1 0 1 0 1 1 1 0 1 0 1 1 0 1 1 1 1 1 0 0 1 0 0 1 1 0 1 1 0 0 1 0 1 1
 0 1 0 1 1 0 1 0 0 1 0 0 1 1 1 1 0 1 0 1 1 1 0 1 1 1 1 0 1 0]",4.18787282327e-05,-0.00715985090602,6.17776298872e-05,-0.0086105596529,6.2084836696e-05,6.14719431923e-05,6.17768698396e-05,2.0,6.0,2.0,4.0,2.0,2.0,2.0
8,2.0,aff_cos_cat,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",0.0135646451465,0.000553559287713,0.0499247531855,0.00147900945362,0.125181444527,0.0199109459876,0.0343571564544,26.0,32.0,39.0,13.0,49.0,26.0,34.0
9,2.0,spect_cos_ent,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]",0.00335842186318,-0.00266170221288,0.00749838018706,0.0109844404927,0.0114055493312,0.00492967973721,0.00688398126458,13.0,24.0,16.0,29.0,16.0,13.0,15.0
