,no_clust,algorithm,predictions,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,2.0,spectral warp,"[0 0 1 0 1 0 1 0 0 0 0 1 0 0 1 1 0 1 0 1 1 1 0 0 1 0 1 1 1 0 0 0 1 0 1 1 0
 1 1 1 1 0 1 1 0 0 0 0 0 1 0 0 1 0 0 1 1 1 1 1 0 0 1 1 1 0 1 0 0 0 1 0 0 0
 0 1 1 1 0 1 0 1 0 1 0 0 1 1 0 1 1 0 1 0 1 1 1 0 0 0 0]",0.692705982449,-8.67808084052e-07,0.387420811043,0.0,1.0,0.150094884829,0.261013046505,22.0,58.0,22.0,1.0,55.0,22.0,22.0
1,2.0,aff prop,"[3 3 4 2 2 8 2 0 6 7 3 6 2 2 5 4 1 4 3 4 4 6 3 7 5 7 6 4 6 3 3 2 6 3 5 4 8
 5 5 5 5 3 4 4 3 2 7 7 2 6 1 8 6 7 7 4 5 6 4 4 7 2 5 4 5 3 6 3 8 3 5 7 7 3
 8 4 5 6 3 4 3 6 7 6 7 3 6 5 2 5 6 7 5 7 6 6 5 2 8 8 2]",2.01032077341,-5.99883546486e-06,0.659995777416,0.0,1.0,0.435594426206,0.606848867974,19.0,66.0,19.0,1.0,39.0,19.0,19.0
2,2.0,pca,"[0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0
 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0]",0.497645001994,-4.02581402381e-07,0.328373649827,0.0,1.0,0.107829253901,0.194667641284,47.0,35.0,47.0,1.0,19.0,47.0,47.0
3,2.0,spectral overlap,"[0 1 0 0 1 0 0 1 1 1 0 0 1 1 0 0 1 0 1 0 0 0 0 1 0 1 1 0 1 0 1 0 0 1 0 0 1
 0 0 0 0 1 0 0 1 0 1 0 1 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 1 1
 1 0 0 0 1 0 1 0 1 0 0 1 0 0 1 0 0 0 0 1 0 1 0 1 1 1 0]",0.675346967651,-6.21025284008e-07,0.382535684254,0.0,1.0,0.146333549728,0.255307104573,31.0,48.0,31.0,1.0,19.0,31.0,31.0
4,2.0,km_choice,"[0 1 0 1 0 0 1 1 0 1 1 0 0 0 1 1 1 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 0 1 0 0 1
 1 0 0 1 1 0 0 1 0 0 1 1 0 1 0 1 1 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 1 1 1 0
 0 0 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 1 1 0 1]",0.684840653881,-6.43385296898e-07,0.385215047456,0.0,1.0,0.148390632787,0.258432328774,28.0,51.0,28.0,1.0,59.0,28.0,28.0
5,2.0,km_ent,"[1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 0
 1 1 1 1 0 1 1 1 1 0 0 1 1 0 0 1 0 0 1 1 1 1 1 0 0 1 1 1 1 1 0 0 1 1 0 0 0
 0 1 1 1 0 1 0 1 0 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 0 1]",0.631840581392,-5.54980657026e-07,0.37000895478,0.0,1.0,0.136906626617,0.240840581648,33.0,44.0,33.0,1.0,52.0,33.0,33.0
6,2.0,km_con,"[1 0 1 0 1 1 0 0 1 0 0 1 1 1 0 0 0 1 1 1 0 0 1 1 0 0 0 1 1 1 1 1 1 0 1 1 0
 0 1 1 1 0 1 1 0 1 1 0 0 1 0 1 0 0 0 1 1 0 1 1 1 1 1 1 0 1 0 1 1 0 0 0 0 1
 1 1 1 0 0 1 1 0 1 1 1 1 1 0 1 1 1 0 1 0 1 0 1 0 0 1 0]",0.678914247947,-8.02814946147e-07,0.38354465801,0.0,1.0,0.147106504688,0.256482731267,30.0,57.0,30.0,1.0,5.0,30.0,30.0
7,2.0,spect_cos_cat,"[0 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1
 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0
 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0]",0.524137206754,-5.80876932858e-07,0.337000830959,0.0,1.0,0.113569560067,0.203973894653,46.0,46.0,46.0,1.0,52.0,46.0,46.0
8,2.0,aff_cos_cat,"[ 3  0  3  1  4  3  2  3  4  3  3  3  3  3  3  3  3  3  3  3  3  1  3  3  6
  3  3  4  3  3  3  4  4  5  4  3  1  3  3  3  3  1  3  3  3  3  4  3  3  6
  3  3  3  3  4  3  3  3  3  3  3  3  4  3  7  3  8  4  6  6  3  3  9  3  4
  3  3  3  3  3  3  1  3  3  3  3  3 10  3  3  3  3  3  4  3  3  4  1 11  3
  3]",1.17913296387,2.12376616781e-06,0.505463577834,0.0,1.0,0.255493428517,0.407000821691,21.0,9.0,21.0,1.0,19.0,21.0,21.0
9,2.0,spect_cos_ent,"[0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0
 0 0 0 0 1 0 0 1 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 1 0 1
 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0]",0.599560718438,-7.61789531815e-07,0.360433428088,0.0,1.0,0.129912256083,0.229951052188,36.0,53.0,36.0,1.0,39.0,36.0,36.0
