,no_clust,algorithm,predictions,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,2.0,spectral warp,"[1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0
 0 0 0 1 1 0 0 0 0 0 1 1 0 1 1 0 1 1 0 0 1 1 0 1 0 0 0 0 0 1 0 1 1 1 0 0 0
 1 0 1 1 1 1 1 1 0 1 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0]",0.675346967651,-6.21025284008e-07,0.382535684254,0.0,1.0,0.146333549728,0.255307104573,24.0,51.0,24.0,1.0,22.0,24.0,24.0
1,2.0,aff prop,"[ 0  2  1  3  2  3 20  4  4  9  5  2  5  6 14  5  4 20  5  7  4  8 11 18  8
  7  8  1  9 13 16 20  6 21  6  3 10 17  6 18 11  5  1 21  9  0  4  3 10  8
  7  8 10  8 10 11  0 10 10  0 12 12  7 12 15  2  1  3 18  4  2 13  5 14 14
  3 17  9 21 13 13  2 15  1  2  5 21  1 16 17  4  1 18 19  1 16  4 11  0 20
 21]",3.00872704891,1.14126874249e-05,0.807420686389,0.0,1.0,0.651928164809,0.789293600892,7.0,8.0,7.0,1.0,41.0,7.0,7.0
2,2.0,pca,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]",0.0555460752689,-5.79730422541e-08,0.109707208844,0.0,1.0,0.0120356716723,0.0237850740032,56.0,22.0,56.0,1.0,1.0,56.0,56.0
3,2.0,spectral overlap,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.0972674522428,-7.84193774841e-08,0.145175137815,0.0,1.0,0.0210758206395,0.0412815977296,53.0,33.0,53.0,1.0,11.0,53.0,53.0
4,2.0,km_choice,"[1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1
 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 1 1 1 1 1 1 0 1 1 0 1
 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1]",0.468680298136,-2.50169686627e-07,0.318674142254,0.0,1.0,0.101553208941,0.184381849405,49.0,37.0,49.0,1.0,15.0,49.0,49.0
5,2.0,km_ent,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,66.0,19.0,66.0,1.0,41.0,66.0,66.0
6,2.0,km_con,"[0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0
 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0
 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0]",0.468680298136,-2.57357138017e-07,0.318674142254,0.0,1.0,0.101553208941,0.184381849405,49.0,38.0,49.0,1.0,15.0,49.0,49.0
7,2.0,spect_cos_cat,"[1 1 1 1 0 1 1 0 0 0 1 1 1 1 1 1 1 0 0 0 1 1 1 1 0 0 1 1 1 1 1 0 1 1 0 0 1
 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 0 0 0 1 1 1 0 0 0 0 1 1 1 1 0 0 0 0 1 1 0
 1 1 1 1 0 0 1 0 0 0 1 1 1 1 0 0 1 1 1 1 0 1 1 0 0 1 0]",0.662192181868,-4.48306491634e-07,0.378791740987,0.0,1.0,0.14348318304,0.250958099197,43.0,42.0,43.0,1.0,41.0,43.0,43.0
8,2.0,aff_cos_cat,"[ 0  2  1  3  2  3 20  4  4  9  5  2  5  6 14  5  4 20  5  7  4  8 11 18  8
  7  8  1  9 13 16 20  6 21  6  3 10 17  6 18 11  5  1 21  9  0  4  3 10  8
  7  8 10  8 10 11  0 10 10  0 12 12  7 12 15  2  1  3 18  4  2 13  5 14 14
  3 17  9 21 13 13  2 15  1  2  5 21  1 16 17  4  1 18 19  1 16  4 11  0 20
 21]",3.00872704891,1.14126874249e-05,0.807420686389,0.0,1.0,0.651928164809,0.789293600892,7.0,8.0,7.0,1.0,41.0,7.0,7.0
9,2.0,spect_cos_ent,"[1 0 0 1 1 1 0 1 1 0 0 0 1 1 0 1 1 0 0 0 0 1 0 0 1 0 1 1 1 1 0 1 1 1 1 0 0
 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 1 0
 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 1 0 0 0 0]",0.666989466625,-6.13670956667e-07,0.380161352871,0.0,1.0,0.144522654217,0.252546603048,37.0,45.0,37.0,1.0,41.0,37.0,37.0
10,2.0,aff_cos_ent,"[ 0 11  1  9 18  2 20  3 18  6  4  3  8  5 15  4  6 20 13  8 18 18 19 19  7
 12  7  1  8 14 17 20 13 21  5 16  6  9  5 10 14  4  7 21  8  0 21  2 21  9
 10  7 13  7 10 19  0 14 21  0 11 13 20 11 12 13  1  2 16 16 20 14  4  9 15
  2 16  8 21 14 16 18  6  1  6 19 12  1 17 13 18  1  2 19  1 16  3 13  0 20
 21]",3.03305874998,1.92060882588e-05,0.810678934631,0.0,1.0,0.657200335054,0.793145307966,4.0,1.0,4.0,1.0,18.0,4.0,4.0
