,no_clust,algorithm,predictions,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,2.0,spectral warp,[0 0 1 0 0 1 0 1 0 1],3.88578058619e-16,5.77371950096e-16,3.88578058619e-06,0.0,5.77371950096e-16,1.0,1.15474390019e-15,34.0,33.0,33.0,1.0,33.0,1.0,33.0
1,2.0,aff prop,[0 0 2 0 0 1 0 0 0 2],-1.11022302463e-16,-1.38463124993e-16,-1.11022302463e-06,0.0,-1.38463124993e-16,1.0,-2.76926249986e-16,1.0,14.0,1.0,1.0,14.0,1.0,14.0
2,2.0,pca,[0 0 0 0 0 1 0 0 0 0],4.02455846427e-16,1.23800961406e-15,4.02455846427e-06,0.0,1.23800961406e-15,1.0,2.47601922812e-15,45.0,47.0,44.0,1.0,47.0,1.0,47.0
3,2.0,spectral overlap,[1 0 0 0 1 0 0 0 0 0],4.16333634234e-16,8.31997637603e-16,4.16333634234e-06,0.0,8.31997637603e-16,1.0,1.66399527521e-15,50.0,44.0,49.0,1.0,44.0,1.0,44.0
4,2.0,km_choice,[0 0 0 0 1 1 1 0 1 1],2.22044604925e-16,3.20342650381e-16,2.22044604925e-06,0.0,3.20342650381e-16,1.0,6.40685300763e-16,17.0,24.0,16.0,1.0,24.0,1.0,24.0
5,2.0,km_ent,[0 0 0 0 0 1 0 0 0 0],4.02455846427e-16,1.23800961406e-15,4.02455846427e-06,0.0,1.23800961406e-15,1.0,2.47601922812e-15,45.0,47.0,44.0,1.0,47.0,1.0,47.0
6,2.0,km_con,[0 0 0 0 1 1 1 0 1 1],2.22044604925e-16,3.20342650381e-16,2.22044604925e-06,0.0,3.20342650381e-16,1.0,6.40685300763e-16,17.0,24.0,16.0,1.0,24.0,1.0,24.0
7,2.0,spect_cos_cat,[0 0 0 0 0 0 0 1 1 1],-1.11022302463e-16,-1.81746260322e-16,-1.11022302463e-06,0.0,-1.81746260322e-16,1.0,-3.63492520643e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,2.0,aff_cos_cat,[0 2 0 1 2 2 0 2 2 2],3.33066907388e-16,3.70920979039e-16,3.33066907388e-06,0.0,3.70920979039e-16,1.0,7.41841958078e-16,32.0,31.0,31.0,1.0,31.0,1.0,31.0
9,2.0,spect_cos_ent,[0 0 0 0 0 1 0 0 0 0],4.02455846427e-16,1.23800961406e-15,4.02455846427e-06,0.0,1.23800961406e-15,1.0,2.47601922812e-15,45.0,47.0,44.0,1.0,47.0,1.0,47.0
10,2.0,aff_cos_ent,[3 3 0 2 2 1 2 3 3 2],2.22044604925e-16,1.86037182001e-16,2.22044604925e-06,0.0,1.86037182001e-16,1.0,3.72074364002e-16,17.0,20.0,16.0,1.0,20.0,1.0,20.0
11,2.0,spect_rbf,[0 0 1 0 0 0 0 1 0 1],-1.11022302463e-16,-1.81746260322e-16,-1.11022302463e-06,0.0,-1.81746260322e-16,1.0,-3.63492520643e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,2.0,spect_esk_sim,[0 0 1 0 1 0 1 1 1 0],2.22044604925e-16,3.20342650381e-16,2.22044604925e-06,0.0,3.20342650381e-16,1.0,6.40685300763e-16,17.0,24.0,16.0,1.0,24.0,1.0,24.0
13,2.0,aff_esk_sim,[1 0 0 0 1 1 2 2 0 0],2.22044604925e-16,2.15649934388e-16,2.22044604925e-06,0.0,2.15649934388e-16,1.0,4.31299868775e-16,17.0,22.0,16.0,1.0,22.0,1.0,22.0
14,2.0,spect_lin_sim,[1 0 0 0 0 1 0 0 0 1],-1.11022302463e-16,-1.81746260322e-16,-1.11022302463e-06,0.0,-1.81746260322e-16,1.0,-3.63492520643e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,2.0,aff_lin_sim,[2 1 0 1 1 2 2 0 0 2],2.22044604925e-16,2.03916438564e-16,2.22044604925e-06,0.0,2.03916438564e-16,1.0,4.07832877128e-16,17.0,21.0,16.0,1.0,21.0,1.0,21.0
16,2.0,comp_hr_esk_dis,[1 1 0 0 0 1 0 0 0 1],3.88578058619e-16,5.77371950096e-16,3.88578058619e-06,0.0,5.77371950096e-16,1.0,1.15474390019e-15,34.0,33.0,33.0,1.0,33.0,1.0,33.0
17,2.0,avg_hr_esk_dis,[0 0 1 0 0 0 1 1 1 0],3.88578058619e-16,5.77371950096e-16,3.88578058619e-06,0.0,5.77371950096e-16,1.0,1.15474390019e-15,34.0,33.0,33.0,1.0,33.0,1.0,33.0
18,2.0,comp_hr_lin_din,[1 0 0 0 0 1 0 0 0 1],-1.11022302463e-16,-1.81746260322e-16,-1.11022302463e-06,0.0,-1.81746260322e-16,1.0,-3.63492520643e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,2.0,avg_hr_lin_dis,[0 1 1 1 1 0 0 0 1 0],2.22044604925e-16,3.20342650381e-16,2.22044604925e-06,0.0,3.20342650381e-16,1.0,6.40685300763e-16,17.0,24.0,16.0,1.0,24.0,1.0,24.0
20,2.0,spect_edr,[1 1 0 0 0 0 0 0 1 0],-1.11022302463e-16,-1.81746260322e-16,-1.11022302463e-06,0.0,-1.81746260322e-16,1.0,-3.63492520643e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,2.0,aff_edr,[0 0 1 2 3 0 2 3 0 3],2.22044604925e-16,1.73492105931e-16,2.22044604925e-06,0.0,1.73492105931e-16,1.0,3.46984211863e-16,17.0,16.0,16.0,1.0,16.0,1.0,16.0
22,2.0,spectral bad warp,[0 0 1 0 0 1 1 0 0 1],3.88578058619e-16,5.77371950096e-16,3.88578058619e-06,0.0,5.77371950096e-16,1.0,1.15474390019e-15,34.0,33.0,33.0,1.0,33.0,1.0,33.0
23,2.0,affinity bad warp,[0 0 1 0 1 1 1 0 0 1],2.22044604925e-16,3.20342650381e-16,2.22044604925e-06,0.0,3.20342650381e-16,1.0,6.40685300763e-16,17.0,24.0,16.0,1.0,24.0,1.0,24.0
24,2.0,PCA bad euclid,[0 0 0 0 0 1 0 0 1 1],-1.11022302463e-16,-1.81746260322e-16,-1.11022302463e-06,0.0,-1.81746260322e-16,1.0,-3.63492520643e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,2.0,spectral bad eucsim,[1 1 1 1 1 0 1 1 0 0],-1.11022302463e-16,-1.81746260322e-16,-1.11022302463e-06,0.0,-1.81746260322e-16,1.0,-3.63492520643e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,2.0,affinity bad eucsim,[0 0 0 0 0 1 0 0 1 1],-1.11022302463e-16,-1.81746260322e-16,-1.11022302463e-06,0.0,-1.81746260322e-16,1.0,-3.63492520643e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,2.0,spectral bad cosine,[0 0 0 0 0 0 0 1 1 1],-1.11022302463e-16,-1.81746260322e-16,-1.11022302463e-06,0.0,-1.81746260322e-16,1.0,-3.63492520643e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,2.0,affinity bad cosine,[0 2 0 1 2 2 0 2 2 2],3.33066907388e-16,3.70920979039e-16,3.33066907388e-06,0.0,3.70920979039e-16,1.0,7.41841958078e-16,32.0,31.0,31.0,1.0,31.0,1.0,31.0
29,2.0,spectral bad rbf,[0 0 1 0 1 0 0 0 0 0],4.16333634234e-16,8.31997637603e-16,4.16333634234e-06,0.0,8.31997637603e-16,1.0,1.66399527521e-15,50.0,44.0,49.0,1.0,44.0,1.0,44.0
30,2.0,affinity bad rbf,[0 0 0 0 0 1 0 0 1 1],-1.11022302463e-16,-1.81746260322e-16,-1.11022302463e-06,0.0,-1.81746260322e-16,1.0,-3.63492520643e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,2.0,spectral bad edr,[0 0 0 1 0 1 0 0 0 0],4.16333634234e-16,8.31997637603e-16,4.16333634234e-06,0.0,8.31997637603e-16,1.0,1.66399527521e-15,50.0,44.0,49.0,1.0,44.0,1.0,44.0
32,2.0,affinity bad edr,[0 1 2 3 4 3 4 4 3 4],1.66533453694e-16,1.1740244753e-16,1.66533453694e-06,0.0,1.1740244753e-16,1.0,2.3480489506e-16,16.0,15.0,15.0,1.0,15.0,1.0,15.0
33,2.0,kmeans badset,[0 0 0 0 1 1 1 0 1 1],2.22044604925e-16,3.20342650381e-16,2.22044604925e-06,0.0,3.20342650381e-16,1.0,6.40685300763e-16,17.0,24.0,16.0,1.0,24.0,1.0,24.0
34,2.0,complete badset,[0 1 1 1 1 0 1 0 0 0],2.22044604925e-16,3.20342650381e-16,2.22044604925e-06,0.0,3.20342650381e-16,1.0,6.40685300763e-16,17.0,24.0,16.0,1.0,24.0,1.0,24.0
35,2.0,average badset,[0 0 0 0 0 1 0 0 1 1],-1.11022302463e-16,-1.81746260322e-16,-1.11022302463e-06,0.0,-1.81746260322e-16,1.0,-3.63492520643e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,2.0,ward badset,[0 0 0 0 0 1 0 0 1 1],-1.11022302463e-16,-1.81746260322e-16,-1.11022302463e-06,0.0,-1.81746260322e-16,1.0,-3.63492520643e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,2.0,spectral eblock warp,[1 1 0 1 0 0 0 0 1 0],3.88578058619e-16,5.77371950096e-16,3.88578058619e-06,0.0,5.77371950096e-16,1.0,1.15474390019e-15,34.0,33.0,33.0,1.0,33.0,1.0,33.0
38,2.0,affinity eblock warp,[0 0 1 0 1 2 0 3 0 3],2.22044604925e-16,1.81913225796e-16,2.22044604925e-06,0.0,1.81913225796e-16,1.0,3.63826451592e-16,17.0,18.0,16.0,1.0,18.0,1.0,18.0
39,2.0,PCA eblock euclid,[1 1 0 1 0 0 0 0 1 0],3.88578058619e-16,5.77371950096e-16,3.88578058619e-06,0.0,5.77371950096e-16,1.0,1.15474390019e-15,34.0,33.0,33.0,1.0,33.0,1.0,33.0
40,2.0,spectral eblock eucsim,[1 1 0 1 0 0 0 0 1 0],3.88578058619e-16,5.77371950096e-16,3.88578058619e-06,0.0,5.77371950096e-16,1.0,1.15474390019e-15,34.0,33.0,33.0,1.0,33.0,1.0,33.0
41,2.0,affinity eblock eucsim,[3 3 0 3 0 1 0 2 3 2],2.22044604925e-16,1.73492105931e-16,2.22044604925e-06,0.0,1.73492105931e-16,1.0,3.46984211863e-16,17.0,16.0,16.0,1.0,16.0,1.0,16.0
42,2.0,spectral eblock cosine,[0 0 0 0 0 1 0 0 0 0],4.02455846427e-16,1.23800961406e-15,4.02455846427e-06,0.0,1.23800961406e-15,1.0,2.47601922812e-15,45.0,47.0,44.0,1.0,47.0,1.0,47.0
43,2.0,affinity eblock cosine,[0 0 1 0 2 3 0 0 0 4],2.77555756156e-16,2.26109251286e-16,2.77555756156e-06,0.0,2.26109251286e-16,1.0,4.52218502572e-16,31.0,23.0,30.0,1.0,23.0,1.0,23.0
44,2.0,spectral eblock rbf,[1 1 0 1 0 0 0 0 1 0],3.88578058619e-16,5.77371950096e-16,3.88578058619e-06,0.0,5.77371950096e-16,1.0,1.15474390019e-15,34.0,33.0,33.0,1.0,33.0,1.0,33.0
45,2.0,affinity eblock rbf,[0 0 1 0 1 2 0 3 0 3],2.22044604925e-16,1.81913225796e-16,2.22044604925e-06,0.0,1.81913225796e-16,1.0,3.63826451592e-16,17.0,18.0,16.0,1.0,18.0,1.0,18.0
46,2.0,spectral eblock edr,[1 1 0 1 0 0 0 0 0 0],-1.11022302463e-16,-1.81746260322e-16,-1.11022302463e-06,0.0,-1.81746260322e-16,1.0,-3.63492520643e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,2.0,affinity eblock edr,[0 0 0 0 0 0 0 0 0 0],0.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,52.0,52.0,52.0,52.0,1.0,52.0
48,2.0,kmeans eblockset,[0 0 1 0 0 1 0 1 0 1],3.88578058619e-16,5.77371950096e-16,3.88578058619e-06,0.0,5.77371950096e-16,1.0,1.15474390019e-15,34.0,33.0,33.0,1.0,33.0,1.0,33.0
