,no_clust,algorithm,predictions,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,2.0,spectral warp,"[0 0 1 0 1 1 1 0 1 1 0 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 0 0 1 0 1 1 0 0 1 0 1
 0 0 0 1 0 0 1 1 0 1 0 1 1 0 0 0 1 1 1 0 0 0 1 1 0 1 1 0 1 1 0 0 0 0 1 0 0
 0 1 1 1 0 1 0 0 0 0 0 0 1 1 1 0 0 1 0 1 1 1 0 1 0 0 0]",0.00799375727907,0.00429544210939,0.0120829430931,0.00773853321985,0.0115398992958,0.0126515414085,0.0120701793312,33.0,46.0,31.0,33.0,27.0,33.0,32.0
1,2.0,aff prop,"[0 0 5 0 5 6 7 0 6 6 4 7 8 5 5 4 5 6 7 0 6 1 6 7 0 5 0 8 6 8 7 7 1 4 4 1 4
 2 7 8 7 4 4 6 5 3 5 0 5 7 0 8 8 7 5 7 0 0 4 6 5 1 6 6 0 5 5 0 8 8 4 7 3 1
 8 5 6 7 8 6 0 1 0 8 8 0 5 7 7 8 0 7 4 6 7 6 8 6 4 1 4]",0.032993367488,-0.00587172536656,0.0292745485292,-0.0114363714785,0.0164119915212,0.052217867069,0.0249745288478,38.0,17.0,37.0,12.0,36.0,38.0,37.0
2,2.0,pca,"[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0
 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0
 1 0 0 0 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0]",0.00342586141507,-0.00270209362324,0.00610950759893,-0.0287568694334,0.0068841471357,0.0054220344751,0.00606623309844,17.0,28.0,17.0,4.0,16.0,17.0,17.0
3,2.0,spectral overlap,"[0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 0 0 0 1 1 0 1 0 0
 1 1 1 0 1 1 0 0 1 0 1 0 0 0 1 1 1 0 1 0 1 0 0 0 1 0 0 1 0 0 1 1 0 1 0 1 1
 1 0 0 0 1 0 0 1 0 1 1 1 0 0 0 0 1 0 1 0 0 0 1 0 1 1 0]",0.0108767748077,0.00870087318411,0.0166507155591,-0.00803635471328,0.0161054618274,0.0172144289684,0.0166414908338,35.0,50.0,35.0,19.0,35.0,35.0,35.0
4,2.0,km_choice,"[0 1 0 1 1 1 0 1 0 0 0 1 1 0 0 0 0 1 1 0 1 0 0 1 1 0 0 0 1 1 0 1 1 1 0 0 1
 1 0 1 0 0 0 1 1 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 1 1 0 1 0
 1 0 0 1 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1]",0.00473015765853,-0.000465111307939,0.0072221149527,0.0102269294473,0.0069672387534,0.00748631505768,0.00721745600726,25.0,37.0,22.0,36.0,18.0,25.0,22.0
5,2.0,km_ent,"[0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 0 1 0 0 1 0 0 1 0
 1 0 1 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 1
 1 0 0 0 1 0 0 1 0 1 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0]",0.000623981609651,-0.00707369885246,0.000987561780657,-0.0145451623272,0.000987561780657,0.000987561780657,0.000987561780657,1.0,8.0,1.0,10.0,1.0,1.0,1.0
6,2.0,km_con,"[0 1 0 1 1 1 0 1 0 0 0 1 1 0 0 0 0 1 1 0 1 0 0 1 1 0 0 0 1 1 0 1 1 1 0 0 1
 1 0 1 0 0 0 1 1 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 1 1 0 1 0
 1 0 0 1 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1]",0.00473015765853,-0.000465111307939,0.0072221149527,0.0102269294473,0.0069672387534,0.00748631505768,0.00721745600726,25.0,37.0,22.0,36.0,18.0,25.0,22.0
7,2.0,spect_cos_cat,"[1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 0
 1 1 0 1 0 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1
 1 1 1 0 1 1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 0 1]",0.00188940120175,-0.00512827510364,0.00328320449957,-0.0232143164701,0.00360478358987,0.00299031315397,0.00326892302105,10.0,20.0,5.0,7.0,5.0,10.0,5.0
8,2.0,aff_cos_cat,"[ 8  0  8  8  8 10  9  1  8  8  8  8  8  8  8  8  8  2  3  9  8  9  8  8  8
  8  8  8  4  8  8  8  5  6  9  8  7  8  9  8  8  8  8  8  8  8  8  8  8  6
  8  8  8  8  9  8  8  8  9  9  8  6  8  8  6  8  8  8  9  8  8 10  8  8  9
  8  8  8  8  9  8 10 10  8 11  8  8  6  8  8  8  8  8  8  8  8  9  9  6  8
  8]",0.101213283112,0.0303256353024,0.117260668078,0.00246381873719,0.085837039769,0.160188006426,0.111777759954,51.0,52.0,51.0,32.0,50.0,51.0,51.0
9,2.0,spect_cos_ent,"[0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0
 0 1 1 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 1 1 0 0 1 0
 0 0 0 0 1 0 0 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0]",0.00241282682716,-0.00423792022206,0.00392017820026,-0.0216577203147,0.00402432439777,0.00381872722046,0.00391883105449,11.0,22.0,6.0,8.0,6.0,11.0,11.0
