,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,"[0, 0.5, 1]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.7, 1.8]",,spectral warp,[1 0 1 1 0 2 0 0 1 2 0 0 0 2 2],"(0.26029000000000002, 9.0)","(0.090342432080419144, 10.0)","(0.24113185065907963, 10.0)","(0.025889967637540444, 9.0)","(0.24541472922906357, 10.0)","(0.23692371515322583, 9.0)","(0.2410944849180994, 10.0)",9.0,10.0,10.0,9.0,10.0,9.0,10.0
1,"[0, 0.5, 1]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.7, 1.8]",,aff prop,[0 1 2 0 3 4 1 3 0 1 1 3 3 4 4],"(0.28949000000000003, 10.0)","(-0.05864878998321834, 6.0)","(0.22334212960828786, 9.0)","(-0.06060606060606062, 6.0)","(0.18930142228714805, 8.0)","(0.26350413142855611, 10.0)","(0.22032285800665638, 9.0)",10.0,6.0,9.0,6.0,8.0,10.0,9.0
2,"[0, 0.5, 1]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.7, 1.8]",,pca,[0 1 0 0 0 1 0 0 0 1 1 0 0 1 1],"(0.057540000000000001, 1.0)","(-0.022853132048315412, 7.0)","(0.066912810484423088, 4.0)","(-0.022038567493112938, 7.0)","(0.08549096146585064, 4.0)","(0.052371901428583029, 1.0)","(0.06495330378207452, 4.0)",1.0,7.0,4.0,7.0,4.0,1.0,4.0
3,"[0, 0.5, 1]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.7, 1.8]",,spectral overlap,[2 0 0 2 1 0 0 1 0 0 0 1 0 0 0],"(0.17560999999999999, 8.0)","(-0.0059022548998220944, 8.0)","(0.18057691485568877, 8.0)","(0.0, 8.0)","(0.20399539439084433, 9.0)","(0.15984685475949242, 8.0)","(0.17924263746140867, 8.0)",8.0,8.0,8.0,8.0,9.0,8.0,8.0
4,"[0, 0.5, 1]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.7, 1.8]",,km_choice,[2 1 0 2 2 0 0 0 0 0 0 0 0 0 0],"(0.41310999999999998, 12.0)","(0.26293862043192551, 13.0)","(0.46134408032404489, 18.0)","(0.23437499999999994, 13.0)","(0.56600994520881864, 19.0)","(0.37603289880624996, 13.0)","(0.45186556386948001, 18.0)",12.0,13.0,18.0,13.0,19.0,13.0,18.0
5,"[0, 0.5, 1]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.7, 1.8]",,km_ent,[2 1 2 2 0 1 0 2 2 1 0 2 0 1 1],"(0.06515, 2.0)","(-0.1195700462280001, 3.0)","(0.059669254117570354, 1.0)","(-0.08580858085808583, 2.0)","(0.060037171222834897, 1.0)","(0.059303591665441344, 2.0)","(0.059668126812300666, 1.0)",2.0,3.0,1.0,2.0,1.0,2.0,1.0
6,"[0, 0.5, 1]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.7, 1.8]",,km_con,[0 0 1 0 0 2 1 1 1 2 1 1 1 1 2],"(0.45167000000000002, 15.0)","(0.29655147422718925, 15.0)","(0.42887044659178625, 14.0)","(0.2367601246105919, 15.0)","(0.44737397493709063, 15.0)","(0.41113222999997312, 15.0)","(0.42848813183201601, 14.0)",15.0,15.0,14.0,15.0,15.0,15.0,14.0
7,"[0, 0.5, 1]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.7, 1.8]",,spect_cos_cat,[2 0 1 2 0 0 0 1 1 0 1 1 1 1 1],"(0.39413999999999999, 11.0)","(0.23706040402974629, 12.0)","(0.3817814772144616, 11.0)","(0.20795107033639146, 12.0)","(0.40627986077633466, 11.0)","(0.35876032857139023, 11.0)","(0.38104428596968054, 11.0)",11.0,12.0,11.0,12.0,11.0,11.0,11.0
8,"[0, 0.5, 1]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.7, 1.8]",,aff_cos_cat,[0 1 2 0 3 2 2 2 2 2 2 2 2 2 2],"(0.41310999999999998, 12.0)","(0.19519505098826281, 11.0)","(0.42570971691844517, 13.0)","(0.18518518518518517, 11.0)","(0.48194922214016278, 18.0)","(0.3760328988062499, 12.0)","(0.42245347229118252, 13.0)",12.0,11.0,13.0,11.0,18.0,12.0,13.0
9,"[0, 0.5, 1]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.7, 1.8]",,spect_cos_ent,[1 0 2 1 1 0 2 1 2 0 2 1 1 0 0],"(0.06515, 2.0)","(-0.11957006430093658, 2.0)","(0.059669254117570354, 1.0)","(-0.08580858085808583, 2.0)","(0.060037171222834897, 1.0)","(0.059303591665441344, 2.0)","(0.059668126812300666, 1.0)",2.0,2.0,1.0,2.0,1.0,2.0,1.0
