,mu,sigma,trials,cluster,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas
0,"[0, 2, 4]","[1, 1, 1]",100.0,50.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spectral warp,"[1 0 0 1 1 1 1 0 1 1 1 0 0 0 1 1 0 1 1 1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 1 1 1
 1 2 1 0 0 1 1 0 1 1 1 2 1 1 0 1 1 0 1 1 1 1 0 2 1 0 0 0 1 0 1 1 0 0 1 1 1
 0 1 0 1 1 0 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 0 0 0 1 1 1 0 0 0 2 0 0 1 2 1 2
 1 0 0 1 2 2 0 1 2 1 0 1 1 1 1 2 0 0 1 1 2 0 1 2 0 0 1 0 0 1 0 0 2 0 0 1 1
 1 0]",0.04978,0.0331,0.04972,0.01814,0.05455,0.04531,0.04951
1,"[0, 2, 4]","[1, 1, 1]",100.0,50.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,aff prop,"[2 0 0 2 2 2 2 0 2 2 2 0 0 0 2 2 0 2 2 2 2 0 2 2 0 2 2 1 1 2 2 0 0 0 2 2 2
 2 1 2 0 0 2 2 0 2 2 2 5 2 2 0 2 2 0 2 2 2 2 1 3 2 0 0 0 2 0 2 2 0 2 2 2 2
 0 2 0 2 2 0 2 2 2 2 2 2 0 0 2 2 2 0 2 2 2 0 0 1 2 2 2 1 0 0 4 1 0 2 3 2 4
 2 0 0 2 5 5 1 2 4 2 0 2 2 2 2 2 0 0 2 2 1 1 2 5 0 0 2 0 0 2 0 0 3 1 0 2 2
 2 0]",0.06455,0.02266,0.05781,0.00977,0.05689,0.05875,0.05781
2,"[0, 2, 4]","[1, 1, 1]",100.0,50.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,pca,"[1 0 0 1 1 1 1 0 1 1 1 0 0 0 1 1 0 1 1 1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 1 1 1
 1 0 1 0 0 1 1 0 1 1 1 0 1 1 0 1 1 0 1 1 1 1 0 0 1 0 0 0 1 0 1 1 0 1 1 1 1
 0 1 0 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0 1 0 1 0
 1 0 0 1 0 0 0 1 0 1 0 1 1 1 1 1 0 0 1 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 1
 1 0]",0.02656,0.01813,0.0306,0.02613,0.03872,0.02418,0.02977
3,"[0, 2, 4]","[1, 1, 1]",100.0,50.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,km_choice,"[1 1 1 1 2 2 1 1 1 2 1 2 1 2 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 2 2 1 2 2 2 1 1
 1 1 2 2 1 2 2 1 2 1 2 1 2 2 2 2 1 2 2 2 2 2 1 0 2 2 2 2 2 1 2 2 1 2 2 2 1
 2 2 2 2 2 2 1 1 2 2 2 2 1 2 1 2 1 2 2 1 1 1 2 2 1 1 2 1 1 1 1 1 1 2 0 1 1
 2 2 2 1 1 1 1 1 1 1 2 1 2 1 1 0 2 1 1 1 2 2 1 1 1 2 2 2 2 2 1 1 0 2 2 1 1
 2 1]",0.05783,0.03934,0.06179,0.04828,0.07253,0.05264,0.061
4,"[0, 2, 4]","[1, 1, 1]",100.0,50.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spectral overlap,"[2 0 0 2 0 0 2 0 2 0 2 1 0 1 2 0 0 2 2 2 2 0 0 2 0 2 2 0 0 0 0 0 1 1 0 2 2
 2 0 0 1 0 0 0 0 0 2 0 1 0 0 1 2 2 1 0 0 0 0 1 2 0 1 1 2 0 0 0 0 0 0 0 0 2
 1 0 1 0 0 2 2 2 0 0 2 0 0 2 2 0 2 0 0 2 2 0 1 2 2 2 0 2 0 1 2 0 0 0 2 2 2
 0 1 1 2 2 2 1 2 2 2 1 2 0 2 2 2 1 0 2 2 2 2 2 0 0 2 0 1 2 0 0 0 2 2 1 2 2
 2 0]",0.02487,0.01032,0.02364,0.01756,0.02468,0.02263,0.02361
5,"[0, 2, 4]","[1, 1, 1]",100.0,50.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,km_con,"[2 0 2 2 1 1 2 2 2 1 2 1 2 1 2 1 0 2 2 2 2 2 1 2 2 2 2 0 0 1 1 0 1 1 1 2 2
 2 0 1 1 0 1 1 2 1 2 1 0 1 1 1 1 2 1 1 1 1 1 0 0 1 1 1 1 1 2 1 1 2 1 1 1 2
 1 1 1 1 1 1 2 2 1 1 1 1 0 1 2 1 2 1 1 2 2 2 1 1 2 2 1 0 2 2 0 0 0 1 0 2 0
 1 1 1 2 0 0 0 2 0 2 1 2 1 2 2 1 1 0 2 2 1 1 2 0 2 1 1 1 1 1 2 2 1 1 1 2 2
 1 2]",0.04706,0.03079,0.04477,0.03299,0.04679,0.04284,0.04473
6,"[0, 2, 4]","[1, 1, 1]",100.0,50.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,km_ent,"[1 2 2 1 1 1 1 2 1 1 1 2 2 2 1 1 2 1 1 1 1 2 1 1 2 1 1 2 0 1 1 2 2 2 1 1 1
 1 0 1 2 2 1 1 2 1 1 1 0 1 1 2 1 1 2 1 1 1 1 2 0 1 2 2 2 1 2 1 1 2 1 1 1 1
 2 1 2 1 1 2 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 2 2 2 1 1 1 2 2 2 0 0 2 1 0 1 0
 1 2 2 1 0 0 2 1 0 1 2 1 1 1 1 1 2 2 1 1 0 2 1 0 2 2 1 2 2 1 2 2 1 2 2 1 1
 1 2]",0.03893,0.02308,0.03913,0.01348,0.0432,0.03543,0.03893
7,"[0, 2, 4]","[1, 1, 1]",100.0,50.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",,spectral warp,"[1 1 1 1 1 1 2 2 2 1 1 1 1 2 1 1 2 1 2 1 2 1 2 1 2 1 2 1 1 1 2 2 1 1 1 1 1
 1 2 1 0 1 2 1 2 1 1 2 2 1 2 1 0 0 1 0 1 1 0 1 0 1 1 2 1 1 2 1 0 2 2 1 1 0
 1 1 2 1 1 1 2 1 1 1 1 0 2 1 1 1 2 2 2 2 1 1 1 0 1 2 0 2 2 0 2 2 1 2 2 2 2
 0 0 1 2 2 0 1 0 2 1 0 2 2 2 2 2 2 1 2 1 1 0 2 1 1 0 1 1 2 0 1 1 1 2 2 0 1
 1 2]",0.06426,0.04662,0.0617,0.03563,0.06509,0.0585,0.06162
8,"[0, 2, 4]","[1, 1, 1]",100.0,50.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",,aff prop,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 85 16 17 18 19 20 21 22 95
 23 24 25 26 27 28 85 29 30 31 32 51 33 34 35 50 36 95 37 38 39 40 41 95 42
 43 44 45 50 45 46 47 48 50 49 50 51 52 21 53 54 55 56 50 95 51 57 51 46 58
 59 60 61 51 62 63 64 65 66 67 50 68 69 70 71 85  6 95 95 72 73 51 85 74 86
 75 76 77 46 78 79 80 81 85 85 95 50 85 82 95 95 75 83 75 85 84 46 95 95 85
 86 87 95 88 95 89 90 50 85 91 92 50 93 94 95 75 91 96 97 95 95 75 51 98 85]",0.79418,0.01848,0.37062,0.01478,0.19002,0.7229,0.30093
9,"[0, 2, 4]","[1, 1, 1]",100.0,50.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",,pca,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1
 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0
 1 1 0 0 0 1 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0
 0 1]",0.04932,0.0389,0.06854,0.02613,0.10464,0.0449,0.06283
