,mu,sigma,trials,cluster,decision,alpha,tau,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas
0,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",spectral warp,[0 1 1 0 1 1 1 2 1 0 1 1 0 2 2],0.11688,-0.06749,0.11098,-0.06854,0.11577,0.10639,0.11088
1,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",aff prop,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",pca,[0 1 1 0 1 1 1 0 1 1 1 1 0 0 0],0.05754,-0.02285,0.06691,-0.02204,0.08549,0.05237,0.06495
3,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",kmeans,[0 1 1 0 0 1 1 2 1 1 0 0 0 1 0],0.33393,0.18606,0.33735,0.16667,0.37442,0.30395,0.33553
4,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",spectral overlap,[0 0 0 0 1 0 0 2 0 0 1 1 0 1 2],0.27726,0.1077,0.27465,0.11209,0.29889,0.25237,0.27367
5,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",spectral warp,[2 1 2 0 0 2 0 0 0 0 0 2 0 0 1],0.09242,-0.0931,0.09155,-0.0531,0.09963,0.08412,0.09122
6,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",aff prop,[2 0 2 1 1 2 1 1 1 1 1 2 1 1 3],0.18484,-0.06939,0.17461,-0.04167,0.18121,0.16825,0.17449
7,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",pca,[0 0 0 1 1 0 1 1 1 1 1 0 1 1 0],0.05754,-0.02285,0.06691,-0.02204,0.08549,0.05237,0.06495
8,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",kmeans,[1 2 1 1 1 0 1 0 0 0 0 0 0 0 0],0.51963,0.38174,0.53671,0.35632,0.60902,0.47299,0.53245
9,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",spectral overlap,[1 1 0 2 2 2 2 1 1 1 1 0 1 1 1],0.18484,0.0073,0.1831,-0.0118,0.19926,0.16825,0.18245
10,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.5, 0.9]",spectral warp,[2 2 1 1 2 2 1 1 1 2 2 0 0 2 2],0.2971,0.13197,0.28779,0.0367,0.30626,0.27044,0.28723
11,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.5, 0.9]",aff prop,[0 0 1 1 0 0 1 1 1 0 0 2 2 0 0],0.2971,0.13197,0.28779,0.0367,0.30626,0.27044,0.28723
12,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.5, 0.9]",pca,[0 0 0 0 0 0 0 0 0 0 0 1 1 0 0],0.16834,0.0774,0.2563,0.04474,0.42869,0.15323,0.22576
13,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.5, 0.9]",kmeans,[0 1 1 1 1 0 0 0 0 0 0 2 0 0 0],0.46971,0.32608,0.5,0.2865,0.58472,0.42755,0.49393
14,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.5, 0.9]",spectral overlap,[1 2 1 1 2 2 2 2 2 1 0 0 0 1 0],0.52725,0.38103,0.48288,0.33003,0.48586,0.47992,0.48287
15,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.3, 0.7, 1.1]",spectral warp,[0 0 2 2 2 0 0 1 2 2 0 0 1 1 1],0.28487,0.11846,0.2609,0.05281,0.26251,0.2593,0.2609
16,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.3, 0.7, 1.1]",aff prop,[0 0 0 0 0 1 0 1 0 0 0 0 1 1 1],0.18784,0.10285,0.22463,0.08533,0.29511,0.17098,0.21651
