,mu,sigma,trials,cluster,decision,alpha,tau,clustering,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas
0,"[0, 2, 4]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.2, 0.3]",spectral warp,0.76382,0.68521,0.69954,0.7123,0.70386,0.69526,0.69953
1,"[0, 2, 4]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.2, 0.3]",aff prop,0.8809,0.51617,0.6612,0.52341,0.54523,0.80183,0.64909
2,"[0, 2, 4]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.2, 0.3]",pca,0.37489,0.33052,0.47696,0.29669,0.66667,0.34124,0.45142
3,"[0, 2, 4]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.2, 0.3]",kmeans,0.67713,0.60361,0.62982,0.6007,0.64358,0.61635,0.62967
4,"[0, 2, 4]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.2, 0.3]",spectral overlap,0.39925,0.3422,0.37842,0.30145,0.39405,0.36341,0.37811
5,"[0, 2, 4]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.3, 0.5]",spectral warp,0.55527,0.48863,0.54311,0.39449,0.5836,0.50543,0.54171
6,"[0, 2, 4]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.3, 0.5]",aff prop,0.84338,0.48113,0.62655,0.51242,0.51137,0.76767,0.61384
7,"[0, 2, 4]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.3, 0.5]",pca,0.16834,0.13844,0.2563,0.07218,0.42869,0.15323,0.22576
8,"[0, 2, 4]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.3, 0.5]",kmeans,0.62814,0.55744,0.59288,0.52687,0.61478,0.57175,0.59249
9,"[0, 2, 4]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.3, 0.5]",spectral overlap,0.10301,0.06178,0.14259,0.03364,0.21685,0.09376,0.13092
