,mu,sigma,trials,cluster,decision,alpha,tau,clustering,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas
0,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,epsgreedy,"[1, 1, 1]",,spectral warp,0.105347885086,0.0659848329659,0.0974833341205,0.0573296346472,0.0991013065379,0.0958917774472,0.0974701280378
1,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,epsgreedy,"[1, 1, 1]",,aff prop,0.158056586322,0.0105805391666,0.106529047726,0.0264632627646,0.0788801893324,0.143869304897,0.101894175326
2,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,epsgreedy,"[1, 1, 1]",,pca,0.0856786581469,0.0631160887596,0.104587084515,0.0718811448547,0.140258086548,0.0779880755301,0.100239638977
3,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,epsgreedy,"[1, 1, 1]",,kmeans,0.0167004306486,-0.0180594968053,0.0162651089497,-0.0117706747844,0.0174032650961,0.0152013870779,0.0162279767767
4,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,epsgreedy,"[1, 1, 1]",,spectral overlap,0.0748220963283,0.0337309034014,0.117334348603,0.0146812540107,0.202145889167,0.0681060070965,0.101885311833
5,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,epsgreedy,"[1, 1, 1]",,spectral warp,0.0676376614658,0.0298232442219,0.0647917922672,0.0379302465674,0.0681861007672,0.0615664526634,0.064707417838
6,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,epsgreedy,"[1, 1, 1]",,aff prop,0.214741683524,0.0179361420648,0.140651222874,-0.000840292001471,0.101208065521,0.195466303935,0.133363502429
7,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,epsgreedy,"[1, 1, 1]",,pca,0.0795310275805,0.057569320754,0.0920699022004,0.0737815927515,0.117096313469,0.0723922610377,0.0894710080886
8,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,epsgreedy,"[1, 1, 1]",,kmeans,0.10132607368,0.0621106240269,0.0948577855171,0.0399186371726,0.0975594181799,0.0922309669439,0.094820393218
9,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,epsgreedy,"[1, 1, 1]",,spectral overlap,0.191010431755,0.14298769354,0.232251510574,0.10433512442,0.310244764258,0.173865187679,0.222845095203
10,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,epsgreedy,"[1, 1, 1]",,spectral warp,0.378924348529,0.323048104489,0.355504472358,0.312774489211,0.366422452593,0.344911805955,0.355341889829
11,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,epsgreedy,"[1, 1, 1]",,aff prop,0.712492595371,0.31129248296,0.488658471586,0.326463605597,0.368192520421,0.648538708988,0.469715289441
12,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,epsgreedy,"[1, 1, 1]",,pca,0.204851071185,0.17299094286,0.276284366272,0.135663668575,0.409372659982,0.186463480609,0.256221621504
13,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,epsgreedy,"[1, 1, 1]",,kmeans,0.254221558057,0.206048780809,0.233330876333,0.186268760453,0.235275389354,0.231402434397,0.233322841067
14,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,epsgreedy,"[1, 1, 1]",,spectral overlap,0.0377837548781,0.000560569247505,0.0876231772032,0.00117056611504,0.223242733001,0.0343922558193,0.0596023173586
15,"[0, 0.5, 1]","[1, 1, 1]",100.0,20.0,epsgreedy,"[0.1, 0.5, 1]",,spectral warp,0.660764446961,0.588254635919,0.611150985635,0.528447403003,0.621004601567,0.601453719184,0.611072820893
