,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,spectral warp,[0 0 1 0 0 0 0 0 1 0 1 1 1 1 0 1 1 1 1 1],0.2754,0.37278,0.39876,0.46197,0.4002,0.39731,0.39875,9.0,1.0,15.0,1.0,10.0,9.0,14.0
1,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,aff prop,[1 0 2 0 0 0 1 0 2 0 3 3 2 2 1 2 2 3 3 2],0.38828,0.2385,0.40362,0.25299,0.29082,0.56016,0.38287,4.0,24.0,14.0,22.0,20.0,4.0,16.0
2,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,pca,[1 1 0 1 1 1 1 1 0 1 0 0 0 1 1 0 0 0 0 0],0.19274,0.24873,0.27807,0.32444,0.27807,0.27807,0.27807,27.0,19.0,23.0,13.0,22.0,27.0,23.0
3,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,spectral overlap,[0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0],0.00997,-0.0342,0.01841,-0.01731,0.02358,0.01438,0.01786,48.0,50.0,48.0,47.0,48.0,48.0,48.0
4,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,km_choice,[1 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0],0.27436,0.3704,0.42163,0.3304,0.44913,0.39582,0.42079,11.0,2.0,5.0,3.0,1.0,11.0,3.0
5,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,km_ent,[1 1 0 1 1 1 1 1 0 1 0 0 0 1 1 0 0 0 0 0],0.19274,0.24873,0.27807,0.32444,0.27807,0.27807,0.27807,27.0,19.0,23.0,13.0,22.0,27.0,23.0
6,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,km_con,[1 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0],0.27436,0.3704,0.42163,0.3304,0.44913,0.39582,0.42079,11.0,2.0,5.0,3.0,1.0,11.0,3.0
7,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,spect_cos_cat,[1 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0],0.27436,0.3704,0.42163,0.3304,0.44913,0.39582,0.42079,11.0,2.0,5.0,3.0,1.0,11.0,3.0
8,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,aff_cos_cat,[2 2 1 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0],0.27436,0.27757,0.36418,0.23243,0.33507,0.39582,0.36292,11.0,15.0,19.0,23.0,14.0,11.0,19.0
9,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,spect_cos_ent,[1 1 0 1 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0],0.20504,0.267,0.3002,0.32594,0.30466,0.29581,0.30017,26.0,16.0,21.0,12.0,18.0,26.0,21.0
10,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,aff_cos_ent,[2 2 3 2 2 2 2 0 3 2 1 3 1 3 2 1 1 3 3 1],0.35148,0.22827,0.38158,0.27794,0.28714,0.50709,0.36666,6.0,25.0,17.0,18.0,21.0,6.0,18.0
11,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,spect_rbf,[1 1 0 1 1 1 1 1 0 1 0 0 0 1 1 0 0 0 0 0],0.19274,0.24873,0.27807,0.32444,0.27807,0.27807,0.27807,27.0,19.0,23.0,13.0,22.0,27.0,23.0
12,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,spect_esk_sim,[1 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0],0.27436,0.3704,0.42163,0.3304,0.44913,0.39582,0.42079,11.0,2.0,5.0,3.0,1.0,11.0,3.0
13,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 1.5]",,aff_esk_sim,[0 0 0 0 1 1 1 1 0 0 1 2 1 1 1 1 1 1 1 1],0.29194,0.31354,0.39427,0.27288,0.36908,0.42118,0.39341,7.0,11.0,16.0,19.0,12.0,7.0,15.0
