,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[1.5, 1.5]",,spectral warp,[0 1 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0],0.06329,0.05187,0.10137,0.0526,0.11254,0.09131,0.10082,24.0,17.0,24.0,16.0,29.0,24.0,24.0
1,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[1.5, 1.5]",,aff prop,[3 2 0 2 3 0 1 1 2 3 1 3 3 3 3 3 0 0 3 3],0.15361,0.05071,0.16585,0.06452,0.12412,0.22161,0.15912,13.0,18.0,16.0,15.0,26.0,13.0,16.0
2,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[1.5, 1.5]",,pca,[1 0 0 0 1 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1],0.20504,0.267,0.3002,0.32594,0.30466,0.29581,0.30017,9.0,1.0,3.0,1.0,1.0,9.0,3.0
3,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[1.5, 1.5]",,spectral overlap,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,29.0,27.0,25.0,28.0,10.0,29.0,25.0
4,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[1.5, 1.5]",,km_choice,[0 1 1 1 1 0 1 1 1 0 1 1 0 0 0 0 1 1 1 1],0.00551,-0.03305,0.00822,-0.0398,0.00851,0.00795,0.00822,47.0,39.0,47.0,45.0,46.0,47.0,47.0
5,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[1.5, 1.5]",,km_ent,[1 0 0 0 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1],0.10175,0.1109,0.15637,0.12115,0.16657,0.14679,0.15606,21.0,9.0,19.0,4.0,23.0,21.0,17.0
6,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[1.5, 1.5]",,km_con,[0 1 1 1 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0],0.1484,0.18162,0.22152,0.21227,0.22921,0.21409,0.22139,14.0,2.0,9.0,2.0,7.0,14.0,9.0
7,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[1.5, 1.5]",,spect_cos_cat,[0 1 1 1 0 0 1 1 1 0 0 1 0 0 0 0 1 1 1 1],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,50.0,42.0,50.0,48.0,50.0,50.0,50.0
8,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[1.5, 1.5]",,aff_cos_cat,[1 0 0 0 1 2 0 0 0 2 0 5 0 3 4 0 0 5 1 5],0.26116,0.06937,0.26091,0.02951,0.18067,0.37678,0.24423,5.0,15.0,6.0,22.0,18.0,5.0,4.0
9,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[1.5, 1.5]",,spect_cos_ent,[0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0],0.03243,0.00325,0.05506,0.00654,0.06481,0.04678,0.05434,37.0,25.0,36.0,26.0,36.0,37.0,36.0
