,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spectral warp,[0 0 1 1 1 0 0 0 1 1 1 0 0 0 1 1 0 0 1 0],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,19.0,21.0,19.0,19.0,19.0,19.0,19.0
1,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,aff prop,[0 4 1 3 1 2 0 2 3 1 3 4 4 2 1 1 4 4 3 2],0.12253,-0.00322,0.11757,-0.01377,0.07819,0.17678,0.10842,15.0,16.0,17.0,18.0,17.0,15.0,17.0
2,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,pca,[1 1 0 0 0 1 1 1 0 0 0 1 1 1 0 0 1 1 0 1],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,19.0,19.0,19.0,19.0,19.0,19.0,19.0
3,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spectral overlap,[1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1],0.07488,0.05993,0.15775,0.02146,0.23035,0.10803,0.14708,17.0,12.0,15.0,13.0,11.0,17.0,15.0
4,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,km_choice,[1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],0.1639,0.20158,0.27829,0.13072,0.32753,0.23645,0.27464,5.0,1.0,1.0,1.0,1.0,5.0,1.0
5,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,km_ent,[1 1 0 0 0 1 1 1 0 0 0 1 1 1 0 0 1 1 0 1],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,19.0,19.0,19.0,19.0,19.0,19.0,19.0
6,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,km_con,[0 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1],0.1639,0.20158,0.27829,0.13072,0.32753,0.23645,0.27464,5.0,7.0,1.0,1.0,1.0,5.0,1.0
7,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spect_cos_cat,[1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],0.1639,0.20158,0.27829,0.13072,0.32753,0.23645,0.27464,5.0,1.0,1.0,1.0,1.0,5.0,1.0
8,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,aff_cos_cat,[0 5 4 4 1 2 3 4 4 4 4 5 4 4 4 4 4 5 4 4],0.16459,-0.01213,0.18326,0.0134,0.14143,0.23745,0.17728,4.0,18.0,14.0,15.0,15.0,4.0,14.0
9,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spect_cos_ent,[1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],0.11728,0.12825,0.21666,0.0649,0.27744,0.16919,0.2102,16.0,10.0,11.0,10.0,10.0,16.0,11.0
10,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,aff_cos_ent,[0 4 6 1 6 6 0 6 2 6 3 4 6 4 6 6 4 4 5 6],0.25891,0.03788,0.25098,0.01594,0.16864,0.37353,0.23237,1.0,13.0,10.0,14.0,12.0,1.0,10.0
11,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spect_rbf,[0 0 1 1 1 0 0 0 1 1 1 0 0 0 1 1 0 0 1 0],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,19.0,21.0,19.0,19.0,19.0,19.0,19.0
