,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spectral warp,[0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 1 0 1],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,16.0,4.0,18.0,5.0,13.0,16.0,17.0
1,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,aff prop,[0 4 0 1 0 2 1 4 0 1 0 1 3 2 4 3 0 4 1 4],0.09637,-0.02432,0.09405,-0.0332,0.06362,0.13904,0.08729,11.0,31.0,13.0,40.0,32.0,11.0,12.0
2,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,pca,[0 1 0 0 0 1 0 1 0 0 0 0 1 1 1 1 0 1 0 1],0.0462,0.02866,0.0669,0.03998,0.06714,0.06665,0.0669,17.0,6.0,19.0,6.0,15.0,17.0,19.0
3,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spectral overlap,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,23.0,24.0,11.0,25.0,4.0,23.0,15.0
4,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,km_choice,[0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0],0.03243,0.00325,0.05506,0.00654,0.06481,0.04678,0.05434,25.0,12.0,23.0,10.0,19.0,25.0,23.0
5,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,km_ent,[0 1 0 0 0 1 0 1 0 0 0 0 1 1 1 1 0 1 0 1],0.0462,0.02866,0.0669,0.03998,0.06714,0.06665,0.0669,17.0,6.0,19.0,6.0,15.0,17.0,19.0
6,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,km_con,[1 1 1 0 1 0 0 1 1 0 1 0 1 0 1 1 1 1 0 1],0.00551,-0.03305,0.00822,-0.0398,0.00851,0.00795,0.00822,46.0,33.0,46.0,43.0,46.0,46.0,46.0
7,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spect_cos_cat,[1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1],0.00997,-0.0342,0.01841,-0.01731,0.02358,0.01438,0.01786,40.0,42.0,40.0,31.0,40.0,40.0,40.0
8,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,aff_cos_cat,[6 6 6 0 4 1 2 6 6 3 4 4 6 5 6 6 4 4 7 6],0.25891,0.01014,0.2455,0.00456,0.16136,0.37353,0.22536,5.0,11.0,6.0,22.0,7.0,5.0,5.0
9,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spect_cos_ent,[1 1 1 0 1 0 0 1 1 0 1 0 1 0 1 1 0 1 0 1],0.0,-0.04091,0.0,-0.05322,0.0,0.0,0.0,52.0,47.0,52.0,51.0,52.0,52.0,52.0
