,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spectral warp,[0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0],0.02416,-0.00575,0.03712,-0.00441,0.03955,0.03485,0.03705,41.0,39.0,41.0,35.0,41.0,41.0,41.0
1,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,aff prop,[0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 2 3 0 1 0],0.07648,-0.03355,0.09842,-0.01992,0.0878,0.11034,0.09779,34.0,47.0,35.0,43.0,39.0,34.0,35.0
2,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,pca,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,37.0,33.0,36.0,31.0,6.0,37.0,36.0
3,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spectral overlap,[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],0.0,-0.05393,0.0,-0.01931,0.0,0.0,0.0,49.0,52.0,49.0,42.0,49.0,49.0,49.0
4,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,km_choice,[0 1 0 1 0 0 0 1 0 0 1 1 1 0 1 0 1 1 1 0],0.08228,0.08289,0.11871,0.11333,0.11871,0.11871,0.11871,9.0,2.0,10.0,2.0,13.0,9.0,10.0
5,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,km_ent,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,37.0,33.0,36.0,31.0,6.0,37.0,36.0
6,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,km_con,[1 0 1 0 1 1 1 0 1 1 0 0 0 1 0 1 0 0 0 1],0.08228,0.08289,0.11871,0.11333,0.11871,0.11871,0.11871,9.0,2.0,10.0,2.0,13.0,9.0,10.0
7,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spect_cos_cat,[1 1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1],0.0,-0.04567,0.0,-0.03486,0.0,0.0,0.0,49.0,51.0,49.0,50.0,49.0,49.0,49.0
8,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,aff_cos_cat,[1 1 1 0 0 1 1 1 1 1 1 1 0 2 1 3 4 1 1 1],0.11963,-0.02481,0.14489,-0.01109,0.12163,0.1726,0.1427,8.0,41.0,9.0,40.0,12.0,8.0,9.0
9,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spect_cos_ent,[0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0],0.0,-0.04567,0.0,-0.03486,0.0,0.0,0.0,49.0,49.0,49.0,50.0,49.0,49.0,49.0
10,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,aff_cos_ent,[0 3 1 1 5 2 1 2 3 4 5 1 5 5 5 1 5 5 5 3],0.27871,0.08045,0.27086,0.15411,0.18246,0.40209,0.25102,5.0,26.0,5.0,1.0,5.0,5.0,4.0
11,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spect_rbf,[1 1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 1],0.0067,-0.0333,0.01073,-0.03068,0.01192,0.00967,0.01068,44.0,42.0,44.0,45.0,44.0,44.0,44.0
12,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spect_esk_sim,[1 0 1 0 1 1 1 0 1 1 0 0 0 1 0 1 0 0 0 1],0.08228,0.08289,0.11871,0.11333,0.11871,0.11871,0.11871,9.0,2.0,10.0,2.0,13.0,9.0,10.0
13,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,aff_esk_sim,[1 0 1 0 1 1 1 0 1 1 0 0 0 1 0 1 0 0 0 1],0.08228,0.08289,0.11871,0.11333,0.11871,0.11871,0.11871,9.0,2.0,10.0,2.0,13.0,9.0,10.0
14,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spect_lin_sim,[1 0 1 0 1 1 1 0 1 1 0 0 0 1 0 1 0 0 0 1],0.08228,0.08289,0.11871,0.11333,0.11871,0.11871,0.11871,9.0,2.0,10.0,2.0,13.0,9.0,10.0
15,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,aff_lin_sim,[1 0 1 0 1 1 1 0 1 1 0 0 0 1 0 1 0 0 0 1],0.08228,0.08289,0.11871,0.11333,0.11871,0.11871,0.11871,9.0,2.0,10.0,2.0,13.0,9.0,10.0
16,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,comp_hr_esk_dis,[1 0 1 0 1 1 1 0 1 1 0 0 0 1 0 1 0 0 0 1],0.08228,0.08289,0.11871,0.11333,0.11871,0.11871,0.11871,9.0,2.0,10.0,2.0,13.0,9.0,10.0
17,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,avg_hr_esk_dis,[1 0 1 0 1 1 1 0 1 1 0 0 0 1 0 1 0 0 0 1],0.08228,0.08289,0.11871,0.11333,0.11871,0.11871,0.11871,9.0,2.0,10.0,2.0,13.0,9.0,10.0
18,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,comp_hr_lin_din,[1 0 1 0 1 1 1 0 1 1 0 0 0 1 0 1 0 0 0 1],0.08228,0.08289,0.11871,0.11333,0.11871,0.11871,0.11871,9.0,2.0,10.0,2.0,13.0,9.0,10.0
19,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,avg_hr_lin_dis,[1 0 1 0 1 1 1 0 1 1 0 0 0 1 0 1 0 0 0 1],0.08228,0.08289,0.11871,0.11333,0.11871,0.11871,0.11871,9.0,2.0,10.0,2.0,13.0,9.0,10.0
20,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spect_edr,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,37.0,33.0,36.0,31.0,6.0,37.0,36.0
21,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,aff_edr,[0 1 3 4 2 2 3 3 1 7 4 7 5 5 5 1 6 0 0 7],0.3374,0.05257,0.28422,0.04285,0.16595,0.48677,0.24752,4.0,29.0,4.0,28.0,10.0,4.0,5.0
