,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spectral warp,[0 0 1 0 0 1 1 1 1 0 1 0 0 0 1 0 1 1 1 1],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,47.0,45.0,47.0,49.0,47.0,47.0,47.0
1,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,aff prop,[0 0 1 1 2 3 1 3 3 2 1 2 2 1 3 0 3 4 4 4],0.12253,-0.00276,0.11694,-0.02526,0.07735,0.17678,0.10761,19.0,30.0,28.0,43.0,29.0,19.0,28.0
2,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,pca,[0 0 0 0 0 1 0 1 1 0 1 0 0 0 1 0 1 1 1 1],0.0462,0.02866,0.0669,0.03998,0.06714,0.06665,0.0669,30.0,19.0,31.0,17.0,30.0,30.0,31.0
3,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spectral overlap,[0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0],0.0,-0.05393,0.0,-0.01931,0.0,0.0,0.0,51.0,52.0,51.0,41.0,51.0,51.0,51.0
4,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,km_choice,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1],0.07488,0.05993,0.15775,0.02146,0.23035,0.10803,0.14708,27.0,16.0,17.0,22.0,10.0,27.0,17.0
5,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,km_ent,[0 0 0 0 0 1 0 1 1 0 1 0 0 0 1 0 1 1 1 1],0.0462,0.02866,0.0669,0.03998,0.06714,0.06665,0.0669,30.0,19.0,31.0,17.0,30.0,30.0,31.0
6,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,km_con,[0 0 0 0 0 1 0 1 1 0 1 0 0 0 1 0 1 1 1 1],0.0462,0.02866,0.0669,0.03998,0.06714,0.06665,0.0669,30.0,19.0,31.0,17.0,30.0,30.0,31.0
7,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spect_cos_cat,[0 0 1 0 0 0 1 1 0 1 0 1 1 0 0 0 0 0 0 0],0.02416,-0.00575,0.03712,-0.00441,0.03955,0.03485,0.03705,35.0,32.0,35.0,27.0,35.0,35.0,35.0
8,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,aff_cos_cat,[0 0 0 0 0 0 1 3 0 3 2 3 3 0 0 0 0 4 0 0],0.1059,-0.03548,0.12406,-0.0379,0.10073,0.15278,0.12141,23.0,50.0,24.0,47.0,24.0,23.0,24.0
9,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spect_cos_ent,[1 1 0 0 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0],0.0863,0.08869,0.12636,0.1153,0.12824,0.12451,0.12635,25.0,12.0,23.0,8.0,19.0,25.0,23.0
