,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,spectral warp,[0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 1],0.27436,0.3704,0.42163,0.3304,0.44913,0.39582,0.42079,4.0,3.0,2.0,2.0,2.0,4.0,2.0
1,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,aff prop,[0 0 1 1 1 0 0 0 1 0 2 2 1 3 3 2 0 1 1 4],0.31059,0.14062,0.31535,0.1344,0.22193,0.44808,0.29684,3.0,16.0,9.0,12.0,23.0,3.0,9.0
2,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,pca,[1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 1 1 1 1 0],0.1639,0.20158,0.27829,0.13072,0.32753,0.23645,0.27464,19.0,12.0,11.0,13.0,9.0,19.0,11.0
3,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,spectral overlap,[1 1 1 1 0 1 1 1 1 1 0 1 0 0 1 1 0 0 0 1],0.1484,0.18162,0.22152,0.21227,0.22921,0.21409,0.22139,23.0,13.0,18.0,9.0,20.0,23.0,18.0
4,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,km_choice,[1 1 0 0 0 1 0 1 0 1 0 1 1 0 0 1 1 1 0 1],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,50.0,47.0,50.0,48.0,50.0,50.0,50.0
5,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,km_ent,[0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1],0.1639,0.20158,0.27829,0.13072,0.32753,0.23645,0.27464,19.0,9.0,11.0,13.0,9.0,19.0,11.0
6,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,km_con,[0 0 0 0 0 1 0 1 0 1 0 1 1 0 0 1 1 0 0 1],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,46.0,43.0,45.0,43.0,45.0,46.0,45.0
7,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,spect_cos_cat,[1 1 0 0 0 1 0 1 0 1 1 1 1 0 0 1 1 1 0 1],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,46.0,44.0,45.0,43.0,45.0,46.0,45.0
8,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,aff_cos_cat,[1 1 0 2 2 1 2 1 1 2 2 2 2 2 1 1 2 1 1 2],0.04751,-0.01979,0.06169,-0.02903,0.05552,0.06854,0.06135,40.0,45.0,42.0,45.0,42.0,40.0,41.0
9,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,spect_cos_ent,[0 0 1 0 1 1 0 0 0 0 0 1 0 1 1 0 1 1 1 1],0.08228,0.08289,0.11871,0.11333,0.11871,0.11871,0.11871,32.0,25.0,38.0,21.0,39.0,32.0,38.0
10,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,aff_cos_ent,[2 2 3 0 2 3 1 1 0 0 0 2 0 3 2 1 2 3 2 2],0.02616,-0.05388,0.02736,-0.04895,0.01983,0.03774,0.026,44.0,51.0,47.0,50.0,47.0,44.0,47.0
