,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 1]","[1, 1]",,spectral warp,[0 0 0 1 1 0 1 0 0 0 1 1 0 1 0 0 1 0 1 1],0.0462,0.02866,0.0669,0.03998,0.06714,0.06665,0.0669,26.0,22.0,32.0,21.0,33.0,26.0,32.0
1,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 1]","[1, 1]",,aff prop,[0 0 1 1 1 2 1 2 0 1 4 4 0 1 2 2 3 3 4 3],0.30688,0.12422,0.29379,0.11704,0.19496,0.44274,0.27071,4.0,8.0,7.0,9.0,10.0,4.0,8.0
2,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 1]","[1, 1]",,pca,[1 1 0 0 0 1 0 1 1 0 0 0 1 0 1 1 0 0 0 0],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,39.0,39.0,39.0,38.0,40.0,39.0,39.0
3,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 1]","[1, 1]",,spectral overlap,[0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0],0.0,-0.04567,0.0,-0.03486,0.0,0.0,0.0,50.0,51.0,50.0,48.0,50.0,50.0,50.0
4,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 1]","[1, 1]",,km_choice,[1 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0],0.02416,-0.00575,0.03712,-0.00441,0.03955,0.03485,0.03705,34.0,34.0,34.0,32.0,35.0,34.0,34.0
5,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 1]","[1, 1]",,km_ent,[0 0 1 1 1 0 1 0 0 1 1 1 0 1 0 0 1 1 1 1],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,39.0,42.0,39.0,38.0,40.0,39.0,39.0
6,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 1]","[1, 1]",,km_con,[1 1 0 0 0 1 0 1 1 0 0 0 1 0 1 1 0 0 0 0],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,39.0,39.0,39.0,38.0,40.0,39.0,39.0
7,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 1]","[1, 1]",,spect_cos_cat,[1 1 0 0 1 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,24.0,19.0,30.0,18.0,31.0,24.0,30.0
8,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 1]","[1, 1]",,aff_cos_cat,[0 2 2 2 2 2 2 2 1 2 2 2 2 2 2 3 2 2 2 2],0.10544,-0.00426,0.16524,-0.00867,0.17948,0.15212,0.16467,18.0,32.0,17.0,37.0,18.0,18.0,17.0
9,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 1]","[1, 1]",,spect_cos_ent,[1 1 1 1 1 1 1 1 0 1 0 0 1 1 1 1 0 0 0 0],0.1484,0.18162,0.22152,0.21227,0.22921,0.21409,0.22139,17.0,6.0,11.0,4.0,8.0,17.0,10.0
