,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.2, 0.2]",,spectral warp,[1 1 1 1 0 1 1 1 0 0 1 0 0 1 1 1 0 1 1 1],0.0,-0.04207,0.0,-0.04626,0.0,0.0,0.0,41.0,45.0,41.0,43.0,41.0,41.0,41.0
1,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.2, 0.2]",,aff prop,[0 1 1 2 3 0 2 0 3 3 1 3 3 1 1 1 3 1 0 2],0.06786,-0.0192,0.07055,-0.00684,0.05083,0.09791,0.06692,31.0,33.0,33.0,32.0,33.0,31.0,33.0
2,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.2, 0.2]",,pca,[0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0],0.00997,-0.0342,0.01841,-0.01731,0.02358,0.01438,0.01786,38.0,36.0,38.0,34.0,38.0,38.0,38.0
3,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.2, 0.2]",,spectral overlap,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,34.0,29.0,31.0,29.0,19.0,34.0,32.0
4,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.2, 0.2]",,km_choice,[1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0],0.06329,0.05187,0.10137,0.0526,0.11254,0.09131,0.10082,32.0,25.0,30.0,22.0,29.0,32.0,30.0
5,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.2, 0.2]",,km_ent,[0 0 0 0 1 0 0 0 1 1 0 1 1 0 0 0 1 0 0 0],0.0,-0.04207,0.0,-0.04626,0.0,0.0,0.0,41.0,46.0,41.0,43.0,41.0,41.0,41.0
6,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.2, 0.2]",,km_con,[0 1 1 1 0 0 0 1 0 0 1 0 0 1 1 1 0 0 1 1],0.02014,-0.01041,0.02905,-0.01333,0.02905,0.02905,0.02905,37.0,32.0,37.0,33.0,37.0,37.0,37.0
7,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.2, 0.2]",,spect_cos_cat,[0 1 1 1 0 0 0 1 0 0 0 0 0 1 1 1 0 0 1 0],0.0,-0.04091,0.0,-0.05322,0.0,0.0,0.0,44.0,38.0,44.0,46.0,44.0,44.0,44.0
8,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.2, 0.2]",,aff_cos_cat,[3 3 4 0 3 5 1 2 3 3 3 3 3 4 3 3 3 5 6 5],0.1494,-0.05101,0.1494,-0.04183,0.10355,0.21554,0.13989,13.0,49.0,25.0,41.0,30.0,13.0,25.0
9,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.2, 0.2]",,spect_cos_ent,[1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 0 0 0],0.02416,-0.00575,0.03712,-0.00441,0.03955,0.03485,0.03705,35.0,31.0,35.0,30.0,35.0,35.0,35.0
10,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.2, 0.2]",,aff_cos_ent,[2 6 6 5 0 5 5 5 1 2 2 3 4 2 6 2 4 6 5 6],0.23154,0.01857,0.2121,0.00689,0.13467,0.33404,0.19195,7.0,27.0,18.0,28.0,23.0,7.0,18.0
11,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.2, 0.2]",,spect_rbf,[0 0 0 0 1 0 0 0 1 1 0 1 1 0 0 0 1 0 0 0],0.0,-0.04207,0.0,-0.04626,0.0,0.0,0.0,41.0,46.0,41.0,43.0,41.0,41.0,41.0
12,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.2, 0.2]",,spect_esk_sim,[0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1],0.11728,0.12825,0.21666,0.0649,0.27744,0.16919,0.2102,16.0,4.0,11.0,14.0,3.0,16.0,10.0
13,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.2, 0.2]",,aff_esk_sim,[0 6 1 2 6 3 3 4 5 6 6 6 6 1 1 6 6 6 1 1],0.28162,0.055,0.27299,0.05919,0.18343,0.40628,0.25274,5.0,24.0,7.0,21.0,18.0,5.0,7.0
