,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,MI-M,ADMI-M,NMI-M,ARI-M,CO-M,HO-M,VM-M,MI-S,ADMI-S,NMI-S,ARI-S,CO-S,HO-S,VM-S,MI-MR,ADMI-MR,NMI-MR,ARI-MR,CO-MR,HO-MR,VM-MR
0,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spectral warp,0.03572,0.01188,0.05445,0.01171,0.05782,0.05153,0.05424,0.05045,0.07568,0.07913,0.08275,0.08727,0.07278,0.07857,36.0,24.0,40.0,20.0,44.0,36.0,39.0
1,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,aff prop,0.12117,0.01119,0.12397,0.00363,0.0883,0.17481,0.11687,0.07249,0.05569,0.07366,0.04723,0.05317,0.10458,0.06953,13.0,25.0,13.0,27.0,28.0,13.0,13.0
2,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,pca,0.05334,0.03669,0.08975,0.02492,0.10617,0.07695,0.08801,0.05363,0.07917,0.09306,0.0725,0.1153,0.07737,0.09091,18.0,3.0,22.0,10.0,19.0,18.0,18.0
3,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spectral overlap,0.04403,0.016,0.09081,0.0069,0.13319,0.06352,0.08413,0.03723,0.05589,0.07327,0.02898,0.10499,0.05371,0.06952,24.0,18.0,21.0,23.0,9.0,24.0,22.0
4,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,km_choice,0.02883,-0.00405,0.05169,0.0012,0.06611,0.0416,0.04975,0.04157,0.06327,0.07087,0.05764,0.08962,0.05997,0.06883,45.0,47.0,44.0,33.0,39.0,45.0,44.0
5,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,km_ent,0.04387,0.0241,0.06533,0.0313,0.06754,0.0633,0.06523,0.06478,0.09759,0.09424,0.1202,0.09517,0.09346,0.09422,25.0,14.0,33.0,5.0,36.0,25.0,32.0
6,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,km_con,0.03705,0.01386,0.05725,0.01401,0.06186,0.05346,0.05686,0.04025,0.05987,0.06426,0.06937,0.07357,0.05806,0.06341,34.0,20.0,38.0,18.0,41.0,34.0,38.0
7,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spect_cos_cat,0.01544,-0.02037,0.02436,-0.01769,0.02685,0.02228,0.02417,0.01957,0.02988,0.0292,0.0363,0.03051,0.02823,0.02914,52.0,53.0,52.0,52.0,52.0,52.0,52.0
8,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,aff_cos_cat,0.12655,-0.0001,0.16367,-0.00687,0.15062,0.18257,0.16088,0.05456,0.0542,0.05911,0.02723,0.05577,0.07871,0.05782,12.0,39.0,9.0,48.0,4.0,12.0,8.0
9,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spect_cos_ent,0.04015,0.01733,0.06379,0.02048,0.07215,0.05792,0.0627,0.04254,0.06428,0.06827,0.06486,0.08034,0.06137,0.06737,31.0,17.0,34.0,14.0,34.0,31.0,33.0
