,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,MI-M,ADMI-M,NMI-M,ARI-M,CO-M,HO-M,VM-M,MI-S,ADMI-S,NMI-S,ARI-S,CO-S,HO-S,VM-S,MI-MR,ADMI-MR,NMI-MR,ARI-MR,CO-MR,HO-MR,VM-MR
0,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spectral warp,0.02181,-0.00807,0.03165,-0.00974,0.03183,0.03147,0.03164,0.03038,0.04567,0.04398,0.06034,0.04413,0.04383,0.04398,51.0,49.0,51.0,51.0,52.0,51.0,51.0
1,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,aff prop,0.08325,0.01182,0.09207,0.01596,0.07405,0.1201,0.08768,0.1117,0.06861,0.10353,0.08419,0.07484,0.16115,0.0953,16.0,18.0,18.0,11.0,30.0,16.0,17.0
2,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,pca,0.02254,-0.0077,0.03378,-0.00865,0.03519,0.03252,0.03372,0.02555,0.03844,0.03818,0.04821,0.0397,0.03686,0.03813,50.0,48.0,50.0,50.0,51.0,50.0,50.0
3,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spectral overlap,0.03986,0.00599,0.10306,0.00215,0.18613,0.05751,0.08733,0.01198,0.01844,0.0187,0.00661,0.01512,0.01728,0.02044,25.0,29.0,16.0,35.0,1.0,25.0,18.0
4,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,km_choice,0.04003,0.01477,0.06604,0.02073,0.07712,0.05775,0.06472,0.04496,0.06864,0.07117,0.07608,0.08374,0.06486,0.06984,23.0,13.0,27.0,5.0,27.0,23.0,26.0
5,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,km_ent,0.02506,-0.00351,0.03709,-0.00377,0.03809,0.03616,0.03705,0.02469,0.03703,0.03681,0.04684,0.03821,0.03562,0.03676,44.0,43.0,46.0,45.0,46.0,44.0,46.0
6,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,km_con,0.02399,-0.00566,0.03585,-0.00508,0.03724,0.03461,0.03578,0.02788,0.0421,0.04097,0.05385,0.04185,0.04022,0.04096,47.0,47.0,49.0,46.0,48.0,47.0,49.0
7,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spect_cos_cat,0.02996,0.00194,0.04557,0.00817,0.04818,0.04322,0.04543,0.03659,0.05602,0.05428,0.06436,0.05594,0.05278,0.05427,38.0,33.0,40.0,26.0,41.0,38.0,39.0
8,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,aff_cos_cat,0.1926,0.00705,0.18339,0.00117,0.12607,0.27786,0.16761,0.15568,0.05711,0.11164,0.04056,0.06138,0.2246,0.09188,6.0,28.0,10.0,37.0,15.0,6.0,10.0
9,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[1, 1]","[0.1, 0.3]",,spect_cos_ent,0.02717,-0.00124,0.0431,-0.00618,0.04753,0.0392,0.04284,0.04084,0.06079,0.06744,0.05412,0.07762,0.05892,0.06674,39.0,38.0,42.0,47.0,42.0,39.0,41.0
