,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,MI-M,ADMI-M,NMI-M,ARI-M,CO-M,HO-M,VM-M,MI-S,ADMI-S,NMI-S,ARI-S,CO-S,HO-S,VM-S,MI-MR,ADMI-MR,NMI-MR,ARI-MR,CO-MR,HO-MR,VM-MR
0,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spectral warp,0.05041,0.03427,0.07708,0.03082,0.08194,0.07272,0.07683,0.07279,0.10905,0.11326,0.10694,0.12289,0.10502,0.11278,26.0,11.0,29.0,15.0,30.0,26.0,28.0
1,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,aff prop,0.30933,0.0145,0.25464,0.01403,0.19766,0.44627,0.21871,0.19401,0.03662,0.14694,0.04239,0.20016,0.2799,0.12205,5.0,28.0,5.0,28.0,4.0,5.0,5.0
2,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,pca,0.05007,0.03323,0.07654,0.03139,0.08134,0.07224,0.0763,0.07302,0.10982,0.11361,0.10662,0.12328,0.10535,0.11313,27.0,13.0,30.0,13.0,31.0,27.0,29.0
3,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spectral overlap,0.03616,0.01296,0.05349,0.01683,0.05494,0.05217,0.05343,0.04291,0.06461,0.06335,0.08027,0.06494,0.06191,0.06333,33.0,29.0,33.0,27.0,34.0,33.0,33.0
4,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,km_choice,0.02527,-0.00305,0.03713,-0.004,0.03783,0.03646,0.03711,0.0383,0.05752,0.05651,0.07185,0.05783,0.05525,0.05649,36.0,34.0,36.0,36.0,36.0,36.0,36.0
5,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,km_ent,0.0513,0.03478,0.08033,0.02728,0.08749,0.07402,0.0799,0.07542,0.11323,0.12006,0.1012,0.13338,0.1088,0.1193,23.0,8.0,23.0,18.0,25.0,23.0,22.0
6,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,km_con,0.02527,-0.00305,0.03713,-0.004,0.03783,0.03646,0.03711,0.0383,0.05752,0.05651,0.07185,0.05783,0.05525,0.05649,36.0,45.0,36.0,36.0,36.0,36.0,36.0
7,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spect_cos_cat,0.0495,0.02924,0.08656,0.0191,0.10766,0.07141,0.08386,0.05869,0.08786,0.09891,0.07482,0.12089,0.08468,0.09697,30.0,18.0,17.0,24.0,15.0,30.0,17.0
8,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,aff_cos_cat,0.34919,0.01933,0.29516,0.0188,0.1821,0.50378,0.25549,0.19912,0.03671,0.11919,0.04536,0.04441,0.28727,0.08688,3.0,25.0,2.0,25.0,5.0,3.0,2.0
9,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spect_cos_ent,0.05643,0.04267,0.0883,0.03751,0.09639,0.08141,0.0877,0.07313,0.10952,0.11557,0.10478,0.1283,0.1055,0.11477,17.0,2.0,16.0,2.0,19.0,17.0,15.0
10,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,aff_cos_ent,0.21688,0.04614,0.21159,0.03429,0.14392,0.31289,0.19613,0.09756,0.06925,0.09113,0.06623,0.06069,0.14075,0.08381,8.0,1.0,6.0,4.0,9.0,8.0,6.0
11,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spect_rbf,0.04974,0.03262,0.07601,0.03118,0.08074,0.07175,0.07577,0.07325,0.11025,0.11396,0.10676,0.12366,0.10567,0.11348,28.0,14.0,31.0,14.0,32.0,28.0,30.0
12,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spect_esk_sim,0.02527,-0.00305,0.03713,-0.004,0.03783,0.03646,0.03711,0.0383,0.05752,0.05651,0.07185,0.05783,0.05525,0.05649,36.0,43.0,36.0,36.0,36.0,36.0,36.0
13,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,aff_esk_sim,0.09062,-0.00136,0.09261,-0.00083,0.11868,0.13073,0.08639,0.13124,0.06113,0.11573,0.05856,0.22017,0.18934,0.10407,15.0,33.0,15.0,34.0,13.0,15.0,16.0
14,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spect_lin_sim,0.02527,-0.00305,0.03713,-0.004,0.03783,0.03646,0.03711,0.0383,0.05752,0.05651,0.07185,0.05783,0.05525,0.05649,36.0,41.0,36.0,36.0,36.0,36.0,36.0
15,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,aff_lin_sim,0.08058,0.00548,0.08453,0.00737,0.16519,0.11625,0.07919,0.12346,0.05743,0.10787,0.06308,0.29389,0.17812,0.09673,16.0,32.0,18.0,31.0,6.0,16.0,23.0
16,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,comp_hr_esk_dis,0.02527,-0.00305,0.03713,-0.004,0.03783,0.03646,0.03711,0.0383,0.05752,0.05651,0.07185,0.05783,0.05525,0.05649,36.0,47.0,36.0,36.0,36.0,36.0,36.0
17,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,avg_hr_esk_dis,0.02527,-0.00305,0.03713,-0.004,0.03783,0.03646,0.03711,0.0383,0.05752,0.05651,0.07185,0.05783,0.05525,0.05649,36.0,46.0,36.0,36.0,36.0,36.0,36.0
18,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,comp_hr_lin_din,0.02527,-0.00305,0.03713,-0.004,0.03783,0.03646,0.03711,0.0383,0.05752,0.05651,0.07185,0.05783,0.05525,0.05649,36.0,48.0,36.0,36.0,36.0,36.0,36.0
19,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,avg_hr_lin_dis,0.02527,-0.00305,0.03713,-0.004,0.03783,0.03646,0.03711,0.0383,0.05752,0.05651,0.07185,0.05783,0.05525,0.05649,36.0,48.0,36.0,36.0,36.0,36.0,36.0
20,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spect_edr,0.02781,-0.00435,0.04971,-0.00376,0.0633,0.04012,0.04792,0.0374,0.05632,0.0665,0.03885,0.08612,0.05396,0.06446,34.0,52.0,34.0,35.0,33.0,34.0,34.0
21,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,aff_edr,0.2357,0.0233,0.21154,0.03516,0.13192,0.34005,0.1897,0.10394,0.06499,0.09278,0.07429,0.0584,0.14996,0.08339,6.0,23.0,7.0,3.0,12.0,6.0,7.0
22,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spectral bad warp,0.02527,-0.00305,0.03713,-0.004,0.03783,0.03646,0.03711,0.0383,0.05752,0.05651,0.07185,0.05783,0.05525,0.05649,36.0,50.0,36.0,36.0,36.0,36.0,36.0
23,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,affinity bad warp,0.15767,0.01667,0.14385,0.0174,0.14559,0.22746,0.12884,0.1869,0.06237,0.1489,0.07252,0.21807,0.26964,0.12785,12.0,27.0,12.0,26.0,8.0,12.0,12.0
24,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,PCA bad euclid,0.02527,-0.00305,0.03713,-0.004,0.03783,0.03646,0.03711,0.0383,0.05752,0.05651,0.07185,0.05783,0.05525,0.05649,36.0,35.0,36.0,36.0,36.0,36.0,36.0
25,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spectral bad eucsim,0.02527,-0.00305,0.03713,-0.004,0.03783,0.03646,0.03711,0.0383,0.05752,0.05651,0.07185,0.05783,0.05525,0.05649,36.0,42.0,36.0,36.0,36.0,36.0,36.0
26,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,affinity bad eucsim,0.15628,0.02061,0.14208,0.02074,0.24402,0.22546,0.12709,0.18805,0.05973,0.15053,0.07067,0.33529,0.2713,0.12951,13.0,24.0,13.0,22.0,1.0,13.0,13.0
27,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spectral bad cosine,0.02612,-0.00306,0.03912,0.00042,0.04073,0.03768,0.03903,0.03741,0.05677,0.05521,0.06826,0.05659,0.05397,0.05519,35.0,51.0,35.0,33.0,35.0,35.0,35.0
28,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,affinity bad cosine,0.21133,0.02973,0.20163,0.02477,0.13941,0.30489,0.18414,0.17357,0.07584,0.13078,0.07677,0.07796,0.25041,0.11095,9.0,17.0,8.0,20.0,10.0,9.0,8.0
29,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spectral bad rbf,0.02527,-0.00305,0.03713,-0.004,0.03783,0.03646,0.03711,0.0383,0.05752,0.05651,0.07185,0.05783,0.05525,0.05649,36.0,40.0,36.0,36.0,36.0,36.0,36.0
30,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,affinity bad rbf,0.13994,0.00888,0.12887,0.00612,0.13636,0.20189,0.11579,0.17907,0.051,0.14358,0.05898,0.21863,0.25835,0.12323,14.0,31.0,14.0,32.0,11.0,14.0,14.0
31,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spectral bad edr,0.02527,-0.00305,0.03713,-0.004,0.03783,0.03646,0.03711,0.0383,0.05752,0.05651,0.07185,0.05783,0.05525,0.05649,36.0,44.0,36.0,36.0,36.0,36.0,36.0
32,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,affinity bad edr,0.15767,0.0298,0.15159,0.03055,0.10309,0.22747,0.13921,0.13944,0.08251,0.12934,0.08511,0.08496,0.20116,0.11844,11.0,16.0,11.0,16.0,17.0,11.0,11.0
