,mu,sigma,trials,cluster,decision,alpha,tau,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas
0,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",spectral warp,[1 0 0 0 1 0 2 1 2 1 0 0 1 0 2],0.15102,-0.02781,0.14103,-0.03205,0.14469,0.13747,0.14099
1,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",aff prop,[2 3 3 3 2 3 0 2 1 2 3 3 2 3 1],0.18591,-0.07537,0.1639,-0.05229,0.15875,0.16922,0.16382
2,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",pca,[0 1 1 1 0 1 0 0 0 0 1 1 0 1 0],0.07545,-0.0039,0.0866,0.0,0.1092,0.06868,0.08432
3,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",km_choice,[0 1 1 0 0 0 2 0 0 0 0 0 1 0 0],0.17193,0.00361,0.192,-0.02083,0.23557,0.1565,0.18806
4,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",spectral overlap,[0 0 0 2 2 2 2 0 2 2 2 2 1 2 2],0.24538,0.08568,0.2612,0.0551,0.30545,0.22335,0.25803
5,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",km_con,[0 2 2 1 0 1 0 1 0 1 1 1 2 1 0],0.15102,-0.02781,0.14103,-0.03205,0.14469,0.13747,0.14099
6,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",km_ent,[0 1 1 1 0 1 2 0 2 0 1 1 0 1 2],0.15102,-0.02781,0.14103,-0.03205,0.14469,0.13747,0.14099
7,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",spectral warp,[0 2 0 2 0 2 1 1 0 2 0 0 1 1 1],0.28487,0.11846,0.2609,0.05281,0.26251,0.2593,0.2609
8,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",aff prop,[0 0 0 0 0 0 1 1 0 0 0 0 1 1 1],0.18784,0.10285,0.22463,0.08533,0.29511,0.17098,0.21651
9,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",pca,[0 0 0 0 0 0 1 1 0 0 0 0 1 1 1],0.18784,0.10285,0.22463,0.08533,0.29511,0.17098,0.21651
10,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",km_choice,[1 0 1 0 0 0 2 2 0 0 0 0 2 2 2],0.2971,0.13197,0.28779,0.0367,0.30626,0.27044,0.28723
11,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",spectral overlap,[1 0 2 0 0 0 0 0 0 0 0 0 0 0 0],0.16834,0.01277,0.23059,0.02252,0.34702,0.15323,0.21259
12,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",km_con,[2 1 2 1 1 1 0 0 1 1 1 1 0 0 0],0.2971,0.13197,0.28779,0.0367,0.30626,0.27044,0.28723
13,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",km_ent,[0 0 0 0 0 0 2 2 0 0 1 0 1 2 1],0.40918,0.24829,0.40047,0.20833,0.43059,0.37245,0.39941
14,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.5, 0.9]",spectral warp,[1 2 2 2 1 0 0 1 2 1 0 0 1 1 0],0.28487,0.11846,0.2609,0.05281,0.26251,0.2593,0.2609
15,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.5, 0.9]",aff prop,[2 0 0 0 2 1 1 2 0 2 1 1 2 2 0],0.15757,-0.01945,0.14431,-0.0396,0.1452,0.14343,0.14431
16,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.5, 0.9]",pca,[0 0 0 0 0 1 1 0 0 0 1 1 0 0 0],0.13124,0.04378,0.16442,0.02036,0.22631,0.11946,0.15638
17,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.5, 0.9]",km_choice,[0 0 1 0 0 2 2 1 0 0 2 2 0 0 0],0.18484,0.0073,0.1831,-0.0118,0.19926,0.16825,0.18245
18,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.5, 0.9]",spectral overlap,[0 0 2 0 0 0 0 1 0 0 0 0 0 0 0],0.15149,-0.00511,0.20752,-0.00901,0.3123,0.13789,0.19131
19,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.5, 0.9]",km_con,[0 0 1 0 0 2 2 1 0 0 2 2 0 0 2],0.22734,0.05642,0.22021,0.0367,0.23434,0.20693,0.21978
20,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.5, 0.9]",km_ent,[1 1 1 1 1 0 0 1 1 1 2 2 1 1 0],0.28487,0.11318,0.29293,0.07843,0.33092,0.2593,0.29077
21,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.3, 0.7, 1.1]",spectral warp,[1 2 1 0 0 0 2 0 2 0 1 1 1 2 1],0.34241,0.18079,0.3136,0.14521,0.31553,0.31168,0.31359
22,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.3, 0.7, 1.1]",aff prop,[2 0 1 1 1 1 0 1 0 1 3 3 2 2 3],0.56675,0.27497,0.46847,0.20567,0.42543,0.51588,0.46631
