,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas
0,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spectral warp,[1 0 2 0 0 1 2 0 2 2 1 1 0 1 1],0.28487,0.11846,0.2609,0.14521,0.26251,0.2593,0.2609
1,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,aff prop,[0 1 1 1 1 0 1 1 1 1 0 0 1 0 0],0.17261,0.09021,0.20074,0.13223,0.25647,0.15712,0.19486
2,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,pca,[0 1 1 1 1 0 1 1 1 1 0 0 1 0 0],0.17261,0.09021,0.20074,0.13223,0.25647,0.15712,0.19486
3,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spectral overlap,[0 0 1 1 1 2 0 0 0 0 0 1 0 1 0],0.23776,0.08075,0.24557,0.03448,0.27866,0.21642,0.24363
4,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,km_choice,[0 1 0 0 0 0 1 1 1 1 0 1 1 2 0],0.20663,0.05055,0.20874,0.08333,0.23168,0.18808,0.20761
5,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,km_ent,[0 1 1 1 1 2 1 1 1 1 0 0 1 2 0],0.27726,0.1077,0.27465,0.11209,0.29889,0.25237,0.27367
6,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,km_con,[1 0 1 1 1 1 0 0 0 0 1 2 0 2 1],0.30559,0.14269,0.2929,0.14953,0.30842,0.27816,0.29251
7,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spect_cos_cat,[1 0 0 0 0 2 0 0 0 0 1 1 0 2 1],0.27726,0.1077,0.27465,0.11209,0.29889,0.25237,0.27367
8,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,aff_cos_cat,[0 0 0 0 0 1 0 0 0 0 0 0 0 1 0],0.05907,-0.03096,0.08994,-0.0179,0.15044,0.05377,0.07922
9,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spect_cos_ent,[1 0 0 2 0 1 0 0 0 2 1 1 0 1 1],0.19052,0.01829,0.18261,0.06231,0.19228,0.17342,0.18236
